Title,web_Link
Moulin Rouge! The Musical,https://www.ibdb.com/broadway-production/moulin-rouge-the-musical-520640
Kinky Boots,https://www.ibdb.com/broadway-production/kinky-boots-493287
Elf,https://www.ibdb.com/broadway-production/elf-493278
Fela!,https://www.ibdb.com/broadway-production/fela-493032
How to Succeed in Business Without Really Trying,https://www.ibdb.com/broadway-production/how-to-succeed-in-business-without-really-trying-488364
Elf,https://www.ibdb.com/broadway-production/elf-488284
Hair,https://www.ibdb.com/broadway-production/hair-481766
A Tale of Two Cities,https://www.ibdb.com/broadway-production/a-tale-of-two-cities-478295
Curtains,https://www.ibdb.com/broadway-production/curtains-453332
The Wedding Singer,https://www.ibdb.com/broadway-production/the-wedding-singer-402890
Sweet Charity,https://www.ibdb.com/broadway-production/sweet-charity-378059
Wonderful Town,https://www.ibdb.com/broadway-production/wonderful-town-13560
Man of La Mancha,https://www.ibdb.com/broadway-production/man-of-la-mancha-13422
