web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/maybe-happy-ending-539781,Maybe Happy Ending,Michael Arden,Will AronsonandHue Park,Will AronsonandHue Park,"Darren Criss,Dr. Pam Hurst-Della Pietra & Stephen Della Pietra,NHN Link Corporation,Greg & Lisa Love,Kayla Greenspan,Jayne Baron Sherman,Louise Gund,Spencer Ross,Yonge Street Theatricals,Ruth Hendel,Kaplan-Gopal-MMC,Adam Zotovich,At Rise Creative,Broadway Strategic Return Fund,Curt Cronin,Fahs Productions,Greg Field,Paul Gavriani / Michael Patrick,Rebecca Gold,Grace Street Creative Group,John Gore Organization,Willette & Manny Klausner,Kent Knudsen,James L. Nederlander,Salmira Productions,The Shubert Organization,Jacob Stuckelman & John Albert Harris,Wooran Foundation,You Should Smile More Productions,Mark and David Golub Productions,Diego Kolankowsky,Takonkiet Viravan,Brad Blume,Will Aronson & Hue Park,Hugo Six,Clarissa Cueva,Ali Daylami,Maia Kayla Glasman,Patrick W. JonesandBrandon J. Schwartz","Oct 16, 2024","Nov 12, 2024",Present,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/appropriate-537559,Appropriate,Lila Neugebauer,,Branden Jacobs-Jenkins,"Second Stage Theater (Carole Rothman, President and Artistic Director","Nov 29, 2023","Dec 18, 2023","Jun 30, 2024",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/how-to-dance-in-ohio-537625,How to Dance in Ohio,Sammi Cannold,Rebekah Greer Melocik,Rebekah Greer Melocik,"P3 Productions,Ben Holtzman,Sammy Lopez,Fiona Howe RudinandLevel Forward","Nov 15, 2023","Dec 10, 2023","Feb 11, 2024",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/good-night-oscar-535325,"Good Night, Oscar",Lisa Peterson,,Doug Wright,"Grove Entertainment,Barbara Whitman,Hazy Mills Productions,Yonge Street Theatricals,Frank Marshall,Rich Entertainment Group & Jeremiah J. Harris,Mary Lu Roffe,David Shapiro & Mark Losher,John H. Tyson,Patty Baker,Rodney Rigby,John Gore Organization,Kate Capshaw & Steven Spielberg,James L. Nederlander,Creative Partners Productions,Sharon Karmazin,The Forstalls,Jamie deRoy,David Barnett,Barbara Freitag,Universal Theatrical GroupandLeah Dagen & Jimmy Wilson","Apr 07, 2023","Apr 24, 2023","Aug 27, 2023",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/aint-no-mo-535033,Ain't No Mo',Stevie Walker-Webb,Sterling Overshown,Jordan E. Cooper,"Lee Daniels,BET: Black Entertainment Television,Len Blavatnik,Ron Burkle,Aryeh B. Bourkoff,59th & Prairie Entertainment,RuPaul Charles,I'll Have Another Productions,Jeremy O. Harris,Lena Waithe,Tucker Tooley Entertainment,CJ Uzomah,Ann Cox,Gina Purlia,Bob Yari,Marvin Peart,Colleen Camp,Marvet Britto,Jeremy Green,Sue Wagner,John Johnson,Jillian RobbinsandThe Public Theater (Oskar Eustis, Artistic Director","Nov 09, 2022","Dec 01, 2022","Dec 23, 2022",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/girl-from-the-north-country-534369,Girl From The North Country,Conor McPherson,Bob Dylan,Conor McPherson,Tristan BakerandCharlie Parsons,"Apr 29, 2022","Apr 29, 2022","Jun 19, 2022",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/girl-from-the-north-country-522972,Girl From The North Country,Conor McPherson,Bob Dylan,Conor McPherson,"Tristan Baker,Charlie Parsons,Runaway Entertainment,Steven Lappin,Sony Music Entertainment/Sony ATV,David Mirvish,Len Blavatnik,The Dodgers,Eric and Marsi Gardiner,Dianne Roberts,John Gore Organization,Nederlander Presentations, Inc.,Tommy Mottola,Independent Presenters Network,Rod Kaats,Diana DiMenna,MaryBeth O'Connor,Barbara H. Freitag,Patrick Catullo,The Old Vic (Matthew Warchus, Artistic Director","Feb 07, 2020","Mar 05, 2020","Jan 23, 2022",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/network-519334,Network,Ivo van Hove,Eric Sleichim,,"David Binder,The National Theatre,Patrick Myles,David Luff,Ros Povey,Lee Menzies,Annapurna Theatre,Blanshay-Yonover,CatWenJam Productions,Patrick Catullo,Delman-Whitney,Diana DiMenna,Falkenstein-Grant,Hagemann Rosenthal Associates,GHF Productions,The John Gore Organization,Harris Rubin Productions,Sharon Karmazin,Koenigsberg-Fan,Kors Le Pere Theatricals LLC,Alexander ""Sandy"" Marshall,Stephanie P. McClelland,David Mirvish,Moellenberg-Hornos,R.H.M.-Jonathan Reinis,Catherine Schreiber,Ken Schur,Jayne Baron Sherman,Cynthia Stroum,Tulchin Bartner Productions,Zeilinger ProductionsandThe Shubert Organization","Nov 10, 2018","Dec 06, 2018","Jun 08, 2019",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/gettin-the-band-back-together-515587,Gettin' The Band Back Together,John Rando,Mark Allen,The GrundleshotzandKen Davenport,"Ken Davenport,Hunter Arnold,Roy Putrino,Scott Abrams,Diego Kolankowsky,Rob Kolson,Sandi Moran,Carl Daikeler,Broadway Strategic Return Fund,Radical ARS Productions,H. Richard Hopper,Marie Barton Stevenson,Richard Roth,Brian Cromwell Smith,Marguerite Hoffman,NETworks Presentations,Gary Nelson,Darrell Hankey / Trevor Coats / Ladybug Productions,Jim Wagstaffe / Laura Z. Barket / Tamar Tolchin,WitzEnd Productions / David Bryant / Drowos Sunshine,Judith Manocherian / John McGrain / Steve Reynolds,The Harbert Family / Keith Cromwell / Red Mountain Theatre Company,Douglas K. Atamian / Rich Battista / Gitta Jacobs,Frederic J. Siegel / BF Investments / Sean Attebury,Dr. Mojgan Fajiram / Pourrat Monahemi / Grossman-Palamara ProductionsandThe Town of Sayreville, New Jersey","Jul 19, 2018","Aug 13, 2018","Sep 16, 2018",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/farinelli-and-the-king-514892,Farinelli and the King,John Dove,,Claire van Kampen,"Sonia Friedman Productions,Shakespeare's Globe,Paula Marie Black,Tom Smedes,Peter Stern,Jane Bergère,Jane Dubin / Rachel Weinstein,1001 Nights Productions,Elizabeth Cuthrell & Steven Tuttleman,Rupert Gavin,Robyn L. Paley,SGC USA,Tulchin Bartner Productions,Cindy & Jay Gutterman / Marc David Levine,Marguerite Hoffman / Van KaplanandShakespeare Road","Dec 05, 2017","Dec 17, 2017","Mar 25, 2018",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-terms-of-my-surrender-514772,The Terms of My Surrender,Michael Mayer,,Michael Moore,IMG Original ContentandCarole Shorenstein Hays,"Jul 28, 2017","Aug 10, 2017","Oct 22, 2017",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-glass-menagerie-508222,The Glass Menagerie,Sam Gold,,Tennessee Williams,"Scott Rudin,Lincoln Center Theater (André Bishop: Producing Artistic Director","Feb 07, 2017","Mar 09, 2017","May 21, 2017",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/blackbird-502795,Blackbird,Joe Mantello,,David Harrower,"Scott Rudin,Eli Bush,Roger Berlind,William Berlind,Scott M. Delman,Peter May,Jon B. Platt,Len Blavatnik,Tulchin Bartner Productions,Jay Alix & Una Jackman,Heni Koenigsberg,Stacey MindichandWendy Federman","Feb 05, 2016","Mar 10, 2016","Jun 11, 2016",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/hedwig-and-the-angry-inch-495294,Hedwig and the Angry Inch,Michael Mayer,Stephen Trask,John Cameron Mitchell,"David Binder,Jayne Baron Sherman,Barbara Whitman,Latitude Link,Patrick Catullo,Raise The Roof,Paula Marie Black,Colin Callender,Ruth Hendel,Sharon Karmazin,Martian Entertainment,Stacey Mindich,Eric SchnallandThe Shubert Organization","Mar 29, 2014","Apr 22, 2014","Sep 13, 2015",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/twelfth-night-494842,Twelfth Night,Tim Carroll,,William Shakespeare,"Sonia Friedman Productions,Scott Landis,Roger Berlind,Glass Half Full Productions / Just For Laughs Theatricals,1001 Nights Productions,Tulchin Bartner Productions,Jane Bergère,Paula Marie Black,Rupert Gavin,Stephanie P. McClelland,Shakespeare Globe Centre USA,Max Cooper,Tanya Link ProductionsandShakespeare Road","Oct 15, 2013","Nov 10, 2013","Feb 16, 2014",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/richard-iii-494850,Richard III,Tim Carroll,,William Shakespeare,"Sonia Friedman Productions,Scott Landis,Roger Berlind,Glass Half Full Productions / Just For Laughs Theatricals,1001 Nights Productions,Tulchin Bartner Productions,Jane Bergère,Paula Marie Black,Rupert Gavin,Stephanie P. McClelland,Shakespeare Globe Centre USA,Max Cooper,Tanya Link ProductionsandShakespeare Road","Oct 19, 2013","Nov 10, 2013","Feb 16, 2014",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/golden-boy-493270,Golden Boy,Bartlett Sher,,Clifford Odets,Lincoln Center Theater (André Bishop: Artistic Director,"Nov 09, 2012","Dec 06, 2012","Jan 20, 2013",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/end-of-the-rainbow-491212,End of the Rainbow,Terry Johnson,Chris Egan,Peter Quilter,"Lee Dean,Laurence Myers,Joey Parnes,Ellis Goodman,ShadowCatcher Entertainment / Alhadeff Productions,National Angels U.S. Inc.,Charles Diamond / Jenny Topper,Myla Lerner / Barbara & Buddy Freitag,Spring Sirkin / Candy Gold,Hilary A. Williams,S.D. WagnerandJohn Johnson","Mar 19, 2012","Apr 02, 2012","Aug 19, 2012",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/kathy-griffin-wants-a-tony-489723,Kathy Griffin Wants a Tony,,,,,"Mar 11, 2011","Mar 11, 2011","Mar 19, 2011",2025-06-26,Creative Team and Performance Data
