Title,web_Link
The Outsiders,https://www.ibdb.com/broadway-production/the-outsiders-537824
Parade,https://www.ibdb.com/broadway-production/parade-536082
Almost Famous,https://www.ibdb.com/broadway-production/almost-famous-534816
Company,https://www.ibdb.com/broadway-production/company-524001
Betrayal,https://www.ibdb.com/broadway-production/betrayal-523033
The Ferryman,https://www.ibdb.com/broadway-production/the-ferryman-518068
The Iceman Cometh,https://www.ibdb.com/broadway-production/the-iceman-cometh-515678
Bandstand,https://www.ibdb.com/broadway-production/bandstand-511287
The Color Purple,https://www.ibdb.com/broadway-production/the-color-purple-499928
It's Only a Play,https://www.ibdb.com/broadway-production/its-only-a-play-497345
Once,https://www.ibdb.com/broadway-production/once-491352
The Mountaintop,https://www.ibdb.com/broadway-production/the-mountaintop-490429
That Championship Season,https://www.ibdb.com/broadway-production/that-championship-season-489564
Bloody Bloody Andrew Jackson,https://www.ibdb.com/broadway-production/bloody-bloody-andrew-jackson-488478
God of Carnage,https://www.ibdb.com/broadway-production/god-of-carnage-482510
13,https://www.ibdb.com/broadway-production/13-480453
The Country Girl,https://www.ibdb.com/broadway-production/the-country-girl-470352
Rock 'n' Roll,https://www.ibdb.com/broadway-production/rock-n-roll-460599
Frost/Nixon,https://www.ibdb.com/broadway-production/frost-nixon-453357
Martin Short: Fame Becomes Me,https://www.ibdb.com/broadway-production/martin-short-fame-becomes-me-404465
Three Days of Rain,https://www.ibdb.com/broadway-production/three-days-of-rain-403589
Glengarry Glen Ross,https://www.ibdb.com/broadway-production/glengarry-glen-ross-390715
