Title,web_Link
John Proctor is the Villain,https://www.ibdb.com/broadway-production/john-proctor-is-the-villain-540636
The Roommate,https://www.ibdb.com/broadway-production/the-roommate-539688
Kimberly Akimbo,https://www.ibdb.com/broadway-production/kimberly-akimbo-534754
for colored girls who have considered suicide / when the rainbow is enuf,https://www.ibdb.com/broadway-production/for-colored-girls-who-have-considered-suicide--when-the-rainbow-is-enuf-532941
Freestyle Love Supreme,https://www.ibdb.com/broadway-production/freestyle-love-supreme-531879
Who's Afraid of Virginia Woolf?,https://www.ibdb.com/broadway-production/whos-afraid-of-virginia-woolf-524177
Freestyle Love Supreme,https://www.ibdb.com/broadway-production/freestyle-love-supreme-522984
Gary: A Sequel to Titus Andronicus,https://www.ibdb.com/broadway-production/gary-a-sequel-to-titus-andronicus-519765
American Son,https://www.ibdb.com/broadway-production/american-son-518736
The Boys in the Band,https://www.ibdb.com/broadway-production/the-boys-in-the-band-516746
Meteor Shower,https://www.ibdb.com/broadway-production/meteor-shower-515445
Significant Other,https://www.ibdb.com/broadway-production/significant-other-509696
Les Liaisons Dangereuses,https://www.ibdb.com/broadway-production/les-liaisons-dangereuses-506985
An Act of God,https://www.ibdb.com/broadway-production/an-act-of-god-506458
Hughie,https://www.ibdb.com/broadway-production/hughie-503441
Hand to God,https://www.ibdb.com/broadway-production/hand-to-god-498573
The Elephant Man,https://www.ibdb.com/broadway-production/the-elephant-man-497261
The Velocity of Autumn,https://www.ibdb.com/broadway-production/the-velocity-of-autumn-495917
The Glass Menagerie,https://www.ibdb.com/broadway-production/the-glass-menagerie-494802
I'll Eat You Last: A Chat With Sue Mengers,https://www.ibdb.com/broadway-production/ill-eat-you-last-a-chat-with-sue-mengers-494064
Who's Afraid of Virginia Woolf?,https://www.ibdb.com/broadway-production/whos-afraid-of-virginia-woolf-493035
Other Desert Cities,https://www.ibdb.com/broadway-production/other-desert-cities-490602
High,https://www.ibdb.com/broadway-production/high-489598
Next To Normal,https://www.ibdb.com/broadway-production/next-to-normal-483136
The Story of My Life,https://www.ibdb.com/broadway-production/the-story-of-my-life-481923
Dividing the Estate,https://www.ibdb.com/broadway-production/dividing-the-estate-479746
Thurgood,https://www.ibdb.com/broadway-production/thurgood-471162
The Seafarer,https://www.ibdb.com/broadway-production/the-seafarer-462798
The Year of Magical Thinking,https://www.ibdb.com/broadway-production/the-year-of-magical-thinking-448761
Butley,https://www.ibdb.com/broadway-production/butley-428680
Faith Healer,https://www.ibdb.com/broadway-production/faith-healer-412515
Seascape,https://www.ibdb.com/broadway-production/seascape-402652
The Pillowman,https://www.ibdb.com/broadway-production/the-pillowman-392093
The Good Body,https://www.ibdb.com/broadway-production/the-good-body-388460
The Retreat From Moscow,https://www.ibdb.com/broadway-production/the-retreat-from-moscow-13527
Our Town,https://www.ibdb.com/broadway-production/our-town-13438
I'm Not Rappaport,https://www.ibdb.com/broadway-production/im-not-rappaport-13369
Bea Arthur on Broadway,https://www.ibdb.com/broadway-production/bea-arthur-on-broadway-13298
The Search for Signs of Intelligent Life in the Universe,https://www.ibdb.com/broadway-production/the-search-for-signs-of-intelligent-life-in-the-universe-12567
Dame Edna: The Royal Tour,https://www.ibdb.com/broadway-production/dame-edna-the-royal-tour-9683
Via Dolorosa,https://www.ibdb.com/broadway-production/via-dolorosa-7296
I'm Still Here...Damn It!,https://www.ibdb.com/broadway-production/im-still-heredamn-it-4881
An Evening with Jerry Herman,https://www.ibdb.com/broadway-production/an-evening-with-jerry-herman-4733
The Old Neighborhood,https://www.ibdb.com/broadway-production/the-old-neighborhood-4844
Rob Becker's Defending the Caveman,https://www.ibdb.com/broadway-production/rob-beckers-defending-the-caveman-4290
Love Thy Neighbor,https://www.ibdb.com/broadway-production/love-thy-neighbor-4324
Having Our Say,https://www.ibdb.com/broadway-production/having-our-say-4293
A Tuna Christmas,https://www.ibdb.com/broadway-production/a-tuna-christmas-4280
Broken Glass,https://www.ibdb.com/broadway-production/broken-glass-4604
The Twilight of the Golds,https://www.ibdb.com/broadway-production/the-twilight-of-the-golds-4577
Someone Who'll Watch Over Me,https://www.ibdb.com/broadway-production/someone-wholl-watch-over-me-4696
The Most Happy Fella,https://www.ibdb.com/broadway-production/the-most-happy-fella-4661
Once on This Island,https://www.ibdb.com/broadway-production/once-on-this-island-4617
Tru,https://www.ibdb.com/broadway-production/tru-4550
Shirley Valentine,https://www.ibdb.com/broadway-production/shirley-valentine-4530
"Michael Feinstein in Concert: ""Isn't It Romantic""",https://www.ibdb.com/broadway-production/michael-feinstein-in-concert-isnt-it-romantic-4519
A Walk in the Woods,https://www.ibdb.com/broadway-production/a-walk-in-the-woods-4495
I'm Not Rappaport,https://www.ibdb.com/broadway-production/im-not-rappaport-4384
Sunday in the Park with George,https://www.ibdb.com/broadway-production/sunday-in-the-park-with-george-4335
American Buffalo,https://www.ibdb.com/broadway-production/american-buffalo-4235
Total Abandon,https://www.ibdb.com/broadway-production/total-abandon-4220
Good,https://www.ibdb.com/broadway-production/good-4187
Mass Appeal,https://www.ibdb.com/broadway-production/mass-appeal-4142
An Evening With Dave Allen,https://www.ibdb.com/broadway-production/an-evening-with-dave-allen-4131
The Elephant Man,https://www.ibdb.com/broadway-production/the-elephant-man-3938
Monteith & Rand,https://www.ibdb.com/broadway-production/monteith-rand-3912
Gorey Stories,https://www.ibdb.com/broadway-production/gorey-stories-3794
Paul Robeson,https://www.ibdb.com/broadway-production/paul-robeson-4038
for colored girls who have considered suicide / when the rainbow is enuf,https://www.ibdb.com/broadway-production/for-colored-girls-who-have-considered-suicide--when-the-rainbow-is-enuf-3854
Very Good Eddie,https://www.ibdb.com/broadway-production/very-good-eddie-3778
The Leaf People,https://www.ibdb.com/broadway-production/the-leaf-people-3758
All Over Town,https://www.ibdb.com/broadway-production/all-over-town-3713
Brief Lives,https://www.ibdb.com/broadway-production/brief-lives-3481
Bad Habits,https://www.ibdb.com/broadway-production/bad-habits-3331
That Championship Season,https://www.ibdb.com/broadway-production/that-championship-season-3549
Butterflies Are Free,https://www.ibdb.com/broadway-production/butterflies-are-free-3299
"My Daughter, Your Son",https://www.ibdb.com/broadway-production/my-daughter-your-son-2871
The Dozens,https://www.ibdb.com/broadway-production/the-dozens-2858
The Mother Lover,https://www.ibdb.com/broadway-production/the-mother-lover-3454
Noël Coward's Sweet Potato,https://www.ibdb.com/broadway-production/nol-cowards-sweet-potato-3413
The Flip Side,https://www.ibdb.com/broadway-production/the-flip-side-3424
Leonard Sillman's New Faces of 1968,https://www.ibdb.com/broadway-production/leonard-sillmans-new-faces-of-1968-3395
Avanti!,https://www.ibdb.com/broadway-production/avanti-3119
The Birthday Party,https://www.ibdb.com/broadway-production/the-birthday-party-2952
The Girl in the Freudian Slip,https://www.ibdb.com/broadway-production/the-girl-in-the-freudian-slip-2945
At the Drop of Another Hat,https://www.ibdb.com/broadway-production/at-the-drop-of-another-hat-3364
Hail Scrawdyke!,https://www.ibdb.com/broadway-production/hail-scrawdyke-3356
