Title,web_Link
BOOP! The Musical,https://www.ibdb.com/broadway-production/boop-the-musical-539978
The Hills of California,https://www.ibdb.com/broadway-production/the-hills-of-california-539850
"A Beautiful Noise, The Neil Diamond Musical",https://www.ibdb.com/broadway-production/a-beautiful-noise-the-neil-diamond-musical-534723
Jagged Little Pill,https://www.ibdb.com/broadway-production/jagged-little-pill-522465
Frankie and Johnny in the Clair de Lune,https://www.ibdb.com/broadway-production/frankie-and-johnny-in-the-clair-de-lune-521362
Anastasia,https://www.ibdb.com/broadway-production/anastasia-508711
The Front Page,https://www.ibdb.com/broadway-production/the-front-page-508298
Tuck Everlasting,https://www.ibdb.com/broadway-production/tuck-everlasting-501949
Misery,https://www.ibdb.com/broadway-production/misery-501289
Mamma Mia!,https://www.ibdb.com/broadway-production/mamma-mia-12925
Lucky Guy,https://www.ibdb.com/broadway-production/lucky-guy-493577
A Streetcar Named Desire,https://www.ibdb.com/broadway-production/a-streetcar-named-desire-491729
"Hugh Jackman, Back on Broadway",https://www.ibdb.com/broadway-production/hugh-jackman-back-on-broadway-490814
Baby It's You!,https://www.ibdb.com/broadway-production/baby-its-you-489611
The Merchant of Venice,https://www.ibdb.com/broadway-production/the-merchant-of-venice-488573
Enron,https://www.ibdb.com/broadway-production/enron-485537
Hamlet,https://www.ibdb.com/broadway-production/hamlet-484340
Mary Stuart,https://www.ibdb.com/broadway-production/mary-stuart-481070
Equus,https://www.ibdb.com/broadway-production/equus-478547
Cat on a Hot Tin Roof,https://www.ibdb.com/broadway-production/cat-on-a-hot-tin-roof-474986
Les Misérables,https://www.ibdb.com/broadway-production/les-misrables-413358
The History Boys,https://www.ibdb.com/broadway-production/the-history-boys-400540
Lennon,https://www.ibdb.com/broadway-production/lennon-392133
700 Sundays,https://www.ibdb.com/broadway-production/700-sundays-383054
Never Gonna Dance,https://www.ibdb.com/broadway-production/never-gonna-dance-13518
Urban Cowboy,https://www.ibdb.com/broadway-production/urban-cowboy-13479
Into the Woods,https://www.ibdb.com/broadway-production/into-the-woods-13281
Dance of Death,https://www.ibdb.com/broadway-production/dance-of-death-12939
Fosse,https://www.ibdb.com/broadway-production/fosse-5798
Jerry Seinfeld: Live On Broadway,https://www.ibdb.com/broadway-production/jerry-seinfeld-live-on-broadway-4734
The Judas Kiss,https://www.ibdb.com/broadway-production/the-judas-kiss-4869
Proposals,https://www.ibdb.com/broadway-production/proposals-4758
Once Upon a Mattress,https://www.ibdb.com/broadway-production/once-upon-a-mattress-5141
Getting Away With Murder,https://www.ibdb.com/broadway-production/getting-away-with-murder-4322
The Tempest,https://www.ibdb.com/broadway-production/the-tempest-4312
Kiss of the Spider Woman,https://www.ibdb.com/broadway-production/kiss-of-the-spider-woman-4568
A Christmas Carol,https://www.ibdb.com/broadway-production/a-christmas-carol-4700
Shimada,https://www.ibdb.com/broadway-production/shimada-4682
Private Lives,https://www.ibdb.com/broadway-production/private-lives-4663
André Heller's Wonderhouse,https://www.ibdb.com/broadway-production/andr-hellers-wonderhouse-4646
Aspects of Love,https://www.ibdb.com/broadway-production/aspects-of-love-4559
Rumors,https://www.ibdb.com/broadway-production/rumors-4524
Broadway Bound,https://www.ibdb.com/broadway-production/broadway-bound-4434
The Life and Adventures of Nicholas Nickleby,https://www.ibdb.com/broadway-production/the-life-and-adventures-of-nicholas-nickleby-4421
Long Day's Journey Into Night,https://www.ibdb.com/broadway-production/long-days-journey-into-night-4410
The Odd Couple,https://www.ibdb.com/broadway-production/the-odd-couple-4375
Death of a Salesman,https://www.ibdb.com/broadway-production/death-of-a-salesman-4459
The Tap Dance Kid,https://www.ibdb.com/broadway-production/the-tap-dance-kid-4329
Amadeus,https://www.ibdb.com/broadway-production/amadeus-4083
Dancin',https://www.ibdb.com/broadway-production/dancin-4051
Sly Fox,https://www.ibdb.com/broadway-production/sly-fox-3880
A Texas Trilogy: The Oldest Living Graduate,https://www.ibdb.com/broadway-production/a-texas-trilogy-the-oldest-living-graduate-13295
A Texas Trilogy: The Last Meeting of the Knights of the White Magnolia,https://www.ibdb.com/broadway-production/a-texas-trilogy-the-last-meeting-of-the-knights-of-the-white-magnolia-3858
A Texas Trilogy: Lu Ann Hampton Laverty Oberlander,https://www.ibdb.com/broadway-production/a-texas-trilogy-lu-ann-hampton-laverty-oberlander-13294
Godspell,https://www.ibdb.com/broadway-production/godspell-3847
The Heiress,https://www.ibdb.com/broadway-production/the-heiress-3986
A Matter of Gravity,https://www.ibdb.com/broadway-production/a-matter-of-gravity-3789
Sherlock Holmes,https://www.ibdb.com/broadway-production/sherlock-holmes-3491
Thieves,https://www.ibdb.com/broadway-production/thieves-3325
Rachael Lily Rosenbloom and Don't You Ever Forget It,https://www.ibdb.com/broadway-production/rachael-lily-rosenbloom-and-dont-you-ever-forget-it-1059
The Sunshine Boys,https://www.ibdb.com/broadway-production/the-sunshine-boys-3160
Grease,https://www.ibdb.com/broadway-production/grease-3641
Vivat!  Vivat Regina!,https://www.ibdb.com/broadway-production/vivat-vivat-regina-3637
Twigs,https://www.ibdb.com/broadway-production/twigs-3623
"70, Girls, 70",https://www.ibdb.com/broadway-production/70-girls-70-3598
Four on a Garden,https://www.ibdb.com/broadway-production/four-on-a-garden-13032
Private Lives,https://www.ibdb.com/broadway-production/private-lives-3306
Cry for Us All,https://www.ibdb.com/broadway-production/cry-for-us-all-3522
"Play It Again, Sam",https://www.ibdb.com/broadway-production/play-it-again-sam-2849
The Fig Leaves Are Falling,https://www.ibdb.com/broadway-production/the-fig-leaves-are-falling-3446
You Know I Can't Hear You When the Water's Running,https://www.ibdb.com/broadway-production/you-know-i-cant-hear-you-when-the-waters-running-3070
The Only Game in Town,https://www.ibdb.com/broadway-production/the-only-game-in-town-3398
Weekend,https://www.ibdb.com/broadway-production/weekend-3149
More Stately Mansions,https://www.ibdb.com/broadway-production/more-stately-mansions-3373
Little Murders,https://www.ibdb.com/broadway-production/little-murders-2939
Cabaret,https://www.ibdb.com/broadway-production/cabaret-3348
Luv,https://www.ibdb.com/broadway-production/luv-2832
Half a Sixpence,https://www.ibdb.com/broadway-production/half-a-sixpence-3236
Kelly,https://www.ibdb.com/broadway-production/kelly-3225
Oh What a Lovely War,https://www.ibdb.com/broadway-production/oh-what-a-lovely-war-3214
110 in the Shade,https://www.ibdb.com/broadway-production/110-in-the-shade-3037
No Strings,https://www.ibdb.com/broadway-production/no-strings-2770
Bravo Giovanni,https://www.ibdb.com/broadway-production/bravo-giovanni-2783
My Fair Lady,https://www.ibdb.com/broadway-production/my-fair-lady-2407
Sail Away,https://www.ibdb.com/broadway-production/sail-away-2878
A Call on Kuprin,https://www.ibdb.com/broadway-production/a-call-on-kuprin-2310
Fiorello!,https://www.ibdb.com/broadway-production/fiorello-2798
The World of Suzie Wong,https://www.ibdb.com/broadway-production/the-world-of-suzie-wong-2699
Auntie Mame,https://www.ibdb.com/broadway-production/auntie-mame-2577
The Desk Set,https://www.ibdb.com/broadway-production/the-desk-set-2544
Lunatics and Lovers,https://www.ibdb.com/broadway-production/lunatics-and-lovers-2484
Anniversary Waltz,https://www.ibdb.com/broadway-production/anniversary-waltz-2447
The Prescott Proposals,https://www.ibdb.com/broadway-production/the-prescott-proposals-2423
Don Juan Tenorio,https://www.ibdb.com/broadway-production/don-juan-tenorio-13347
El Alcalde de Zalamea,https://www.ibdb.com/broadway-production/el-alcalde-de-zalamea-13348
La Vida es Sueño,https://www.ibdb.com/broadway-production/la-vida-es-sueo-13349
Reinar Duspués de Morir,https://www.ibdb.com/broadway-production/reinar-duspus-de-morir-13350
El Cardenal,https://www.ibdb.com/broadway-production/el-cardenal-13351
Cyrano de Bergerac,https://www.ibdb.com/broadway-production/cyrano-de-bergerac-13352
La Otra Honra,https://www.ibdb.com/broadway-production/la-otra-honra-13353
The Frogs of Spring,https://www.ibdb.com/broadway-production/the-frogs-of-spring-2378
The Strong Are Lonely,https://www.ibdb.com/broadway-production/the-strong-are-lonely-2371
