Title,web_Link
The Great Gatsby,https://www.ibdb.com/broadway-production/the-great-gatsby-538662
Here Lies Love,https://www.ibdb.com/broadway-production/here-lies-love-536097
The Little Prince,https://www.ibdb.com/broadway-production/the-little-prince-533150
West Side Story,https://www.ibdb.com/broadway-production/west-side-story-523117
King Kong,https://www.ibdb.com/broadway-production/king-kong-516830
Rocktopia,https://www.ibdb.com/broadway-production/rocktopia-517409
Miss Saigon,https://www.ibdb.com/broadway-production/miss-saigon-509511
Fiddler on the Roof,https://www.ibdb.com/broadway-production/fiddler-on-the-roof-501123
Doctor Zhivago,https://www.ibdb.com/broadway-production/doctor-zhivago-498431
Rodgers + Hammerstein's Cinderella,https://www.ibdb.com/broadway-production/rodgers-hammersteins-cinderella-493254
Frankie Valli and the Four Seasons On Broadway,https://www.ibdb.com/broadway-production/frankie-valli-and-the-four-seasons-on-broadway-493305
Sister Act,https://www.ibdb.com/broadway-production/sister-act-488903
"Promises, Promises",https://www.ibdb.com/broadway-production/promises-promises-485290
Shrek The Musical,https://www.ibdb.com/broadway-production/shrek-the-musical-477427
Cirque Dreams,https://www.ibdb.com/broadway-production/cirque-dreams-478310
The Color Purple,https://www.ibdb.com/broadway-production/the-color-purple-398535
Bombay Dreams,https://www.ibdb.com/broadway-production/bombay-dreams-13541
Sexaholix,https://www.ibdb.com/broadway-production/sexaholix-13581
La Bohème,https://www.ibdb.com/broadway-production/la-bohme-13346
Robin Williams: Live on Broadway,https://www.ibdb.com/broadway-production/robin-williams-live-on-broadway-13427
Blast!,https://www.ibdb.com/broadway-production/blast-12839
Miss Saigon,https://www.ibdb.com/broadway-production/miss-saigon-4639
Les Misérables,https://www.ibdb.com/broadway-production/les-misrables-4443
Costello Sings Again,https://www.ibdb.com/broadway-production/costello-sings-again-4427
Big Deal,https://www.ibdb.com/broadway-production/big-deal-4406
The King and I,https://www.ibdb.com/broadway-production/the-king-and-i-4357
The Three Musketeers,https://www.ibdb.com/broadway-production/the-three-musketeers-4351
Zorba,https://www.ibdb.com/broadway-production/zorba-4234
Evita,https://www.ibdb.com/broadway-production/evita-3809
Saravá,https://www.ibdb.com/broadway-production/sarav-3922
The Wiz,https://www.ibdb.com/broadway-production/the-wiz-3716
Nana Mouskouri on Broadway,https://www.ibdb.com/broadway-production/nana-mouskouri-on-broadway-3998
Guys and Dolls,https://www.ibdb.com/broadway-production/guys-and-dolls-3850
Candide,https://www.ibdb.com/broadway-production/candide-3708
Dude,https://www.ibdb.com/broadway-production/dude-3552
Fiddler on the Roof,https://www.ibdb.com/broadway-production/fiddler-on-the-roof-3213
Purlie,https://www.ibdb.com/broadway-production/purlie-3514
Mame,https://www.ibdb.com/broadway-production/mame-3142
Cabaret,https://www.ibdb.com/broadway-production/cabaret-3348
The Happy Time,https://www.ibdb.com/broadway-production/the-happy-time-3115
Funny Girl,https://www.ibdb.com/broadway-production/funny-girl-3054
Annie Get Your Gun,https://www.ibdb.com/broadway-production/annie-get-your-gun-3283
A Time for Singing,https://www.ibdb.com/broadway-production/a-time-for-singing-3141
The Devils,https://www.ibdb.com/broadway-production/the-devils-3265
Baker Street,https://www.ibdb.com/broadway-production/baker-street-3227
Zizi,https://www.ibdb.com/broadway-production/zizi-2837
Folies Bergère [1964],https://www.ibdb.com/broadway-production/folies-bergre-1964-3204
The Girl Who Came to Supper,https://www.ibdb.com/broadway-production/the-girl-who-came-to-supper-3048
Obratsov Russian Puppet Theatre,https://www.ibdb.com/broadway-production/obratsov-russian-puppet-theatre-13534
Tovarich,https://www.ibdb.com/broadway-production/tovarich-2996
I Can Get It for You Wholesale,https://www.ibdb.com/broadway-production/i-can-get-it-for-you-wholesale-2773
My Fair Lady,https://www.ibdb.com/broadway-production/my-fair-lady-2407
Kean,https://www.ibdb.com/broadway-production/kean-2897
Fiorello!,https://www.ibdb.com/broadway-production/fiorello-2798
The Music Man,https://www.ibdb.com/broadway-production/the-music-man-2664
Gypsy,https://www.ibdb.com/broadway-production/gypsy-2743
West Side Story,https://www.ibdb.com/broadway-production/west-side-story-2639
King Henry V,https://www.ibdb.com/broadway-production/king-henry-v-2732
Hamlet,https://www.ibdb.com/broadway-production/hamlet-2728
Twelfth Night,https://www.ibdb.com/broadway-production/twelfth-night-2724
Beryozka Russian Dance Company,https://www.ibdb.com/broadway-production/beryozka-russian-dance-company-2711
Le Cid,https://www.ibdb.com/broadway-production/le-cid-2709
Don Juan,https://www.ibdb.com/broadway-production/don-juan-2706
Marie Tudor,https://www.ibdb.com/broadway-production/marie-tudor-2703
Le Triomphe de l'Amour,https://www.ibdb.com/broadway-production/le-triomphe-de-lamour-2701
Lorenzaccio,https://www.ibdb.com/broadway-production/lorenzaccio-2698
Ballet Español,https://www.ibdb.com/broadway-production/ballet-espaol-13409
Les Ballets de Paris,https://www.ibdb.com/broadway-production/les-ballets-de-paris-13504
The Body Beautiful,https://www.ibdb.com/broadway-production/the-body-beautiful-2668
The Most Happy Fella,https://www.ibdb.com/broadway-production/the-most-happy-fella-2415
Shinbone Alley,https://www.ibdb.com/broadway-production/shinbone-alley-2622
Mr. Wonderful,https://www.ibdb.com/broadway-production/mr-wonderful-2408
The Azuma Kabuki Dancers and Musicians,https://www.ibdb.com/broadway-production/the-azuma-kabuki-dancers-and-musicians-2391
Katherine Dunham and Her Company,https://www.ibdb.com/broadway-production/katherine-dunham-and-her-company-2558
Carmen Amaya and Her Company,https://www.ibdb.com/broadway-production/carmen-amaya-and-her-company-482176
Comédie Française Program 3,https://www.ibdb.com/broadway-production/comdie-franaise-program-3-2555
Comédie Française Program 2,https://www.ibdb.com/broadway-production/comdie-franaise-program-2-2552
Comédie Française Program 1,https://www.ibdb.com/broadway-production/comdie-franaise-program-1-2545
Antonio,https://www.ibdb.com/broadway-production/antonio-481144
The Saint of Bleecker Street,https://www.ibdb.com/broadway-production/the-saint-of-bleecker-street-2490
Jose Greco,https://www.ibdb.com/broadway-production/jose-greco-2452
Roland Petit's Les Ballets de Paris,https://www.ibdb.com/broadway-production/roland-petits-les-ballets-de-paris-2434
South Pacific,https://www.ibdb.com/broadway-production/south-pacific-1831
Shuffle Along,https://www.ibdb.com/broadway-production/shuffle-along-2327
Four Saints in Three Acts,https://www.ibdb.com/broadway-production/four-saints-in-three-acts-2062
"Kiss Me, Kate",https://www.ibdb.com/broadway-production/kiss-me-kate-2167
Diamond Lil,https://www.ibdb.com/broadway-production/diamond-lil-1955
Oklahoma!,https://www.ibdb.com/broadway-production/oklahoma-1948
The Green Pastures,https://www.ibdb.com/broadway-production/the-green-pastures-1932
Where's Charley?,https://www.ibdb.com/broadway-production/wheres-charley-1910
Pardon Our French,https://www.ibdb.com/broadway-production/pardon-our-french-1812
Katherine Dunham and Her Company,https://www.ibdb.com/broadway-production/katherine-dunham-and-her-company-2142
Touch and Go,https://www.ibdb.com/broadway-production/touch-and-go-2124
As the Girls Go,https://www.ibdb.com/broadway-production/as-the-girls-go-2037
Cabalgata,https://www.ibdb.com/broadway-production/cabalgata-1839
High Button Shoes,https://www.ibdb.com/broadway-production/high-button-shoes-1576
Oedipus Rex,https://www.ibdb.com/broadway-production/oedipus-rex-2010
The Golem,https://www.ibdb.com/broadway-production/the-golem-2007
David's Crown,https://www.ibdb.com/broadway-production/davids-crown-2003
The Dybbuk,https://www.ibdb.com/broadway-production/the-dybbuk-2000
The Cradle Will Rock,https://www.ibdb.com/broadway-production/the-cradle-will-rock-1625
Beggar's Holiday,https://www.ibdb.com/broadway-production/beggars-holiday-1498
A Flag Is Born,https://www.ibdb.com/broadway-production/a-flag-is-born-1452
Ballet Theatre,https://www.ibdb.com/broadway-production/ballet-theatre-1457
Song of Norway,https://www.ibdb.com/broadway-production/song-of-norway-1320
Up in Central Park,https://www.ibdb.com/broadway-production/up-in-central-park-1669
Memphis Bound!,https://www.ibdb.com/broadway-production/memphis-bound-1703
The Tempest,https://www.ibdb.com/broadway-production/the-tempest-1668
Carmen Jones,https://www.ibdb.com/broadway-production/carmen-jones-1365
Artists and Models [1943],https://www.ibdb.com/broadway-production/artists-and-models-1943-1352
The Student Prince,https://www.ibdb.com/broadway-production/the-student-prince-1293
Lady in the Dark,https://www.ibdb.com/broadway-production/lady-in-the-dark-1275
My Sister Eileen,https://www.ibdb.com/broadway-production/my-sister-eileen-1047
La Vie Parisienne,https://www.ibdb.com/broadway-production/la-vie-parisienne-419060
New Opera Co.: Ballet Imperial / The Fair at Sorochinsk,https://www.ibdb.com/broadway-production/new-opera-co-ballet-imperial--the-fair-at-sorochinsk-1236
This Is the Army,https://www.ibdb.com/broadway-production/this-is-the-army-1208
Too Many Girls,https://www.ibdb.com/broadway-production/too-many-girls-13187
Mamba's Daughters,https://www.ibdb.com/broadway-production/mambas-daughters-13243
Folies Bergère [1939],https://www.ibdb.com/broadway-production/folies-bergre-1939-13219
