Title,web_Link
Just In Time,https://www.ibdb.com/broadway-production/just-in-time-540608
Romeo + Juliet,https://www.ibdb.com/broadway-production/romeo-juliet-539815
An Enemy of the People,https://www.ibdb.com/broadway-production/an-enemy-of-the-people-538434
Melissa Etheridge: My Window,https://www.ibdb.com/broadway-production/melissa-etheridge-my-window-537454
KPOP,https://www.ibdb.com/broadway-production/kpop-534371
American Buffalo,https://www.ibdb.com/broadway-production/american-buffalo-525177
Chicken & Biscuits,https://www.ibdb.com/broadway-production/chicken-biscuits-531921
Oklahoma!,https://www.ibdb.com/broadway-production/oklahoma-520829
Once on This Island,https://www.ibdb.com/broadway-production/once-on-this-island-514926
In Transit,https://www.ibdb.com/broadway-production/in-transit-509159
Fun Home,https://www.ibdb.com/broadway-production/fun-home-497807
The River,https://www.ibdb.com/broadway-production/the-river-497103
Lady Day at Emerson's Bar & Grill,https://www.ibdb.com/broadway-production/lady-day-at-emersons-bar-grill-496517
Bronx Bombers,https://www.ibdb.com/broadway-production/bronx-bombers-495539
Soul Doctor,https://www.ibdb.com/broadway-production/soul-doctor-494827
Godspell,https://www.ibdb.com/broadway-production/godspell-490436
Lombardi,https://www.ibdb.com/broadway-production/lombardi-487855
The Miracle Worker,https://www.ibdb.com/broadway-production/the-miracle-worker-485320
The Norman Conquests: Living Together,https://www.ibdb.com/broadway-production/the-norman-conquests-living-together-483079
The Norman Conquests: Table Manners,https://www.ibdb.com/broadway-production/the-norman-conquests-table-manners-483080
The Norman Conquests: Round and Round the Garden,https://www.ibdb.com/broadway-production/the-norman-conquests-round-and-round-the-garden-483081
Glory Days,https://www.ibdb.com/broadway-production/glory-days-478270
The 25th Annual Putnam County Spelling Bee,https://www.ibdb.com/broadway-production/the-25th-annual-putnam-county-spelling-bee-392859
Frozen,https://www.ibdb.com/broadway-production/frozen-379664
Life (x) 3,https://www.ibdb.com/broadway-production/life-x-3-13491
Metamorphoses,https://www.ibdb.com/broadway-production/metamorphoses-13324
The Rocky Horror Show,https://www.ibdb.com/broadway-production/the-rocky-horror-show-12547
True West,https://www.ibdb.com/broadway-production/true-west-12483
Not About Nightingales,https://www.ibdb.com/broadway-production/not-about-nightingales-6483
Stanley,https://www.ibdb.com/broadway-production/stanley-5145
Hughie,https://www.ibdb.com/broadway-production/hughie-4796
Tartuffe,https://www.ibdb.com/broadway-production/tartuffe-4794
Bus Stop,https://www.ibdb.com/broadway-production/bus-stop-4321
Holiday,https://www.ibdb.com/broadway-production/holiday-4318
Garden District,https://www.ibdb.com/broadway-production/garden-district-4306
The Rose Tattoo,https://www.ibdb.com/broadway-production/the-rose-tattoo-4297
Uncle Vanya,https://www.ibdb.com/broadway-production/uncle-vanya-4285
The Shadow Box,https://www.ibdb.com/broadway-production/the-shadow-box-4277
"Wilder, Wilder, Wilder",https://www.ibdb.com/broadway-production/wilder-wilder-wilder-4714
Anna Karenina,https://www.ibdb.com/broadway-production/anna-karenina-4692
Salome,https://www.ibdb.com/broadway-production/salome-4690
Chinese Coffee,https://www.ibdb.com/broadway-production/chinese-coffee-4689
Search and Destroy,https://www.ibdb.com/broadway-production/search-and-destroy-4664
On Borrowed Time,https://www.ibdb.com/broadway-production/on-borrowed-time-4645
Getting Married,https://www.ibdb.com/broadway-production/getting-married-4644
Taking Steps,https://www.ibdb.com/broadway-production/taking-steps-4631
The Miser,https://www.ibdb.com/broadway-production/the-miser-4614
Zoya's Apartment,https://www.ibdb.com/broadway-production/zoyas-apartment-4326
Sweeney Todd,https://www.ibdb.com/broadway-production/sweeney-todd-4549
Ghetto,https://www.ibdb.com/broadway-production/ghetto-4544
The Devil's Disciple,https://www.ibdb.com/broadway-production/the-devils-disciple-4523
The Night of the Iguana,https://www.ibdb.com/broadway-production/the-night-of-the-iguana-4513
An Evening with Robert Klein,https://www.ibdb.com/broadway-production/an-evening-with-robert-klein-4510
A Streetcar Named Desire,https://www.ibdb.com/broadway-production/a-streetcar-named-desire-4496
Coastal Disturbances,https://www.ibdb.com/broadway-production/coastal-disturbances-4442
You Never Can Tell,https://www.ibdb.com/broadway-production/you-never-can-tell-4422
The Boys in Autumn,https://www.ibdb.com/broadway-production/the-boys-in-autumn-4412
The Caretaker,https://www.ibdb.com/broadway-production/the-caretaker-4397
The Robert Klein Show!,https://www.ibdb.com/broadway-production/the-robert-klein-show-4391
The Marriage of Figaro,https://www.ibdb.com/broadway-production/the-marriage-of-figaro-4381
Arms and the Man,https://www.ibdb.com/broadway-production/arms-and-the-man-4374
The Loves of Anatol,https://www.ibdb.com/broadway-production/the-loves-of-anatol-4363
Design For Living,https://www.ibdb.com/broadway-production/design-for-living-4340
Awake and Sing!,https://www.ibdb.com/broadway-production/awake-and-sing-4334
Heartbreak House,https://www.ibdb.com/broadway-production/heartbreak-house-4243
The Caine Mutiny Court-Martial,https://www.ibdb.com/broadway-production/the-caine-mutiny-court-martial-4224
The Misanthrope,https://www.ibdb.com/broadway-production/the-misanthrope-4204
Present Laughter,https://www.ibdb.com/broadway-production/present-laughter-4180
Eminent Domain,https://www.ibdb.com/broadway-production/eminent-domain-4165
Macbeth,https://www.ibdb.com/broadway-production/macbeth-4159
Candida,https://www.ibdb.com/broadway-production/candida-4135
Scenes and Revelations,https://www.ibdb.com/broadway-production/scenes-and-revelations-4126
The Father,https://www.ibdb.com/broadway-production/the-father-4106
John Gabriel Borkman,https://www.ibdb.com/broadway-production/john-gabriel-borkman-4084
The Bacchae,https://www.ibdb.com/broadway-production/the-bacchae-3967
The Man Who Came to Dinner,https://www.ibdb.com/broadway-production/the-man-who-came-to-dinner-3962
Past Tense,https://www.ibdb.com/broadway-production/past-tense-3829
Major Barbara,https://www.ibdb.com/broadway-production/major-barbara-3688
Loose Ends,https://www.ibdb.com/broadway-production/loose-ends-3796
Spokesong,https://www.ibdb.com/broadway-production/spokesong-3928
Man and Superman,https://www.ibdb.com/broadway-production/man-and-superman-3908
The Inspector General,https://www.ibdb.com/broadway-production/the-inspector-general-4069
Once in a Lifetime,https://www.ibdb.com/broadway-production/once-in-a-lifetime-4065
13 Rue de l'Amour,https://www.ibdb.com/broadway-production/13-rue-de-lamour-4048
Saint Joan,https://www.ibdb.com/broadway-production/saint-joan-4032
Tartuffe,https://www.ibdb.com/broadway-production/tartuffe-4012
The Importance of Being Earnest,https://www.ibdb.com/broadway-production/the-importance-of-being-earnest-4007
Romeo and Juliet,https://www.ibdb.com/broadway-production/romeo-and-juliet-3901
The Night of the Iguana,https://www.ibdb.com/broadway-production/the-night-of-the-iguana-3881
Days in the Trees,https://www.ibdb.com/broadway-production/days-in-the-trees-3861
Pal Joey,https://www.ibdb.com/broadway-production/pal-joey-3848
The Lady from the Sea,https://www.ibdb.com/broadway-production/the-lady-from-the-sea-3979
Geraldine Fitzgerald in Songs of the Street,https://www.ibdb.com/broadway-production/geraldine-fitzgerald-in-songs-of-the-street-3978
The Glass Menagerie,https://www.ibdb.com/broadway-production/the-glass-menagerie-3777
"Ah, Wilderness!",https://www.ibdb.com/broadway-production/ah-wilderness-3754
Death of a Salesman,https://www.ibdb.com/broadway-production/death-of-a-salesman-3751
All God's Chillun Got Wings,https://www.ibdb.com/broadway-production/all-gods-chillun-got-wings-3738
Where's Charley?,https://www.ibdb.com/broadway-production/wheres-charley-3711
The National Health,https://www.ibdb.com/broadway-production/the-national-health-3477
Scapino,https://www.ibdb.com/broadway-production/scapino-3334
An American Millionaire,https://www.ibdb.com/broadway-production/an-american-millionaire-3327
The Iceman Cometh,https://www.ibdb.com/broadway-production/the-iceman-cometh-3664
The Waltz of the Toreadors,https://www.ibdb.com/broadway-production/the-waltz-of-the-toreadors-3558
Uncle Vanya,https://www.ibdb.com/broadway-production/uncle-vanya-3555
Here Are Ladies,https://www.ibdb.com/broadway-production/here-are-ladies-3187
Medea,https://www.ibdb.com/broadway-production/medea-3168
Mourning Becomes Electra,https://www.ibdb.com/broadway-production/mourning-becomes-electra-3103
