Title,web_Link
Buena Vista Social Club,https://www.ibdb.com/broadway-production/buena-vista-social-club-540360
The Notebook,https://www.ibdb.com/broadway-production/the-notebook-537723
Life of Pi,https://www.ibdb.com/broadway-production/life-of-pi-535445
Take Me Out,https://www.ibdb.com/broadway-production/take-me-out-535174
Come From Away,https://www.ibdb.com/broadway-production/come-from-away-510272
The Humans,https://www.ibdb.com/broadway-production/the-humans-503915
American Psycho,https://www.ibdb.com/broadway-production/american-psycho-503809
China Doll,https://www.ibdb.com/broadway-production/china-doll-500236
The Audience,https://www.ibdb.com/broadway-production/the-audience-497830
It's Only a Play,https://www.ibdb.com/broadway-production/its-only-a-play-497345
The Bridges of Madison County,https://www.ibdb.com/broadway-production/the-bridges-of-madison-county-494897
Orphans,https://www.ibdb.com/broadway-production/orphans-493860
Glengarry Glen Ross,https://www.ibdb.com/broadway-production/glengarry-glen-ross-493046
Gore Vidal's The Best Man,https://www.ibdb.com/broadway-production/gore-vidals-the-best-man-491515
Bonnie and Clyde,https://www.ibdb.com/broadway-production/bonnie-and-clyde-490509
The Motherfucker with the Hat,https://www.ibdb.com/broadway-production/the-motherfucker-with-the-hat-489079
A Life in the Theatre,https://www.ibdb.com/broadway-production/a-life-in-the-theatre-488279
A Behanding in Spokane,https://www.ibdb.com/broadway-production/a-behanding-in-spokane-485319
A Steady Rain,https://www.ibdb.com/broadway-production/a-steady-rain-484365
Impressionism,https://www.ibdb.com/broadway-production/impressionism-482092
All My Sons,https://www.ibdb.com/broadway-production/all-my-sons-479544
A Chorus Line,https://www.ibdb.com/broadway-production/a-chorus-line-402597
The Caine Mutiny Court-Martial,https://www.ibdb.com/broadway-production/the-caine-mutiny-court-martial-395623
Chita Rivera: The Dancer's Life,https://www.ibdb.com/broadway-production/chita-rivera-the-dancers-life-400387
Brooklyn,https://www.ibdb.com/broadway-production/brooklyn-383057
