Title,web_Link
Wicked,https://www.ibdb.com/broadway-production/wicked-13485
Oklahoma!,https://www.ibdb.com/broadway-production/oklahoma-12938
Linda Eder at the Gershwin,https://www.ibdb.com/broadway-production/linda-eder-at-the-gershwin-13303
Riverdance - On Broadway,https://www.ibdb.com/broadway-production/riverdance--on-broadway-12489
Tango Argentino,https://www.ibdb.com/broadway-production/tango-argentino-12499
Peter Pan,https://www.ibdb.com/broadway-production/peter-pan-7750
On the Town,https://www.ibdb.com/broadway-production/on-the-town-5148
1776,https://www.ibdb.com/broadway-production/1776-4754
Candide,https://www.ibdb.com/broadway-production/candide-4751
"Men are from Mars, Women are From Venus",https://www.ibdb.com/broadway-production/men-are-from-mars-women-are-from-venus-5142
Show Boat,https://www.ibdb.com/broadway-production/show-boat-4269
The Red Shoes,https://www.ibdb.com/broadway-production/the-red-shoes-4591
Camelot,https://www.ibdb.com/broadway-production/camelot-4571
Yanni,https://www.ibdb.com/broadway-production/yanni-12514
Raffi,https://www.ibdb.com/broadway-production/raffi-4712
Tommy Tune Tonite!,https://www.ibdb.com/broadway-production/tommy-tune-tonite-4701
Grand Hotel,https://www.ibdb.com/broadway-production/grand-hotel-4254
Moscow Circus - Cirk Valentin,https://www.ibdb.com/broadway-production/moscow-circus--cirk-valentin-4649
Fiddler on the Roof,https://www.ibdb.com/broadway-production/fiddler-on-the-roof-4625
Bugs Bunny on Broadway,https://www.ibdb.com/broadway-production/bugs-bunny-on-broadway-4328
Meet Me in St. Louis,https://www.ibdb.com/broadway-production/meet-me-in-st-louis-4251
Barry Manilow at the Gershwin,https://www.ibdb.com/broadway-production/barry-manilow-at-the-gershwin-4541
Starlight Express,https://www.ibdb.com/broadway-production/starlight-express-4444
Singin' in the Rain,https://www.ibdb.com/broadway-production/singin-in-the-rain-4376
An Evening with Smokey Robinson,https://www.ibdb.com/broadway-production/an-evening-with-smokey-robinson-524558
Patti LaBelle on Broadway: The 'Look to the Rainbow' Tour,https://www.ibdb.com/broadway-production/patti-labelle-on-broadway-the-look-to-the-rainbow-tour-524826
Cyrano de Bergerac,https://www.ibdb.com/broadway-production/cyrano-de-bergerac-4348
Much Ado About Nothing,https://www.ibdb.com/broadway-production/much-ado-about-nothing-4347
Patti LaBelle on Broadway: The 'Look to the Rainbow' Tour,https://www.ibdb.com/broadway-production/patti-labelle-on-broadway-the-look-to-the-rainbow-tour-13329
Gladys Knight & the Pips & Kashif,https://www.ibdb.com/broadway-production/gladys-knight-the-pips-kashif-528336
Nureyev and Friends,https://www.ibdb.com/broadway-production/nureyev-and-friends-493563
Twyla Tharp Dance on Broadway,https://www.ibdb.com/broadway-production/twyla-tharp-dance-on-broadway-528525
Shirley MacLaine on Broadway,https://www.ibdb.com/broadway-production/shirley-maclaine-on-broadway-4462
Mame,https://www.ibdb.com/broadway-production/mame-4230
Show Boat,https://www.ibdb.com/broadway-production/show-boat-4219
