Title,web_Link
Chess,https://www.ibdb.com/broadway-production/chess-543200
SMASH,https://www.ibdb.com/broadway-production/smash-540710
Water for Elephants,https://www.ibdb.com/broadway-production/water-for-elephants-537967
Bad Cinderella,https://www.ibdb.com/broadway-production/bad-cinderella-535361
Ain't Too Proud,https://www.ibdb.com/broadway-production/aint-too-proud-520004
Ruben & Clay's First Annual Christmas Carol Family Fun Pageant Spectacular Reunion Show,https://www.ibdb.com/broadway-production/ruben-clays-first-annual-christmas-carol-family-fun-pageant-spectacular-reunion-show-520256
Carousel,https://www.ibdb.com/broadway-production/carousel-515791
"Natasha, Pierre & The Great Comet of 1812",https://www.ibdb.com/broadway-production/natasha-pierre-the-great-comet-of-1812-506425
Les Misérables,https://www.ibdb.com/broadway-production/les-misrables-494837
700 Sundays,https://www.ibdb.com/broadway-production/700-sundays-494801
Nice Work If You Can Get It,https://www.ibdb.com/broadway-production/nice-work-if-you-can-get-it-491374
Billy Elliot: The Musical,https://www.ibdb.com/broadway-production/billy-elliot-the-musical-475107
August: Osage County,https://www.ibdb.com/broadway-production/august-osage-county-467754
Coram Boy,https://www.ibdb.com/broadway-production/coram-boy-456224
High Fidelity,https://www.ibdb.com/broadway-production/high-fidelity-446878
Dirty Rotten Scoundrels,https://www.ibdb.com/broadway-production/dirty-rotten-scoundrels-383315
The Boy From Oz,https://www.ibdb.com/broadway-production/the-boy-from-oz-13424
Les Misérables,https://www.ibdb.com/broadway-production/les-misrables-4443
Jerome Robbins' Broadway,https://www.ibdb.com/broadway-production/jerome-robbins-broadway-4533
Chess,https://www.ibdb.com/broadway-production/chess-4504
Cabaret,https://www.ibdb.com/broadway-production/cabaret-4484
The Mystery of Edwin Drood,https://www.ibdb.com/broadway-production/the-mystery-of-edwin-drood-4386
Dreamgirls,https://www.ibdb.com/broadway-production/dreamgirls-4152
They're Playing Our Song,https://www.ibdb.com/broadway-production/theyre-playing-our-song-3919
Chapter Two,https://www.ibdb.com/broadway-production/chapter-two-4031
Comedy With Music,https://www.ibdb.com/broadway-production/comedy-with-music-4014
Anna Christie,https://www.ibdb.com/broadway-production/anna-christie-3993
Mark Twain Tonight!,https://www.ibdb.com/broadway-production/mark-twain-tonight-3900
Pippin,https://www.ibdb.com/broadway-production/pippin-3096
Lost in the Stars,https://www.ibdb.com/broadway-production/lost-in-the-stars-3532
On the Town,https://www.ibdb.com/broadway-production/on-the-town-3619
Two By Two,https://www.ibdb.com/broadway-production/two-by-two-12578
Minnie's Boys,https://www.ibdb.com/broadway-production/minnies-boys-3517
A Patriot for Me,https://www.ibdb.com/broadway-production/a-patriot-for-me-3463
Zorba,https://www.ibdb.com/broadway-production/zorba-3434
Cabaret,https://www.ibdb.com/broadway-production/cabaret-3348
Fiddler on the Roof,https://www.ibdb.com/broadway-production/fiddler-on-the-roof-3213
Oliver!,https://www.ibdb.com/broadway-production/oliver-2976
Carnival!,https://www.ibdb.com/broadway-production/carnival-2302
Gypsy,https://www.ibdb.com/broadway-production/gypsy-2743
Destry Rides Again,https://www.ibdb.com/broadway-production/destry-rides-again-2740
Jamaica,https://www.ibdb.com/broadway-production/jamaica-2653
The Most Happy Fella,https://www.ibdb.com/broadway-production/the-most-happy-fella-2415
Silk Stockings,https://www.ibdb.com/broadway-production/silk-stockings-2504
By the Beautiful Sea,https://www.ibdb.com/broadway-production/by-the-beautiful-sea-2448
John Murray Anderson's Almanac,https://www.ibdb.com/broadway-production/john-murray-andersons-almanac-2422
Wish You Were Here,https://www.ibdb.com/broadway-production/wish-you-were-here-2333
Call Me Madam,https://www.ibdb.com/broadway-production/call-me-madam-1871
Peter Pan,https://www.ibdb.com/broadway-production/peter-pan-2143
Miss Liberty,https://www.ibdb.com/broadway-production/miss-liberty-1840
Along Fifth Avenue,https://www.ibdb.com/broadway-production/along-fifth-avenue-2056
Annie Get Your Gun,https://www.ibdb.com/broadway-production/annie-get-your-gun-1440
Song of Norway,https://www.ibdb.com/broadway-production/song-of-norway-1320
Ziegfeld Follies of 1943,https://www.ibdb.com/broadway-production/ziegfeld-follies-of-1943-1286
One Touch of Venus,https://www.ibdb.com/broadway-production/one-touch-of-venus-1341
Rosalinda,https://www.ibdb.com/broadway-production/rosalinda-1235
Let's Face It!,https://www.ibdb.com/broadway-production/lets-face-it-1123
Louisiana Purchase,https://www.ibdb.com/broadway-production/louisiana-purchase-13260
Too Many Girls,https://www.ibdb.com/broadway-production/too-many-girls-13187
Leave It to Me!,https://www.ibdb.com/broadway-production/leave-it-to-me-12393
You Can't Take It With You,https://www.ibdb.com/broadway-production/you-cant-take-it-with-you-9741
Between the Devil,https://www.ibdb.com/broadway-production/between-the-devil-12333
Orchids Preferred,https://www.ibdb.com/broadway-production/orchids-preferred-12222
Frederika,https://www.ibdb.com/broadway-production/frederika-12191
Hamlet,https://www.ibdb.com/broadway-production/hamlet-12163
On Your Toes,https://www.ibdb.com/broadway-production/on-your-toes-12114
Jubilee,https://www.ibdb.com/broadway-production/jubilee-12000
Panic,https://www.ibdb.com/broadway-production/panic-9724
