Title,web_Link
Dead Outlaw,https://www.ibdb.com/broadway-production/dead-outlaw-541173
Swept Away,https://www.ibdb.com/broadway-production/swept-away-539888
Lempicka,https://www.ibdb.com/broadway-production/lempicka-538366
Leopoldstadt,https://www.ibdb.com/broadway-production/leopoldstadt-534820
Macbeth,https://www.ibdb.com/broadway-production/macbeth-532512
"Diana, The Musical",https://www.ibdb.com/broadway-production/diana-the-musical-523677
The Lightning Thief,https://www.ibdb.com/broadway-production/the-lightning-thief-523671
The Prom,https://www.ibdb.com/broadway-production/the-prom-518117
A Bronx Tale The Musical,https://www.ibdb.com/broadway-production/a-bronx-tale-the-musical-508538
Allegiance,https://www.ibdb.com/broadway-production/allegiance-499860
Living on Love,https://www.ibdb.com/broadway-production/living-on-love-498988
You Can't Take It With You,https://www.ibdb.com/broadway-production/you-cant-take-it-with-you-497263
Of Mice and Men,https://www.ibdb.com/broadway-production/of-mice-and-men-495843
First Date,https://www.ibdb.com/broadway-production/first-date-494334
The Performers,https://www.ibdb.com/broadway-production/the-performers-493214
Mike Tyson: Undisputed Truth,https://www.ibdb.com/broadway-production/mike-tyson-undisputed-truth-493055
Magic/Bird,https://www.ibdb.com/broadway-production/magic-bird-491567
Chinglish,https://www.ibdb.com/broadway-production/chinglish-490700
La Cage aux Folles,https://www.ibdb.com/broadway-production/la-cage-aux-folles-484929
Burn the Floor,https://www.ibdb.com/broadway-production/burn-the-floor-484014
Boeing-Boeing,https://www.ibdb.com/broadway-production/boeing-boeing-477454
Talk Radio,https://www.ibdb.com/broadway-production/talk-radio-448819
Well,https://www.ibdb.com/broadway-production/well-406665
Who's Afraid of Virginia Woolf?,https://www.ibdb.com/broadway-production/whos-afraid-of-virginia-woolf-384288
Prymate,https://www.ibdb.com/broadway-production/prymate-377605
Oldest Living Confederate Widow Tells All,https://www.ibdb.com/broadway-production/oldest-living-confederate-widow-tells-all-13522
Russell Simmons Def Poetry Jam,https://www.ibdb.com/broadway-production/russell-simmons-def-poetry-jam-13436
One Mo' Time,https://www.ibdb.com/broadway-production/one-mo-time-13302
A Thousand Clowns,https://www.ibdb.com/broadway-production/a-thousand-clowns-12872
Judgment at Nuremberg,https://www.ibdb.com/broadway-production/judgment-at-nuremberg-12819
Taller Than a Dwarf,https://www.ibdb.com/broadway-production/taller-than-a-dwarf-12494
Voices in the Dark,https://www.ibdb.com/broadway-production/voices-in-the-dark-11794
The Gershwins' Fascinating Rhythm,https://www.ibdb.com/broadway-production/the-gershwins-fascinating-rhythm-7299
Golden Child,https://www.ibdb.com/broadway-production/golden-child-4864
The Young Man from Atlanta,https://www.ibdb.com/broadway-production/the-young-man-from-atlanta-4741
Paul Robeson,https://www.ibdb.com/broadway-production/paul-robeson-4319
Medea,https://www.ibdb.com/broadway-production/medea-4600
Any Given Day,https://www.ibdb.com/broadway-production/any-given-day-4583
Tony Bennett: Steppin' Out on Broadway,https://www.ibdb.com/broadway-production/tony-bennett-steppin-out-on-broadway-4576
Tango Pasion,https://www.ibdb.com/broadway-production/tango-pasion-4567
Truly Blessed,https://www.ibdb.com/broadway-production/truly-blessed-4561
