Title,web_Link
Gypsy,https://www.ibdb.com/broadway-production/gypsy-539831
The Phantom of the Opera,https://www.ibdb.com/broadway-production/the-phantom-of-the-opera-4491
42nd Street,https://www.ibdb.com/broadway-production/42nd-street-3963
Brigadoon,https://www.ibdb.com/broadway-production/brigadoon-3971
Blackstone!,https://www.ibdb.com/broadway-production/blackstone-3955
Grease,https://www.ibdb.com/broadway-production/grease-3641
Bette! Divine Madness,https://www.ibdb.com/broadway-production/bette-divine-madness-3824
The Most Happy Fella,https://www.ibdb.com/broadway-production/the-most-happy-fella-3814
I Remember Mama,https://www.ibdb.com/broadway-production/i-remember-mama-3795
Ballroom,https://www.ibdb.com/broadway-production/ballroom-3907
First Monday in October,https://www.ibdb.com/broadway-production/first-monday-in-october-3791
The Act,https://www.ibdb.com/broadway-production/the-act-4022
Estrada,https://www.ibdb.com/broadway-production/estrada-4011
The Wiz,https://www.ibdb.com/broadway-production/the-wiz-3716
Mack & Mabel,https://www.ibdb.com/broadway-production/mack-mabel-3473
A Little Night Music,https://www.ibdb.com/broadway-production/a-little-night-music-3176
Sugar,https://www.ibdb.com/broadway-production/sugar-3528
1776,https://www.ibdb.com/broadway-production/1776-2859
"Lovely Ladies, Kind Gentlemen",https://www.ibdb.com/broadway-production/lovely-ladies-kind-gentlemen-3574
Fiddler on the Roof,https://www.ibdb.com/broadway-production/fiddler-on-the-roof-3213
The Persecution and Assassination of Jean-Paul Marat as Performed by the Inmates of the Asylum of Charenton Under the Direction of the Marquis de Sade,https://www.ibdb.com/broadway-production/the-persecution-and-assassination-of-jean-paul-marat-as-performed-by-the-inmates-of-the-asylum-of-charenton-under-the-direction-of-the-marquis-de-sade-3365
Breakfast at Tiffany's,https://www.ibdb.com/broadway-production/breakfast-at-tiffanys-12867
Funny Girl,https://www.ibdb.com/broadway-production/funny-girl-3054
Golden Boy,https://www.ibdb.com/broadway-production/golden-boy-3220
A Funny Thing Happened on the Way to the Forum,https://www.ibdb.com/broadway-production/a-funny-thing-happened-on-the-way-to-the-forum-2779
Anyone Can Whistle,https://www.ibdb.com/broadway-production/anyone-can-whistle-3058
Jennie,https://www.ibdb.com/broadway-production/jennie-3033
