Title,web_Link
Stranger Things: The First Shadow,https://www.ibdb.com/broadway-production/stranger-things-the-first-shadow-540113
Elf,https://www.ibdb.com/broadway-production/elf-540332
The Wiz,https://www.ibdb.com/broadway-production/the-wiz-538120
Once Upon a One More Time,https://www.ibdb.com/broadway-production/once-upon-a-one-more-time-535897
Jonas Brothers on Broadway,https://www.ibdb.com/broadway-production/jonas-brothers-on-broadway-536538
Beetlejuice,https://www.ibdb.com/broadway-production/beetlejuice-532410
Tootsie,https://www.ibdb.com/broadway-production/tootsie-519394
Celebrity Autobiography,https://www.ibdb.com/broadway-production/celebrity-autobiography-520492
The Illusionists - Magic of the Holidays,https://www.ibdb.com/broadway-production/the-illusionists--magic-of-the-holidays-519594
Escape to Margaritaville,https://www.ibdb.com/broadway-production/escape-to-margaritaville-515030
Black to the Future,https://www.ibdb.com/broadway-production/black-to-the-future-508588
On Your Feet!,https://www.ibdb.com/broadway-production/on-your-feet-497820
Penn & Teller On Broadway,https://www.ibdb.com/broadway-production/penn-teller-on-broadway-500015
The Illusionists - Witness the Impossible,https://www.ibdb.com/broadway-production/the-illusionists--witness-the-impossible-497602
Il Divo - A Musical Affair,https://www.ibdb.com/broadway-production/il-divo--a-musical-affair-495272
Jekyll & Hyde,https://www.ibdb.com/broadway-production/jekyll-hyde-493330
Evita,https://www.ibdb.com/broadway-production/evita-491036
Follies,https://www.ibdb.com/broadway-production/follies-490537
Wonderland,https://www.ibdb.com/broadway-production/wonderland-488710
Donny & Marie,https://www.ibdb.com/broadway-production/donny-marie-489069
Come Fly Away,https://www.ibdb.com/broadway-production/come-fly-away-485560
Irving Berlin's White Christmas,https://www.ibdb.com/broadway-production/irving-berlins-white-christmas-484859
9 to 5,https://www.ibdb.com/broadway-production/9-to-5-480320
Soul of Shaolin,https://www.ibdb.com/broadway-production/soul-of-shaolin-481614
Irving Berlin's White Christmas,https://www.ibdb.com/broadway-production/irving-berlins-white-christmas-480731
Cry-Baby,https://www.ibdb.com/broadway-production/cry-baby-476233
The Drowsy Chaperone,https://www.ibdb.com/broadway-production/the-drowsy-chaperone-412775
The Woman in White,https://www.ibdb.com/broadway-production/the-woman-in-white-400390
La Cage aux Folles,https://www.ibdb.com/broadway-production/la-cage-aux-folles-383058
Thoroughly Modern Millie,https://www.ibdb.com/broadway-production/thoroughly-modern-millie-13138
A Christmas Carol,https://www.ibdb.com/broadway-production/a-christmas-carol-13301
Annie Get Your Gun,https://www.ibdb.com/broadway-production/annie-get-your-gun-6287
Peter Pan,https://www.ibdb.com/broadway-production/peter-pan-12557
Aznavour,https://www.ibdb.com/broadway-production/aznavour-4882
Forever Tango,https://www.ibdb.com/broadway-production/forever-tango-4753
The Capeman,https://www.ibdb.com/broadway-production/the-capeman-5147
Victor / Victoria,https://www.ibdb.com/broadway-production/victor--victoria-4310
Damn Yankees,https://www.ibdb.com/broadway-production/damn-yankees-4595
The Goodbye Girl,https://www.ibdb.com/broadway-production/the-goodbye-girl-4706
Oba Oba '93,https://www.ibdb.com/broadway-production/oba-oba-93-4693
Man of La Mancha,https://www.ibdb.com/broadway-production/man-of-la-mancha-4683
Nick & Nora,https://www.ibdb.com/broadway-production/nick-nora-4653
Gypsy,https://www.ibdb.com/broadway-production/gypsy-4256
"Shogun, The Musical",https://www.ibdb.com/broadway-production/shogun-the-musical-4624
Oba Oba '90,https://www.ibdb.com/broadway-production/oba-oba-90-4555
Me and My Girl,https://www.ibdb.com/broadway-production/me-and-my-girl-4419
Shirley Bassey,https://www.ibdb.com/broadway-production/shirley-bassey-4416
