Title,web_Link
The Lion King,https://www.ibdb.com/broadway-production/the-lion-king-4761
Fiddler on the Roof,https://www.ibdb.com/broadway-production/fiddler-on-the-roof-13483
Dance of the Vampires,https://www.ibdb.com/broadway-production/dance-of-the-vampires-13164
The Adventures of Tom Sawyer,https://www.ibdb.com/broadway-production/the-adventures-of-tom-sawyer-12838
Saturday Night Fever,https://www.ibdb.com/broadway-production/saturday-night-fever-9684
The Scarlet Pimpernel,https://www.ibdb.com/broadway-production/the-scarlet-pimpernel-12566
The Scarlet Pimpernel,https://www.ibdb.com/broadway-production/the-scarlet-pimpernel-12566
Sunset Boulevard,https://www.ibdb.com/broadway-production/sunset-boulevard-4275
Joseph and the Amazing Technicolor Dreamcoat,https://www.ibdb.com/broadway-production/joseph-and-the-amazing-technicolor-dreamcoat-4581
Metro,https://www.ibdb.com/broadway-production/metro-4680
Peter Pan,https://www.ibdb.com/broadway-production/peter-pan-12564
Black and Blue,https://www.ibdb.com/broadway-production/black-and-blue-4528
Canciones de mi Padre,https://www.ibdb.com/broadway-production/canciones-de-mi-padre-4514
Cabaret,https://www.ibdb.com/broadway-production/cabaret-4484
Teddy & Alice,https://www.ibdb.com/broadway-production/teddy-alice-4487
Sweet Charity,https://www.ibdb.com/broadway-production/sweet-charity-4409
The Temptations and The Four Tops,https://www.ibdb.com/broadway-production/the-temptations-and-the-four-tops-4402
"Peter, Paul & Mary ""From Bleecker to Broadway""",https://www.ibdb.com/broadway-production/peter-paul-mary-from-bleecker-to-broadway-4400
Patti LaBelle,https://www.ibdb.com/broadway-production/patti-labelle-4398
The Tap Dance Kid,https://www.ibdb.com/broadway-production/the-tap-dance-kid-4329
Marilyn,https://www.ibdb.com/broadway-production/marilyn-4239
Dance a Little Closer,https://www.ibdb.com/broadway-production/dance-a-little-closer-4227
The Pirates of Penzance,https://www.ibdb.com/broadway-production/the-pirates-of-penzance-4088
Can-Can,https://www.ibdb.com/broadway-production/can-can-4113
West Side Story,https://www.ibdb.com/broadway-production/west-side-story-3684
Chinese Acrobats & Magicians of Taiwan,https://www.ibdb.com/broadway-production/chinese-acrobats-magicians-of-taiwan-3827
Engelbert (Humperdinck) on Broadway,https://www.ibdb.com/broadway-production/engelbert-humperdinck-on-broadway-3818
Shirley Bassey,https://www.ibdb.com/broadway-production/shirley-bassey-13104
Got Tu Go Disco,https://www.ibdb.com/broadway-production/got-tu-go-disco-3802
Béjart: Ballet of the Twentieth Century,https://www.ibdb.com/broadway-production/bjart-ballet-of-the-twentieth-century-13103
Icedancing,https://www.ibdb.com/broadway-production/icedancing-3909
King of Hearts,https://www.ibdb.com/broadway-production/king-of-hearts-3792
Angel,https://www.ibdb.com/broadway-production/angel-4059
Dutch National Ballet,https://www.ibdb.com/broadway-production/dutch-national-ballet-501214
Murray Louis Dance Company,https://www.ibdb.com/broadway-production/murray-louis-dance-company-13101
Cleo on Broadway,https://www.ibdb.com/broadway-production/cleo-on-broadway-4015
Pippin,https://www.ibdb.com/broadway-production/pippin-3096
Merce Cunningham and Dance Company,https://www.ibdb.com/broadway-production/merce-cunningham-and-dance-company-13099
Chinese Acrobats of Taiwan,https://www.ibdb.com/broadway-production/chinese-acrobats-of-taiwan-3873
Dutch National Ballet,https://www.ibdb.com/broadway-production/dutch-national-ballet-13102
Debbie,https://www.ibdb.com/broadway-production/debbie-3855
Rockabye Hamlet,https://www.ibdb.com/broadway-production/rockabye-hamlet-3790
"Hello, Dolly!",https://www.ibdb.com/broadway-production/hello-dolly-3769
Bette Midler's Clams on the Half Shell Revue,https://www.ibdb.com/broadway-production/bette-midlers-clams-on-the-half-shell-revue-3744
Clarence Darrow,https://www.ibdb.com/broadway-production/clarence-darrow-3727
Tony & Lena Sing,https://www.ibdb.com/broadway-production/tony-lena-sing-3485
Charles Aznavour on Broadway,https://www.ibdb.com/broadway-production/charles-aznavour-on-broadway-3479
Irene,https://www.ibdb.com/broadway-production/irene-3182
