Title,web_Link
MJ,https://www.ibdb.com/broadway-production/mj-524797
The Illusionists - Magic of the Holidays,https://www.ibdb.com/broadway-production/the-illusionists--magic-of-the-holidays-523538
The Cher Show,https://www.ibdb.com/broadway-production/the-cher-show-518460
Angels in America: Millennium Approaches,https://www.ibdb.com/broadway-production/angels-in-america-millennium-approaches-515873
Angels in America: Perestroika,https://www.ibdb.com/broadway-production/angels-in-america-perestroika-515874
Cats,https://www.ibdb.com/broadway-production/cats-504579
The Illusionists - Live on Broadway,https://www.ibdb.com/broadway-production/the-illusionists--live-on-broadway-501229
Gigi,https://www.ibdb.com/broadway-production/gigi-499196
The Last Ship,https://www.ibdb.com/broadway-production/the-last-ship-496367
All The Way,https://www.ibdb.com/broadway-production/all-the-way-495850
Big Fish,https://www.ibdb.com/broadway-production/big-fish-493988
Scandalous,https://www.ibdb.com/broadway-production/scandalous-493183
Jesus Christ Superstar,https://www.ibdb.com/broadway-production/jesus-christ-superstar-490940
Catch Me If You Can,https://www.ibdb.com/broadway-production/catch-me-if-you-can-488876
Rain,https://www.ibdb.com/broadway-production/rain-488176
"Harry Connick, Jr. in Concert on Broadway",https://www.ibdb.com/broadway-production/harry-connick-jr-in-concert-on-broadway-488126
Ragtime,https://www.ibdb.com/broadway-production/ragtime-484345
Hairspray,https://www.ibdb.com/broadway-production/hairspray-13371
Elaine Stritch At Liberty,https://www.ibdb.com/broadway-production/elaine-stritch-at-liberty-13309
The Music Man,https://www.ibdb.com/broadway-production/the-music-man-12495
The Scarlet Pimpernel,https://www.ibdb.com/broadway-production/the-scarlet-pimpernel-12566
Natalie Merchant,https://www.ibdb.com/broadway-production/natalie-merchant-12687
Swan Lake,https://www.ibdb.com/broadway-production/swan-lake-4875
A View From the Bridge,https://www.ibdb.com/broadway-production/a-view-from-the-bridge-5146
The King and I,https://www.ibdb.com/broadway-production/the-king-and-i-4673
Danny Gans on Broadway: The Man of Many Voices,https://www.ibdb.com/broadway-production/danny-gans-on-broadway-the-man-of-many-voices-4315
Laurie Anderson on Broadway: The Nerve Bible,https://www.ibdb.com/broadway-production/laurie-anderson-on-broadway-the-nerve-bible-4292
Basia on Broadway,https://www.ibdb.com/broadway-production/basia-on-broadway-4274
The Rise and Fall of Little Voice,https://www.ibdb.com/broadway-production/the-rise-and-fall-of-little-voice-4607
Cyrano - The Musical,https://www.ibdb.com/broadway-production/cyrano--the-musical-4585
Jake's Women,https://www.ibdb.com/broadway-production/jakes-women-4668
Jackie Mason: Brand New,https://www.ibdb.com/broadway-production/jackie-mason-brand-new-4615
Don Cossacks,https://www.ibdb.com/broadway-production/don-cossacks-4553
Orpheus Descending,https://www.ibdb.com/broadway-production/orpheus-descending-4245
Senator Joe,https://www.ibdb.com/broadway-production/senator-joe-1063
Kenny Loggins on Broadway,https://www.ibdb.com/broadway-production/kenny-loggins-on-broadway-4521
"Ah, Wilderness!",https://www.ibdb.com/broadway-production/ah-wilderness-4512
Long Day's Journey Into Night,https://www.ibdb.com/broadway-production/long-days-journey-into-night-4509
Breaking the Code,https://www.ibdb.com/broadway-production/breaking-the-code-4488
Mort Sahl on Broadway!,https://www.ibdb.com/broadway-production/mort-sahl-on-broadway-4478
Blithe Spirit,https://www.ibdb.com/broadway-production/blithe-spirit-4447
Into the Light,https://www.ibdb.com/broadway-production/into-the-light-4428
Biloxi Blues,https://www.ibdb.com/broadway-production/biloxi-blues-4366
Brighton Beach Memoirs,https://www.ibdb.com/broadway-production/brighton-beach-memoirs-4212
