Title,web_Link
Aladdin,https://www.ibdb.com/broadway-production/aladdin-495244
Mary Poppins,https://www.ibdb.com/broadway-production/mary-poppins-408494
The Lion King,https://www.ibdb.com/broadway-production/the-lion-king-4761
King David,https://www.ibdb.com/broadway-production/king-david-4728
Othello,https://www.ibdb.com/broadway-production/othello-12180
Forbidden Melody,https://www.ibdb.com/broadway-production/forbidden-melody-12158
Cyrano de Bergerac,https://www.ibdb.com/broadway-production/cyrano-de-bergerac-12121
George White's Scandals [1936],https://www.ibdb.com/broadway-production/george-whites-scandals-1936-12048
Revenge with Music,https://www.ibdb.com/broadway-production/revenge-with-music-9389
Roberta,https://www.ibdb.com/broadway-production/roberta-11791
Murder at the Vanities,https://www.ibdb.com/broadway-production/murder-at-the-vanities-11753
The Cherry Orchard,https://www.ibdb.com/broadway-production/the-cherry-orchard-11735
Cyrano de Bergerac,https://www.ibdb.com/broadway-production/cyrano-de-bergerac-11548
The Dark Hours,https://www.ibdb.com/broadway-production/the-dark-hours-11670
Face the Music,https://www.ibdb.com/broadway-production/face-the-music-11494
The Band Wagon,https://www.ibdb.com/broadway-production/the-band-wagon-11380
The Admirable Crichton,https://www.ibdb.com/broadway-production/the-admirable-crichton-11335
Earl Carroll's Vanities [1930],https://www.ibdb.com/broadway-production/earl-carrolls-vanities-1930-11131
Ripples,https://www.ibdb.com/broadway-production/ripples-11048
Sherlock Holmes,https://www.ibdb.com/broadway-production/sherlock-holmes-10986
Whoopee!,https://www.ibdb.com/broadway-production/whoopee-10796
Rosalie,https://www.ibdb.com/broadway-production/rosalie-10548
Ziegfeld Follies of 1927,https://www.ibdb.com/broadway-production/ziegfeld-follies-of-1927-10347
Julius Caesar,https://www.ibdb.com/broadway-production/julius-caesar-10331
Lucky,https://www.ibdb.com/broadway-production/lucky-10259
"Trelawny of the ""Wells""",https://www.ibdb.com/broadway-production/trelawny-of-the-wells-10222
Betsy,https://www.ibdb.com/broadway-production/betsy-10189
Sunny,https://www.ibdb.com/broadway-production/sunny-9907
Ziegfeld Follies of 1925,https://www.ibdb.com/broadway-production/ziegfeld-follies-of-1925-397335
Ziegfeld Follies of 1924,https://www.ibdb.com/broadway-production/ziegfeld-follies-of-1924-9541
Plain Jane,https://www.ibdb.com/broadway-production/plain-jane-9522
Ziegfeld Follies of 1923,https://www.ibdb.com/broadway-production/ziegfeld-follies-of-1923-9302
Sally,https://www.ibdb.com/broadway-production/sally-13585
Ziegfeld Follies of 1923 [Summer Edition],https://www.ibdb.com/broadway-production/ziegfeld-follies-of-1923-summer-edition-452545
Ziegfeld Follies of 1922,https://www.ibdb.com/broadway-production/ziegfeld-follies-of-1922-12815
Sally,https://www.ibdb.com/broadway-production/sally-9011
