Title,web_Link
Beetlejuice,https://www.ibdb.com/broadway-production/beetlejuice-543150
Glengarry Glen Ross,https://www.ibdb.com/broadway-production/glengarry-glen-ross-541094
Tammy Faye,https://www.ibdb.com/broadway-production/tammy-faye-539152
Ben Platt: Live at the Palace,https://www.ibdb.com/broadway-production/ben-platt-live-at-the-palace-539105
SpongeBob SquarePants,https://www.ibdb.com/broadway-production/spongebob-squarepants-515039
Sunset Boulevard,https://www.ibdb.com/broadway-production/sunset-boulevard-511108
The Illusionists - Turn of the Century,https://www.ibdb.com/broadway-production/the-illusionists--turn-of-the-century-508382
An American in Paris,https://www.ibdb.com/broadway-production/an-american-in-paris-497695
The Temptations and The Four Tops On Broadway,https://www.ibdb.com/broadway-production/the-temptations-and-the-four-tops-on-broadway-498687
Holler If Ya Hear Me,https://www.ibdb.com/broadway-production/holler-if-ya-hear-me-496054
Annie,https://www.ibdb.com/broadway-production/annie-492932
Priscilla Queen of the Desert,https://www.ibdb.com/broadway-production/priscilla-queen-of-the-desert-488747
West Side Story,https://www.ibdb.com/broadway-production/west-side-story-481437
Liza's at the Palace....,https://www.ibdb.com/broadway-production/lizas-at-the-palace-481625
Legally Blonde,https://www.ibdb.com/broadway-production/legally-blonde-423552
Lestat,https://www.ibdb.com/broadway-production/lestat-402876
All Shook Up,https://www.ibdb.com/broadway-production/all-shook-up-383114
Aida,https://www.ibdb.com/broadway-production/aida-12485
Minnelli on Minnelli,https://www.ibdb.com/broadway-production/minnelli-on-minnelli-12498
Beauty and the Beast,https://www.ibdb.com/broadway-production/beauty-and-the-beast-4602
"Candles, Snow & Mistletoe",https://www.ibdb.com/broadway-production/candles-snow-mistletoe-4592
The Will Rogers Follies,https://www.ibdb.com/broadway-production/the-will-rogers-follies-4643
La Cage aux Folles,https://www.ibdb.com/broadway-production/la-cage-aux-folles-4231
Woman of the Year,https://www.ibdb.com/broadway-production/woman-of-the-year-4104
Frankenstein,https://www.ibdb.com/broadway-production/frankenstein-4087
Oklahoma!,https://www.ibdb.com/broadway-production/oklahoma-3825
Beatlemania,https://www.ibdb.com/broadway-production/beatlemania-4008
Break a Leg,https://www.ibdb.com/broadway-production/break-a-leg-3940
A Meeting by the River,https://www.ibdb.com/broadway-production/a-meeting-by-the-river-3930
The Grand Tour,https://www.ibdb.com/broadway-production/the-grand-tour-3913
Elvis: The Legend Lives!,https://www.ibdb.com/broadway-production/elvis-the-legend-lives-4039
Man of La Mancha,https://www.ibdb.com/broadway-production/man-of-la-mancha-4010
"Toller Cranston's ""The Ice Show""",https://www.ibdb.com/broadway-production/toller-cranstons-the-ice-show-4004
Caesar and Cleopatra,https://www.ibdb.com/broadway-production/caesar-and-cleopatra-3897
Herzl,https://www.ibdb.com/broadway-production/herzl-3876
Siamsa,https://www.ibdb.com/broadway-production/siamsa-3863
Shirley MacLaine,https://www.ibdb.com/broadway-production/shirley-maclaine-3849
An Evening With Diana Ross,https://www.ibdb.com/broadway-production/an-evening-with-diana-ross-3846
Shirley MacLaine,https://www.ibdb.com/broadway-production/shirley-maclaine-3985
Home Sweet Homer,https://www.ibdb.com/broadway-production/home-sweet-homer-3783
Treemonisha,https://www.ibdb.com/broadway-production/treemonisha-3760
The First Breeze of Summer,https://www.ibdb.com/broadway-production/the-first-breeze-of-summer-3750
Goodtime Charley,https://www.ibdb.com/broadway-production/goodtime-charley-3728
London Assurance,https://www.ibdb.com/broadway-production/london-assurance-3500
Eddy Arnold,https://www.ibdb.com/broadway-production/eddy-arnold-3497
Lorelei,https://www.ibdb.com/broadway-production/lorelei-3699
An Evening With Josephine Baker,https://www.ibdb.com/broadway-production/an-evening-with-josephine-baker-3672
Bette Midler,https://www.ibdb.com/broadway-production/bette-midler-3662
Cyrano,https://www.ibdb.com/broadway-production/cyrano-3192
Don Juan in Hell,https://www.ibdb.com/broadway-production/don-juan-in-hell-3166
Pacific Paradise,https://www.ibdb.com/broadway-production/pacific-paradise-3554
From Israel With Love,https://www.ibdb.com/broadway-production/from-israel-with-love-3551
Applause,https://www.ibdb.com/broadway-production/applause-3519
The Jimmy Roselli Show,https://www.ibdb.com/broadway-production/the-jimmy-roselli-show-2867
George M!,https://www.ibdb.com/broadway-production/george-m-3388
The Grand Music Hall of Israel,https://www.ibdb.com/broadway-production/the-grand-music-hall-of-israel-3122
"Henry, Sweet Henry",https://www.ibdb.com/broadway-production/henry-sweet-henry-2963
Eddie Fisher and Buddy Hackett at the Palace,https://www.ibdb.com/broadway-production/eddie-fisher-and-buddy-hackett-at-the-palace-13184
"Judy Garland ""At Home at the Palace""",https://www.ibdb.com/broadway-production/judy-garland-at-home-at-the-palace-2947
Sweet Charity,https://www.ibdb.com/broadway-production/sweet-charity-3281
Belafonte at the Palace,https://www.ibdb.com/broadway-production/belafonte-at-the-palace-2826
Jerry Lewis at the Palace,https://www.ibdb.com/broadway-production/jerry-lewis-at-the-palace-13131
