Title,web_Link
Hamilton,https://www.ibdb.com/broadway-production/hamilton-499521
If/Then,https://www.ibdb.com/broadway-production/if-then-495051
Romeo and Juliet,https://www.ibdb.com/broadway-production/romeo-and-juliet-494555
The Rascals: Once Upon A Dream,https://www.ibdb.com/broadway-production/the-rascals-once-upon-a-dream-494144
Cat on a Hot Tin Roof,https://www.ibdb.com/broadway-production/cat-on-a-hot-tin-roof-493492
Running On Empty,https://www.ibdb.com/broadway-production/running-on-empty-493211
The Gershwins' Porgy and Bess,https://www.ibdb.com/broadway-production/the-gershwins-porgy-and-bess-490541
Bengal Tiger at the Baghdad Zoo,https://www.ibdb.com/broadway-production/bengal-tiger-at-the-baghdad-zoo-489285
In the Heights,https://www.ibdb.com/broadway-production/in-the-heights-465745
Cyrano de Bergerac,https://www.ibdb.com/broadway-production/cyrano-de-bergerac-467708
Tarzan,https://www.ibdb.com/broadway-production/tarzan-405840
Movin' Out,https://www.ibdb.com/broadway-production/movin-out-13368
Private Lives,https://www.ibdb.com/broadway-production/private-lives-13372
45 Seconds From Broadway,https://www.ibdb.com/broadway-production/45-seconds-from-broadway-12916
Seussical,https://www.ibdb.com/broadway-production/seussical-12571
Footloose,https://www.ibdb.com/broadway-production/footloose-4877
Side Show,https://www.ibdb.com/broadway-production/side-show-4755
Steel Pier,https://www.ibdb.com/broadway-production/steel-pier-4747
Chicago,https://www.ibdb.com/broadway-production/chicago-4804
How to Succeed in Business Without Really Trying,https://www.ibdb.com/broadway-production/how-to-succeed-in-business-without-really-trying-4288
A Christmas Carol,https://www.ibdb.com/broadway-production/a-christmas-carol-4282
Lamb Chop on Broadway,https://www.ibdb.com/broadway-production/lamb-chop-on-broadway-4278
Nanci Griffith on Broadway,https://www.ibdb.com/broadway-production/nanci-griffith-on-broadway-4565
Laughter on the 23rd Floor,https://www.ibdb.com/broadway-production/laughter-on-the-23rd-floor-4586
Fool Moon,https://www.ibdb.com/broadway-production/fool-moon-4705
The Boys Choir of Harlem and Friends,https://www.ibdb.com/broadway-production/the-boys-choir-of-harlem-and-friends-4703
Lost in Yonkers,https://www.ibdb.com/broadway-production/lost-in-yonkers-4632
"Oh, Kay!",https://www.ibdb.com/broadway-production/oh-kay-4618
Accomplice,https://www.ibdb.com/broadway-production/accomplice-4562
