Title,web_Link
Hell's Kitchen,https://www.ibdb.com/broadway-production/hells-kitchen-538560
Some Like It Hot,https://www.ibdb.com/broadway-production/some-like-it-hot-534531
"POTUS: Or, Behind Every Great Dumbass are Seven Women Trying to Keep Him Alive",https://www.ibdb.com/broadway-production/potus-or-behind-every-great-dumbass-are-seven-women-trying-to-keep-him-alive-533991
To Kill a Mockingbird,https://www.ibdb.com/broadway-production/to-kill-a-mockingbird-518644
"Hello, Dolly!",https://www.ibdb.com/broadway-production/hello-dolly-507877
Matilda The Musical,https://www.ibdb.com/broadway-production/matilda-the-musical-493194
Memphis,https://www.ibdb.com/broadway-production/memphis-484158
Blithe Spirit,https://www.ibdb.com/broadway-production/blithe-spirit-482340
Spamalot,https://www.ibdb.com/broadway-production/spamalot-384262
Forever Tango,https://www.ibdb.com/broadway-production/forever-tango-382362
Gypsy,https://www.ibdb.com/broadway-production/gypsy-13429
Chicago,https://www.ibdb.com/broadway-production/chicago-4804
Big,https://www.ibdb.com/broadway-production/big-4790
Crazy For You,https://www.ibdb.com/broadway-production/crazy-for-you-4662
Buddy,https://www.ibdb.com/broadway-production/buddy-4619
A Chorus Line,https://www.ibdb.com/broadway-production/a-chorus-line-3752
The Constant Wife,https://www.ibdb.com/broadway-production/the-constant-wife-3743
Seascape,https://www.ibdb.com/broadway-production/seascape-3722
Over Here!,https://www.ibdb.com/broadway-production/over-here-3706
The Sunshine Boys,https://www.ibdb.com/broadway-production/the-sunshine-boys-3160
A Little Night Music,https://www.ibdb.com/broadway-production/a-little-night-music-3176
The Creation of the World and Other Business,https://www.ibdb.com/broadway-production/the-creation-of-the-world-and-other-business-3156
An Evening With Richard Nixon and...,https://www.ibdb.com/broadway-production/an-evening-with-richard-nixon-and-3539
The Selling of the President,https://www.ibdb.com/broadway-production/the-selling-of-the-president-3648
"Promises, Promises",https://www.ibdb.com/broadway-production/promises-promises-3438
Golden Rainbow,https://www.ibdb.com/broadway-production/golden-rainbow-3121
The Apple Tree,https://www.ibdb.com/broadway-production/the-apple-tree-3335
Wait Until Dark,https://www.ibdb.com/broadway-production/wait-until-dark-3128
Ivanov,https://www.ibdb.com/broadway-production/ivanov-3140
Inadmissible Evidence,https://www.ibdb.com/broadway-production/inadmissible-evidence-3268
Malcolm,https://www.ibdb.com/broadway-production/malcolm-3279
The Roar of the Greasepaint - The Smell of the Crowd,https://www.ibdb.com/broadway-production/the-roar-of-the-greasepaint--the-smell-of-the-crowd-3243
Bajour,https://www.ibdb.com/broadway-production/bajour-2838
Oliver!,https://www.ibdb.com/broadway-production/oliver-2976
Here's Love,https://www.ibdb.com/broadway-production/heres-love-3024
Stop the World - I Want to Get Off,https://www.ibdb.com/broadway-production/stop-the-world--i-want-to-get-off-2917
I Can Get It for You Wholesale,https://www.ibdb.com/broadway-production/i-can-get-it-for-you-wholesale-2773
The Gay Life,https://www.ibdb.com/broadway-production/the-gay-life-2899
Bye Bye Birdie,https://www.ibdb.com/broadway-production/bye-bye-birdie-2199
Take Me Along,https://www.ibdb.com/broadway-production/take-me-along-2791
A Majority of One,https://www.ibdb.com/broadway-production/a-majority-of-one-2075
Whoop-Up,https://www.ibdb.com/broadway-production/whoop-up-2729
Bells Are Ringing,https://www.ibdb.com/broadway-production/bells-are-ringing-2590
The Pajama Game,https://www.ibdb.com/broadway-production/the-pajama-game-2454
Will Success Spoil Rock Hunter?,https://www.ibdb.com/broadway-production/will-success-spoil-rock-hunter-2539
Pipe Dream,https://www.ibdb.com/broadway-production/pipe-dream-2560
