Title,web_Link
The Queen of Versailles,https://www.ibdb.com/broadway-production/the-queen-of-versailles-542343
Sunset Boulevard,https://www.ibdb.com/broadway-production/sunset-boulevard-539163
Illinoise,https://www.ibdb.com/broadway-production/illinoise-539118
Spamalot,https://www.ibdb.com/broadway-production/spamalot-537710
"New York, New York",https://www.ibdb.com/broadway-production/new-york-new-york-535492
Into the Woods,https://www.ibdb.com/broadway-production/into-the-woods-534783
American Utopia,https://www.ibdb.com/broadway-production/american-utopia-526748
Springsteen on Broadway,https://www.ibdb.com/broadway-production/springsteen-on-broadway-531787
Frozen,https://www.ibdb.com/broadway-production/frozen-515657
Present Laughter,https://www.ibdb.com/broadway-production/present-laughter-510583
Something Rotten!,https://www.ibdb.com/broadway-production/something-rotten-498917
Side Show,https://www.ibdb.com/broadway-production/side-show-497803
Bullets Over Broadway,https://www.ibdb.com/broadway-production/bullets-over-broadway-495004
Let It Be,https://www.ibdb.com/broadway-production/let-it-be-494772
Manilow On Broadway,https://www.ibdb.com/broadway-production/manilow-on-broadway-493626
Bring It On The Musical,https://www.ibdb.com/broadway-production/bring-it-on-the-musical-492887
Leap of Faith,https://www.ibdb.com/broadway-production/leap-of-faith-491632
On a Clear Day You Can See Forever,https://www.ibdb.com/broadway-production/on-a-clear-day-you-can-see-forever-490538
Hair,https://www.ibdb.com/broadway-production/hair-490433
American Idiot,https://www.ibdb.com/broadway-production/american-idiot-485578
Finian's Rainbow,https://www.ibdb.com/broadway-production/finians-rainbow-484496
Desire Under the Elms,https://www.ibdb.com/broadway-production/desire-under-the-elms-483543
Gypsy,https://www.ibdb.com/broadway-production/gypsy-475256
Dr. Seuss' How the Grinch Stole Christmas!,https://www.ibdb.com/broadway-production/dr-seuss-how-the-grinch-stole-christmas-460652
The Producers,https://www.ibdb.com/broadway-production/the-producers-12826
Swing!,https://www.ibdb.com/broadway-production/swing-10705
The Civil War,https://www.ibdb.com/broadway-production/the-civil-war-7295
High Society,https://www.ibdb.com/broadway-production/high-society-4867
Patti LaBelle on Broadway,https://www.ibdb.com/broadway-production/patti-labelle-on-broadway-4845
A Funny Thing Happened on the Way to the Forum,https://www.ibdb.com/broadway-production/a-funny-thing-happened-on-the-way-to-the-forum-4675
The Who's Tommy,https://www.ibdb.com/broadway-production/the-whos-tommy-4715
The Secret Garden,https://www.ibdb.com/broadway-production/the-secret-garden-4640
Gypsy,https://www.ibdb.com/broadway-production/gypsy-4256
Largely New York,https://www.ibdb.com/broadway-production/largely-new-york-4545
Lou Reed on Broadway,https://www.ibdb.com/broadway-production/lou-reed-on-broadway-525166
42nd Street,https://www.ibdb.com/broadway-production/42nd-street-3963
Jerry's Girls,https://www.ibdb.com/broadway-production/jerrys-girls-4389
My One And Only,https://www.ibdb.com/broadway-production/my-one-and-only-4221
"Rock 'N Roll! The First 5,000 Years",https://www.ibdb.com/broadway-production/rock-n-roll-the-first-5000-years-4190
Barnum,https://www.ibdb.com/broadway-production/barnum-3949
Filumena,https://www.ibdb.com/broadway-production/filumena-3683
The 1940's Radio Hour,https://www.ibdb.com/broadway-production/the-1940s-radio-hour-3811
Broadway Opry '79,https://www.ibdb.com/broadway-production/broadway-opry-79-3803
Carmelina,https://www.ibdb.com/broadway-production/carmelina-3932
On the Twentieth Century,https://www.ibdb.com/broadway-production/on-the-twentieth-century-4040
Vieux Carré,https://www.ibdb.com/broadway-production/vieux-carr-4001
Music Is,https://www.ibdb.com/broadway-production/music-is-3882
My Fair Lady,https://www.ibdb.com/broadway-production/my-fair-lady-3981
A Musical Jubilee,https://www.ibdb.com/broadway-production/a-musical-jubilee-3770
The Misanthrope,https://www.ibdb.com/broadway-production/the-misanthrope-3734
Good News,https://www.ibdb.com/broadway-production/good-news-3712
A Streetcar Named Desire,https://www.ibdb.com/broadway-production/a-streetcar-named-desire-3560
Two Gentlemen of Verona,https://www.ibdb.com/broadway-production/two-gentlemen-of-verona-3627
Scratch,https://www.ibdb.com/broadway-production/scratch-3604
1776,https://www.ibdb.com/broadway-production/1776-2859
"Hello, Dolly!",https://www.ibdb.com/broadway-production/hello-dolly-2810
Luther,https://www.ibdb.com/broadway-production/luther-3018
Mr. President,https://www.ibdb.com/broadway-production/mr-president-2922
Subways Are for Sleeping,https://www.ibdb.com/broadway-production/subways-are-for-sleeping-2910
Do Re Mi,https://www.ibdb.com/broadway-production/do-re-mi-2282
Becket,https://www.ibdb.com/broadway-production/becket-2256
Once Upon a Mattress,https://www.ibdb.com/broadway-production/once-upon-a-mattress-2799
Flower Drum Song,https://www.ibdb.com/broadway-production/flower-drum-song-2719
Li'l Abner,https://www.ibdb.com/broadway-production/lil-abner-2585
The Pajama Game,https://www.ibdb.com/broadway-production/the-pajama-game-2454
The King and I,https://www.ibdb.com/broadway-production/the-king-and-i-1935
Cox and Box,https://www.ibdb.com/broadway-production/cox-and-box-1922
Iolanthe,https://www.ibdb.com/broadway-production/iolanthe-1919
The Gondoliers,https://www.ibdb.com/broadway-production/the-gondoliers-1917
Trial by Jury & H.M.S. Pinafore,https://www.ibdb.com/broadway-production/trial-by-jury-hms-pinafore-1914
The Mikado,https://www.ibdb.com/broadway-production/the-mikado-1909
Peter Pan,https://www.ibdb.com/broadway-production/peter-pan-2143
Where's Charley?,https://www.ibdb.com/broadway-production/wheres-charley-2028
Sleepy Hollow,https://www.ibdb.com/broadway-production/sleepy-hollow-2012
Oklahoma!,https://www.ibdb.com/broadway-production/oklahoma-1285
Without Love,https://www.ibdb.com/broadway-production/without-love-1238
Claudia,https://www.ibdb.com/broadway-production/claudia-1080
The Gondoliers,https://www.ibdb.com/broadway-production/the-gondoliers-1179
Trial by Jury,https://www.ibdb.com/broadway-production/trial-by-jury-1177
Iolanthe,https://www.ibdb.com/broadway-production/iolanthe-1175
The Pirates of Penzance / The Prodigal Son,https://www.ibdb.com/broadway-production/the-pirates-of-penzance--the-prodigal-son-1172
The Mikado / The Big City / A Ball in Old Vienna,https://www.ibdb.com/broadway-production/the-mikado--the-big-city--a-ball-in-old-vienna-1168
H.M.S. Pinafore / The Green Table,https://www.ibdb.com/broadway-production/hms-pinafore--the-green-table-1161
Sunny River,https://www.ibdb.com/broadway-production/sunny-river-1144
Pal Joey,https://www.ibdb.com/broadway-production/pal-joey-1046
Anne of England,https://www.ibdb.com/broadway-production/anne-of-england-1116
Native Son,https://www.ibdb.com/broadway-production/native-son-1089
Twelfth Night,https://www.ibdb.com/broadway-production/twelfth-night-1034
Russian Bank,https://www.ibdb.com/broadway-production/russian-bank-13259
King Richard II,https://www.ibdb.com/broadway-production/king-richard-ii-13247
Earl Carroll's Vanities [1940],https://www.ibdb.com/broadway-production/earl-carrolls-vanities-1940-13167
Summer Night,https://www.ibdb.com/broadway-production/summer-night-13203
"King Henry IV, Part I",https://www.ibdb.com/broadway-production/king-henry-iv-part-i-12423
Hamlet,https://www.ibdb.com/broadway-production/hamlet-12388
Trojan Incident,https://www.ibdb.com/broadway-production/trojan-incident-12368
Empress of Destiny,https://www.ibdb.com/broadway-production/empress-of-destiny-7939
Father Malachy's Miracle,https://www.ibdb.com/broadway-production/father-malachys-miracle-12315
King Richard II,https://www.ibdb.com/broadway-production/king-richard-ii-12281
King Richard II,https://www.ibdb.com/broadway-production/king-richard-ii-12192
Hamlet,https://www.ibdb.com/broadway-production/hamlet-11205
Ten Million Ghosts,https://www.ibdb.com/broadway-production/ten-million-ghosts-11214
May Wine,https://www.ibdb.com/broadway-production/may-wine-12039
"Play, Genius, Play!",https://www.ibdb.com/broadway-production/play-genius-play-12015
Thumbs Up!,https://www.ibdb.com/broadway-production/thumbs-up-11195
Lost Horizons,https://www.ibdb.com/broadway-production/lost-horizons-11922
The Chocolate Soldier,https://www.ibdb.com/broadway-production/the-chocolate-soldier-11874
Union Pacific,https://www.ibdb.com/broadway-production/union-pacific-11867
Ballet Russe de Monte Carlo,https://www.ibdb.com/broadway-production/ballet-russe-de-monte-carlo-13165
Trial by Jury & H.M.S. Pinafore,https://www.ibdb.com/broadway-production/trial-by-jury-hms-pinafore-13575
The Mikado,https://www.ibdb.com/broadway-production/the-mikado-11752
Hangman's Whip,https://www.ibdb.com/broadway-production/hangmans-whip-11725
Walk a Little Faster,https://www.ibdb.com/broadway-production/walk-a-little-faster-11691
