Title,web_Link
Oedipus,https://www.ibdb.com/broadway-production/oedipus-543201
Call Me Izzy,https://www.ibdb.com/broadway-production/call-me-izzy-542346
A Wonderful World: The Louis Armstrong Musical,https://www.ibdb.com/broadway-production/a-wonderful-world-the-louis-armstrong-musical-538991
Days of Wine and Roses,https://www.ibdb.com/broadway-production/days-of-wine-and-roses-538007
Pictures From Home,https://www.ibdb.com/broadway-production/pictures-from-home-535460
The Minutes,https://www.ibdb.com/broadway-production/the-minutes-525378
"Caroline, or Change",https://www.ibdb.com/broadway-production/caroline-or-change-523864
The Sound Inside,https://www.ibdb.com/broadway-production/the-sound-inside-522762
"Kiss Me, Kate",https://www.ibdb.com/broadway-production/kiss-me-kate-518742
The Lifespan of a Fact,https://www.ibdb.com/broadway-production/the-lifespan-of-a-fact-518712
Children of a Lesser God,https://www.ibdb.com/broadway-production/children-of-a-lesser-god-515596
Latin History for Morons,https://www.ibdb.com/broadway-production/latin-history-for-morons-515722
Sweat,https://www.ibdb.com/broadway-production/sweat-512126
"Holiday Inn, The New Irving Berlin Musical",https://www.ibdb.com/broadway-production/holiday-inn-the-new-irving-berlin-musical-503850
She Loves Me,https://www.ibdb.com/broadway-production/she-loves-me-501744
Thérèse Raquin,https://www.ibdb.com/broadway-production/thrse-raquin-501120
An Act of God,https://www.ibdb.com/broadway-production/an-act-of-god-499263
Cabaret,https://www.ibdb.com/broadway-production/cabaret-495251
The Mystery of Edwin Drood,https://www.ibdb.com/broadway-production/the-mystery-of-edwin-drood-493101
Harvey,https://www.ibdb.com/broadway-production/harvey-491285
The People in the Picture,https://www.ibdb.com/broadway-production/the-people-in-the-picture-489215
Brief Encounter,https://www.ibdb.com/broadway-production/brief-encounter-488164
Sondheim on Sondheim,https://www.ibdb.com/broadway-production/sondheim-on-sondheim-485091
Wishful Drinking,https://www.ibdb.com/broadway-production/wishful-drinking-483888
Waiting for Godot,https://www.ibdb.com/broadway-production/waiting-for-godot-481504
Pal Joey,https://www.ibdb.com/broadway-production/pal-joey-477922
Sunday in the Park with George,https://www.ibdb.com/broadway-production/sunday-in-the-park-with-george-457137
The Ritz,https://www.ibdb.com/broadway-production/the-ritz-461300
110 in the Shade,https://www.ibdb.com/broadway-production/110-in-the-shade-423558
The Apple Tree,https://www.ibdb.com/broadway-production/the-apple-tree-450811
The Threepenny Opera,https://www.ibdb.com/broadway-production/the-threepenny-opera-392567
A Touch of the Poet,https://www.ibdb.com/broadway-production/a-touch-of-the-poet-397702
A Streetcar Named Desire,https://www.ibdb.com/broadway-production/a-streetcar-named-desire-381031
Pacific Overtures,https://www.ibdb.com/broadway-production/pacific-overtures-383003
Assassins,https://www.ibdb.com/broadway-production/assassins-13580
Cabaret,https://www.ibdb.com/broadway-production/cabaret-4848
