Title,web_Link
Hadestown,https://www.ibdb.com/broadway-production/hadestown-520711
Springsteen on Broadway,https://www.ibdb.com/broadway-production/springsteen-on-broadway-515480
"Amélie, A New Musical",https://www.ibdb.com/broadway-production/amlie-a-new-musical-511516
Falsettos,https://www.ibdb.com/broadway-production/falsettos-505384
The Crucible,https://www.ibdb.com/broadway-production/the-crucible-502500
A Gentleman's Guide to Love & Murder,https://www.ibdb.com/broadway-production/a-gentlemans-guide-to-love-murder-494805
Forever Tango,https://www.ibdb.com/broadway-production/forever-tango-494813
The Testament of Mary,https://www.ibdb.com/broadway-production/the-testament-of-mary-493968
The Heiress,https://www.ibdb.com/broadway-production/the-heiress-493115
Clybourne Park,https://www.ibdb.com/broadway-production/clybourne-park-491759
Lysistrata Jones,https://www.ibdb.com/broadway-production/lysistrata-jones-490623
The House of Blue Leaves,https://www.ibdb.com/broadway-production/the-house-of-blue-leaves-489428
A Little Night Music,https://www.ibdb.com/broadway-production/a-little-night-music-485016
Irena's Vow,https://www.ibdb.com/broadway-production/irenas-vow-482325
The Seagull,https://www.ibdb.com/broadway-production/the-seagull-480037
A Catered Affair,https://www.ibdb.com/broadway-production/a-catered-affair-466360
A Bronx Tale,https://www.ibdb.com/broadway-production/a-bronx-tale-466700
Grey Gardens,https://www.ibdb.com/broadway-production/grey-gardens-426592
Doubt,https://www.ibdb.com/broadway-production/doubt-392488
Gem of the Ocean,https://www.ibdb.com/broadway-production/gem-of-the-ocean-386366
Sixteen Wounded,https://www.ibdb.com/broadway-production/sixteen-wounded-13595
Take Me Out,https://www.ibdb.com/broadway-production/take-me-out-13460
Proof,https://www.ibdb.com/broadway-production/proof-12546
A Moon for the Misbegotten,https://www.ibdb.com/broadway-production/a-moon-for-the-misbegotten-12486
Waiting in the Wings,https://www.ibdb.com/broadway-production/waiting-in-the-wings-10707
The Weir,https://www.ibdb.com/broadway-production/the-weir-7301
The Beauty Queen of Leenane,https://www.ibdb.com/broadway-production/the-beauty-queen-of-leenane-4725
Forever Tango,https://www.ibdb.com/broadway-production/forever-tango-4753
Present Laughter,https://www.ibdb.com/broadway-production/present-laughter-4805
Seven Guitars,https://www.ibdb.com/broadway-production/seven-guitars-4271
Patti LuPone on Broadway,https://www.ibdb.com/broadway-production/patti-lupone-on-broadway-4307
Love! Valour! Compassion!,https://www.ibdb.com/broadway-production/love-valour-compassion-4284
Angels in America: Perestroika,https://www.ibdb.com/broadway-production/angels-in-america-perestroika-4587
Angels in America: Millennium Approaches,https://www.ibdb.com/broadway-production/angels-in-america-millennium-approaches-4569
Two Trains Running,https://www.ibdb.com/broadway-production/two-trains-running-4678
Crazy He Calls Me,https://www.ibdb.com/broadway-production/crazy-he-calls-me-4659
I Hate Hamlet,https://www.ibdb.com/broadway-production/i-hate-hamlet-4638
The Piano Lesson,https://www.ibdb.com/broadway-production/the-piano-lesson-4560
