web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/the-outsiders-537824,The Outsiders,Danya Taymor,Jamestown Revival (Jonathan Clay & Zach Chance)andJustin Levine,Adam RappandJustin Levine,"The Araca Group,American Zoetrope,Olympus Theatricals,Sue Gilad & Larry RogowskyandAngelina Jolie","Mar 16, 2024","Apr 11, 2024",Present,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/parade-536082,Parade,Michael Arden,Jason Robert Brown,Alfred Uhry,"Seaview,Ambassador Theatre Group Productions,Alex Levy,Kevin Ryan,Eric & Marsi Gardiner,Interscope & Immersive Records,Erica Lynn Schwartz,Creative Partners Productions,Marcia Goldberg,John Gore Organization,Cynthia Stroum,Tom Tuft,Benjamin Simpson,Nathan Vernon,Brian & Nick Ginsberg,Ruth & Stephen Hendel,Roth-Manella Productions,Chutzpah Productions,42nd.club,Ahava 72 Productions,The Andryc Brothers,The Array,At Rise Creative,Caiola Jenen Productions,Coles Achilles,deRoy Brunish Productions,Fakston Productions,Federman Batchelder,Level Forward,Pencil Factory Productions,Renard Lynch,Robin Merrie,Rubin Stuckelman,Runyonland Sussman,Kristin Caskey,Mike Isaacson,Bee CarrozziniandNew York City Center","Feb 21, 2023","Mar 16, 2023","Aug 06, 2023",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/almost-famous-534816,Almost Famous,Jeremy Herrin,Cameron CroweandTom Kitt,Cameron Crowe,"Lia Vollack,Michael CasselandJoey Parnes","Oct 03, 2022","Nov 03, 2022","Jan 08, 2023",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/company-524001,Company,Marianne Elliott,Stephen Sondheim,George Furth,"Elliott & Harper Productions,The Shubert Organization,Catherine Schreiber,Nederlander Presentations, Inc.,Crossroads Live,Annapurna Theatre,Hunter Arnold,No Guarantees,Jon B. Platt,Michael Watt,John Gore Organization,Tim Levy,Grove • REG,Hornos • Moellenberg,Levine • Federman • Adler,Beard • Merrie • Robbins,LD Entertainment / Madison Wells Live,Benjamin Lowy / Roben Alive,Daryl Roth / Tom Tuft,Salmira Productions / Caiola Productions,Aged in Wood / Lee • Sachs,Berinstein • Lane / 42nd.club,Boyett • Miller / Hodges • Kukielski,Finn • DeVito / Independent Presenters Network,Armstrong • Ross / Gilad • Rogowsky,Boardman • Koenigsberg / Zell • Seriff,Concord Theatricals • Scott Sanders Productions / Abrams • May,deRoy • Brunish / Jenen • Rubin,Fakston Productions / Sabi • Lerner • Ketner,Maggio • Abrams / Hopkins • Tackel,Levy & ChauviereandJujamcyn Theaters","Mar 02, 2020","Dec 09, 2021","Jul 31, 2022",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/betrayal-523033,Betrayal,Jamie Lloyd,,Harold Pinter,"Ambassador Theatre Group,Benjamin Lowy Productions,Gavin Kalin Productions,Glass Half Full Productions,Annapurna Theatre,Hunter Arnold,Burnt Umber Productions,Rashad V. Chambers,Eilene Davidson Productions,KFF Productions,Dominick LaRuffa Jr.,Antonio Marion,Stephanie P. McClelland,Smith & Brant Theatricals,Richard Winkler / Alan ShorrandThe Jamie Lloyd Company","Aug 14, 2019","Sep 05, 2019","Dec 08, 2019",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-ferryman-518068,The Ferryman,Sam Mendes,,Jez Butterworth,"Sonia Friedman Productions,Neal Street Productions,Ronald Frankel,Gavin Kalin Productions,Roy Furman / Benjamin Lowy,Scott M. Delman,Stephanie P. McClelland,Tulchin Bartner Productions,Ron Kastner,Starry Night Entertainment,Kallish Weinstein Creative,Scott Landis,Steve Traxler,Richard Winkler,Rona Delves Broughton / William Damaschke,1001 Nights,Burnt Umber Productions,Rupert Gavin,Scott Rudin,Jamie deRoy / Catherine Adler,Sam Levy / Lauren StevensandRamin Sabi / Christopher Ketner","Oct 02, 2018","Oct 21, 2018","Jul 07, 2019",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-iceman-cometh-515678,The Iceman Cometh,George C. Wolfe,,Eugene O'Neill,"Scott Rudin,Barry Diller,Eli Bush,Universal Theatrical Group,Eric Falkenstein,Dan Frishwasser,The John Gore Organization,James L. Nederlander,Peter May,Stephanie P. McClelland,Candy Spelling,Stephen C. Byrd & Alia Jones-Harvey,Gavin Kalin Productions,Patty Baker,Caiola Productions,Diana DiMenna,David Mirvish,Wendy Federman & Heni Koenigsberg,Benjamin Lowy & Adrian SalpeterandJason Blum","Mar 23, 2018","Apr 26, 2018","Jul 01, 2018",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/bandstand-511287,Bandstand,Andy Blankenbuehler,Rob TaylorandRichard Oberacker,Rob TaylorandRichard Oberacker,"Tom Smedes,Gabrielle Palitz,Terry Schnuck,Tom Kirdahy,Roger Horchow,Peter Stern,Michael Palitz,Jane Dubin,David Lyons,Sarah Perot,James L. Nederlander,James & Catherine Berges,Darren DeVerna & Jere Harris,Jeff & Ellen Adler,Nancy & Randy Best,Deep End Productions,Patty Baker,Terry D. Loftis / Scott D. Huffman,Independent Presenters Network / Charles & Lisa Siegel,Rosie Gunther McCooe / J. Scott & Sylvia G. Bechtel,Roy Putrino / Heather Shields,Diane & John Kalishman / Alison & John FerringandThe Shubert Organization","Mar 31, 2017","Apr 26, 2017","Sep 17, 2017",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-color-purple-499928,The Color Purple,John Doyle,"Brenda Russell,Allee WillisandStephen Bray",Marsha Norman,"Scott Sanders Productions,Roy Furman,Oprah Winfrey,David Babani,Tom Siracusa,Caiola Productions,James Fantaci,Ted Liebowitz,Stephanie P. McClelland,James L. Nederlander,Darren Bagert,Candy Spelling,Adam Zotovich,Eric Falkenstein / Morris Berchard,Just For Laughs Theatricals / Tanya Link Productions,Adam S. Gordon,Jam Theatricals,Kelsey Grammer,Independent Presenters Network,Carol Fineman,Sandy BlockandQuincy Jones","Nov 10, 2015","Dec 10, 2015","Jan 08, 2017",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/its-only-a-play-497345,It's Only a Play,Jack O'Brien,,Terrence McNally,"Tom Kirdahy,Roy Furman,Ken Davenport,Hunter Arnold,Morris Berchard and Susan Dietz,Caiola Productions,Carl Daikeler,Jim Fantaci,Wendy Federman,Barbara Freitag and Loraine Alterman Boyle,Hugh Hayes,Jim Herbert,Ricardo F. Hornos,Stephanie Kramer,LAMS Productions,Scott Landis,Mark Lee & Ed Filipowski,Harold Newman,Roy Putrino,Sanford Robertson,Tom Smedes and Peter SternandBrian Cromwell Smith","Aug 28, 2014","Oct 09, 2014","Jun 07, 2015",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/once-491352,Once,John Tiffany,Glen HansardandMarkéta Irglová,Enda Walsh,"Barbara Broccoli,John N. Hart Jr.,Patrick Milling-Smith,Frederick Zollo,Brian Carmody,Michael G. Wilson,Orin WolfandThe Shubert Organization","Feb 28, 2012","Mar 18, 2012","Jan 04, 2015",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-mountaintop-490429,The Mountaintop,Kenny Leon,Branford Marsalis,Katori Hall,"Jean Doumanian,Sonia Friedman Productions,Ambassador Theatre Group,Raise The Roof 7,Ted Snowdon,Alhadeff Productions / Lauren Doll,B Square + 4 Productions / Broadway Across America,Jacki Barlia Florin / Cooper / Federman,Ronnie Planalp / Moellenberg TaylorandMarla Rubin Productions / Blumenthal Performing Arts","Sep 22, 2011","Oct 13, 2011","Jan 22, 2012",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/that-championship-season-489564,That Championship Season,Gregory Mosher,Michael Barrett,Jason Miller,"Robert Cole,Frederick Zollo,Shelter Island Enterprises,The Shubert Organization,James P. MacGilvray,Orin Wolf,The Weinstein Company,Second Chance Productions,Brannon WilesandScott M. Delman / Lucky VIII","Feb 09, 2011","Mar 06, 2011","May 29, 2011",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/bloody-bloody-andrew-jackson-488478,Bloody Bloody Andrew Jackson,Alex Timbers,Michael Friedman,Alex Timbers,The Joseph Papp Public Theater / New York Shakespeare Festival (Oskar Eustis: Artistic Director,"Sep 20, 2010","Oct 13, 2010","Jan 02, 2011",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/god-of-carnage-482510,God of Carnage,Matthew Warchus,Gary Yershon,Yasmina Reza,"Robert Fox,David Pugh & Dafydd Rogers,Stuart Thompson,Scott Rudin,Jon B. Platt,The Weinstein CompanyandThe Shubert Organization","Feb 28, 2009","Mar 22, 2009","Jun 06, 2010",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/13-480453,13,Jeremy Sams,Jason Robert Brown,Dan ElishandRobert Horn,"Bob Boyett,Roger Berlind,Tim Levy,Ken Davenport,Ted Hartley,Stacey Mindich,Jane Bergère,Broadway Across America,Sharon Karmazin,Carl Moellenberg,Tom Miller,True Love Productions / Olympus TheatricalsandCenter Theatre Group (Michael Ritchie, Artistic Director","Sep 16, 2008","Oct 05, 2008","Jan 04, 2009",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-country-girl-470352,The Country Girl,Mike Nichols,,Clifford Odets,"Ostar Productions,Bob Boyett,The Shubert Organization,Eric Falkenstein,Roy Furman,Lawrence Horowitz,Jam Theatricals,Stephanie P. McClelland,Bill Rollnick / Nancy Ellison RollnickandDaryl Roth / Debra Black","Apr 03, 2008","Apr 27, 2008","Jul 20, 2008",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/rock-n-roll-460599,Rock 'n' Roll,Trevor Nunn,,Tom Stoppard,"Bob Boyett & Sonia Friedman Productions,Ostar Productions,Roger Berlind,Tulchin / Bartner,Douglas G. Smith,Dancap Productions, Inc.,Jam Theatricals,The Weinstein CompanyandThe Royal Court Theatre","Oct 19, 2007","Nov 04, 2007","Mar 09, 2008",2025-06-26,Creative Team and Performance Data
