web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/the-great-gatsby-538662,The Great Gatsby,Marc Bruni,Nathan Tysen,Kait Kerrigan,Chunsoo ShinandOD Company,"Mar 29, 2024","Apr 25, 2024",Present,2025-06-26,Creative Team and Performance Data,Broadway Theatre
https://www.ibdb.com/broadway-production/here-lies-love-536097,Here Lies Love,Alex Timbers,David Byrne,,"Hal Luftig / Kevin Connor,Patrick Catullo,Clint Ramos,Jose Antonio VargasandDiana DiMenna & Plate Spinner Productions","Jun 17, 2023","Jul 20, 2023","Nov 26, 2023",2025-06-26,Creative Team and Performance Data,Broadway Theatre
https://www.ibdb.com/broadway-production/the-little-prince-533150,The Little Prince,Anne Tournié,Terry Truck,Antoine De Saint-Exupery,"Broadway Entertainment Group,The Shubert Organization,Hunter Arnold,Kayla Greenspan,John Gore Organization,NETworks Presentations,Playing FieldandMiche Bonett-Horton","Mar 29, 2022","Apr 11, 2022","May 08, 2022",2025-06-26,Creative Team and Performance Data,Broadway Theatre
https://www.ibdb.com/broadway-production/west-side-story-523117,West Side Story,Ivo van Hove,Stephen Sondheim,Arthur Laurents,"Scott Rudin,Barry Diller,David Geffen,Eli Bush,Adam RodnerandJames L. Nederlander","Dec 10, 2019","Feb 20, 2020","Mar 11, 2020",2025-06-26,Creative Team and Performance Data,Broadway Theatre
https://www.ibdb.com/broadway-production/king-kong-516830,King Kong,Drew McOnie,Christopher Jahnke,Jack Thorne,"Carmen Pavlovic,Roy Furman,Gerry Ryan,Len Blavatnik,Edward Walson,Benjamin Lowy,Bob Boyett,Harmonia Holdings,Peter Ivany,Bruce Robert Harris / Jack W. Batman,Peter May,Liebowitz/Grossman/Shields Productions,Iris Smith,Triptyk Studios,Robert Appel,Lynne & Marvin Garelick,The Shubert Organization,The Nederlander Organization,Jujamcyn Theaters,Audrey Wilf,Aleri Entertainment,Sandy Robertson,Jennifer Fischer,Fantaci/Carusi/Lachowicz,Darren DeVerna,Jere Harris,The John Gore Organization,42nd.club,Hello Entertainment,Independent Presenters NetworkandGlobal Creatures","Oct 05, 2018","Nov 08, 2018","Aug 18, 2019",2025-06-26,Creative Team and Performance Data,Broadway Theatre
https://www.ibdb.com/broadway-production/rocktopia-517409,Rocktopia,,,,"Franzblau Media Inc.,Hughes Wall LLC,RT Entertainment Inc.,Dr. & Mrs. Bud Negley,Jules & Fran Belkin,M2M EntertainmentandTwo Hands Entertainment, Inc.","Mar 20, 2018","Mar 27, 2018","Apr 29, 2018",2025-06-26,Creative Team and Performance Data,Broadway Theatre
https://www.ibdb.com/broadway-production/miss-saigon-509511,Miss Saigon,Laurence Connor,"Richard Maltby, Jr.andAlain Boublil",,Cameron Mackintosh,"Mar 01, 2017","Mar 23, 2017","Jan 14, 2018",2025-06-26,Creative Team and Performance Data,Broadway Theatre
https://www.ibdb.com/broadway-production/fiddler-on-the-roof-501123,Fiddler on the Roof,Bartlett Sher,Sheldon Harnick,Joseph Stein,"Jeffrey Richards,Jam Theatricals,Louise Gund,Jerry Frankel,Broadway Across America,Rebecca Gold,Stephanie P. McClelland,Barbara Freitag & Company / Catherine Schreiber & Company,Greenleaf Productions,Orin Wolf,Patty Baker,Caiola Productions,The Nederlander Organization (James M. Nederlander: Chairman","Nov 20, 2015","Dec 20, 2015","Dec 31, 2016",2025-06-26,Creative Team and Performance Data,Broadway Theatre
https://www.ibdb.com/broadway-production/doctor-zhivago-498431,Doctor Zhivago,Des McAnuff,Michael KorieandAmy Powers,Michael Weller,"Anita Waxman,Tom Dokton,Latitude Link,Chase Mishkin,Ted Hartley / RKO Stage,Chunsoo Shin,Margo & Roger Coleman,Pelican Group,J. Todd Harris,Corcoran Productions,Conrad Prebys & Debbie Turner,Parrothead Productions,Adam Silberman,Ahmos Hassan,Lisa & Bill Glenn,Carl-Henric Louise & Johan Svanberg,The Goldiner Group / Caroline Lieberman,Wasserman Shaw,Bruce D. LongandLa Jolla Playhouse","Mar 27, 2015","Apr 21, 2015","May 10, 2015",2025-06-26,Creative Team and Performance Data,Broadway Theatre
https://www.ibdb.com/broadway-production/rodgers-hammersteins-cinderella-493254,Rodgers + Hammerstein's Cinderella,Mark Brokaw,Oscar Hammerstein II,Douglas Carter Beane,"Robyn Goodman,Jill Furman,Stephen Kocis,Edward Walson,Venetian Glass Productions,The Araca Group,Luigi & Rose Caiola,Roy Furman,Walter Grossman,Peter May/Sanford Robertson,Glass Slipper Productions LLC / Eric Schmidt,Ted Liebowitz / James SpryandBlanket Fort Productions","Jan 25, 2013","Mar 03, 2013","Jan 03, 2015",2025-06-26,Creative Team and Performance Data,Broadway Theatre
