web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/just-in-time-540608,Just In Time,Alex Timbers,Andrew ResnickandMichael Thurber,Warren LeightandIsaac Oliver,"Tom Kirdahy,Robert Ahrens,John Frost,Thomas M. Neff,Evamere Entertainment,Cynthia J. Tong,Mary Maggio,Mickey Liddell & Pete Shilaimon,Crossroads Live Group,Richard Batchelder,Peter May,Merrie L. Davis,Lang Entertainment Group,Silva Theatrical Group,Wild Oak Media,Alchemation,Aleri Entertainment,Craig Balsam,Creative Partners Productions,Drew & Dane Productions,Frankly Spoken Productions,Good Soup Entertainment,Marguerite Steed Hoffman,Barry and Brooke Josephson,Willette and Manny Klausner,James L. Nederlander,No Guarantees Productions,Oliva C. Middleton,Ira Pittelman,Power Arts,Janet and Marvin Rosen,Shake & Stir,Signature Theatre,The Shubert Organization,Tom Tuft,2 On The Aisle,Agrawal Turchin,Moellenberg Garman,Sirens BB,Amy Abrams,Brian SchwartzandTed Chapin","Mar 31, 2025","Apr 26, 2025",Present,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/romeo-juliet-539815,Romeo + Juliet,Sam Gold,Jack Antonoff,William Shakespeare,"Harbor Entertainment,Kevin Ryan,Eric & Marsi Gardiner,Roth-Manella Productions,Kate Cannova,J + J Productions,Julie Boardman,Alexander-Taylor Deignan,Atekwana Hutton,Bensmihen Mann Productions,Patrick Catullo,Chutzpah Productions,Corets Gough Willman Productions,Dave Johnson Productions,DJD Productions,Hornos Moellenberg,Pam Hurst-Della Pietra & Stephen Della Pietra,Mark Gordon Pictures,Oren Michels,No Guarantees Productions,Nothing Ventured Productions,Strus Lynch,Sunset Cruz Productions,Dennis Trunfio,Stephen C. Byrd,Fourth Wall Theatricals,Level Forward,Soto ProductionsandWMKlausner","Sep 26, 2024","Oct 24, 2024","Feb 16, 2025",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/an-enemy-of-the-people-538434,An Enemy of the People,Sam Gold,,Henrik Ibsen,"Seaview,Patrick Catullo,Plan B,Roth-Manella Productions,Eric & Marsi Gardiner,John Gore Organization,James L. Nederlander,Jon B. Platt,Atekwana Hutton,Bob Boyett,Chris & Ashlee Clarke,Cohen-Demar Productions,Andrew Diamond,GI6 Productions,Sony Music Masterworks,Triptyk Studios,Trunfio Ryan,Kate CannovaandDJL Productions","Feb 27, 2024","Mar 18, 2024","Jun 23, 2024",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/melissa-etheridge-my-window-537454,Melissa Etheridge: My Window,Amy Tinkham,Melissa Etheridge,Melissa Etheridge,Michael CohlandEMC Presents,"Sep 14, 2023","Sep 28, 2023","Nov 19, 2023",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/kpop-534371,KPOP,Teddy Bergman,Helen ParkandMax Vernon,Jason Kim,Tim ForbesandJoey Parnes,"Oct 13, 2022","Nov 27, 2022","Dec 11, 2022",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/american-buffalo-525177,American Buffalo,Neil Pepe,,David Mamet,"Jeffrey Richards,Steve Traxler,Stephanie P. McClelland,GFour Productions,Spencer Ross,Gemini Theatrical,Chris and Ashlee Clarke,Suna Said Maslin,Ted & Richard Liebowitz/Cue to Cue Productions,Patty Baker / Good Productions,Brad Blume,Caiola Productions,Joanna Carson,Arthur Kern,Willette Klausner,Jeremiah J. Harris & Darren P. DeVerna,Van Kaplan,Patrick Myles/David Luff,Alexander Marshall,Ambassador Theatre Group,Kathleen K. Johnson,Diego Kolankowsky,Steve and Jacob Levy,Morwin Schmookler,Brian Moreland,Jacob Soroken PorterandThe Shubert Organization","Mar 22, 2022","Apr 14, 2022","Jul 10, 2022",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/chicken-biscuits-531921,Chicken & Biscuits,Zhailon Levingston,Michael O. Mitchell,Douglas Lyons,"Pamela Ross,Hunter Arnold,E. Clayton Cornelious,Leah Michalos,Kayla Greenspan,Priyanka Chopra Jonas,Nick Jonas,Mapleseed Productions,Curt Cronin,John Joseph,John PaterakisandInvisible Wall Productions/Blaine Hopkins","Sep 23, 2021","Oct 10, 2021","Nov 28, 2021",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/oklahoma-520829,Oklahoma!,Daniel Fish,Oscar Hammerstein II,Oscar Hammerstein II,"Eva Price,Level Forward,Abigail Disney,Barbara Manocherian & Carl Moellenberg,James L. Nederlander,David Mirvish,Mickey Liddell & Robert Ahrens,BSL Enterprises & MagicSpace Entertainment,Berlind Productions,The John Gore Organization,Cornice Productions,Bard Fisher/R. Gold,LAMF/J. Geller,T. Narang/ZKM Media,The R/F/B/V Group,Araca/IPN,St. Ann's Warehouse,Tamar ClimanandBard Summerscape","Mar 19, 2019","Apr 07, 2019","Jan 19, 2020",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/once-on-this-island-514926,Once on This Island,Michael Arden,Lynn Ahrens,Lynn Ahrens,"Ken Davenport,Hunter Arnold,Carl Daikeler,Roy Putrino,Broadway Strategic Return Fund,Sandi Moran,Caiola Productions,H. Richard Hopper,Diego Kolankowsky,Brian Cromwell Smith,Ron Kastner,Rob Kolson,Judith Manocherian / Kevin Lyle,Jay Alix / Una Jackman / Jeff Wise,WitzEnd Productions / Jeff Grove / Wishnie-Strasberg,Mark Ferris / Michelle Riley / Marie Stevenson,Silva Theatrical Group / Jesse McKendry / Dr. Mojgan Fajiram,Conor Bagley / Brendan C. Tetro / Invisible Wall Productions,SilverWalport Productions / Tyler Mount / UshkowitzLatimer Productions,The Harbert Family / Reilly Hickey,Keith Cromwell / Red Mountain Theatre Companyand42nd.club / The Yonnone Family / Island Productions","Nov 09, 2017","Dec 03, 2017","Jan 06, 2019",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/in-transit-509159,In Transit,Kathleen Marshall,"Kristen Anderson-Lopez,James-Allen Ford,Russ KaplanandSara Wordsworth","Kristen Anderson-Lopez,James-Allen Ford,Russ KaplanandSara Wordsworth","Janet B. Rosen,Marvin S. Rosen,Robert F. Smith,Jeff Hecktman,Ed Rendell / Kenneth Jarin,Manny Medina,Frankel / Viertel / Baruch / Routh Group,Hello Entertainment / David Garfinkle,Michael S. Falk / Annie Falk,Karen Mehiel,Robert Sher / Sharon Azrieli,Steven M. Goldman / Arlene L. Goldman,Edgar Bronfman, Jr. / Benjamin Bronfman,Deke SharonandSleep Tite Productions","Nov 10, 2016","Dec 11, 2016","Apr 16, 2017",2025-06-26,Creative Team and Performance Data
