web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/buena-vista-social-club-540360,Buena Vista Social Club,Saheem Ali,Buena Vista Social Club,Marco Ramirez,"Atlantic Theater Company,Viajes Miranda,LaChanze,David Yazbek,John Leguizamo,David F. Schwartz,Zak Kilberg,J. Todd Harris,Cabo Productions,Roy Furman,Hannah Rosenthal,Jamie deRoy / Marvin Rosen,Grove • REG & Frank Marshall,F.K.R.J. Productions,Patrick Milling-Smith / Brian Carmody,DJ Stage Productions,Palitz Wiesenfeld Productions,Richard & Roberta Shaker,Front Row Productions,Cathy Dantchik,Brooke & Brian Devine,Gilad Rogowsky,MacPac Entertainment,No Guarantees Productions,Rhythm & Rain Productions,Hadley Schnuck,James Francis Trezza,Yonge Street Theatricals,Patrick Daly,Olympus Theatricals / Firemused Productions,Ioana Alfonso / Eric Stine,William Berlind / W.M. Klausner,Creative Endeavor Office / Untitled Theatricals,Ruth Hendel / The Kaplans,Pam Hurst-Della Pietra / Philip Van Dijk,Debbie Ohanian / Stone Arch Theatricals,Composite Capital Partners,Larry Levien,Matt Murphy,Marc Platt,Sandy Robertson,Iris Smith,Brad Blume / The Klaes,Thomas Steven Perakos / Douglas A. Fellman,Ankit Agrawal / Constance Cincotta,Independent Presenters Network,Nick & Nicky Gold,HoriPro Inc.,Playful Productions UK,The Shubert Organization,Frederick Zollo,John Gore Organization,Nederlander Presentations Inc.andMarco Ramirez","Feb 21, 2025","Mar 19, 2025",Present,2025-06-26,Creative Team and Performance Data,Gerald Schoenfeld Theatre
https://www.ibdb.com/broadway-production/the-notebook-537723,The Notebook,Michael GreifandSchele Williams,Ingrid Michaelson,Bekah Brunstetter,"Jamie Wilson,Gavin Kalin,Stella La Rue,Hunter Arnold,Roy Furman,Nederlander Presentations,LAMS Productions,Nicole Eisenberg,Betsy Dollinger,Endeavor,Sing Out, Louise! Productions,Timothy Laczynski,Scott Abrams / Jonathan Corr / Leslie Mayer,Bob Boyett,Emily Bock / Pam & Stephen Della Pietra,Eastern Standard Time / LTD Theatricals,Independent Presenters NetworkandLucas McMahon","Feb 10, 2024","Mar 14, 2024","Dec 15, 2024",2025-06-26,Creative Team and Performance Data,Gerald Schoenfeld Theatre
https://www.ibdb.com/broadway-production/life-of-pi-535445,Life of Pi,Max Webster,,,"Simon Friend,Daryl Roth,Hal Luftig,Mark Gordon Pictures,Playing Field,Tulchin / Bartner Productions,Gavin Kalin,Hunter Arnold,Hall Smalberg Winkler,42nd.club,Elizabeth Armstrong,Eilene Davidson,deRoy Shea Waxman,Federman Jenen Productions,Susan Gallin,Independent Presenters Network,John Gore Organization,Kuhn Dodani,Harriet Newman Leve,Anastasia Muravyeva,Mary Lu Roffe,Catherine Schreiber,American Repertory Theater (Diane Paulus, Artistic Director","Mar 09, 2023","Mar 30, 2023","Jul 23, 2023",2025-06-26,Creative Team and Performance Data,Gerald Schoenfeld Theatre
https://www.ibdb.com/broadway-production/take-me-out-535174,Take Me Out,Scott Ellis,,Richard Greenberg,Barry & Fran Weissler,"Oct 27, 2022","Nov 11, 2022","Feb 05, 2023",2025-06-26,Creative Team and Performance Data,Gerald Schoenfeld Theatre
https://www.ibdb.com/broadway-production/come-from-away-510272,Come From Away,Christopher Ashley,Irene SankoffandDavid Hein,Irene SankoffandDavid Hein,"Junkyard Dog Productions,Jerry Frankel,Latitude Link,Smith & Brant Theatricals,Steve & Paula Reynolds,David Mirvish,Michael Rubinoff,Alhadeff Productions,Michael Alden & Nancy Nagel Gibbs,Sam Levy,Rodney Rigby,Spencer Ross,Richard Winkler,Yonge Street Theatricals,Sheridan College,Michael & Ellise Coit,Ronald Frankel,Sheri & Les Biller,Richard & Sherry Belkin,Gary & Marlene Cohen,Allan Detsky & Rena Mendelson,Lauren Doll,Barbara H. Freitag,Wendy Gillespie,Laura Little Theatricals,Carl & Jennifer Pasbjerg,Radio Mouse Entertainment,The Shubert Organization,Cynthia Stroum,Tulchin Bartner Productions,Gwen Arment / Molly Morris & Terry McNicholas,Maureen & Joel Benoliel / Marjorie & Ron Danz,Pamela Cooper / Corey Brunish,Demos Bizar / Square 1 Theatrics,Joshua Goodman / Lauren Stevens,Just for Laughs Theatricals / Judith Ann Abrams Productions,Bill & Linda Potter / Rosemary & Kenneth Willman,La Jolla Playhouse  (Christopher Ashley: Artistic Director","Feb 18, 2017","Mar 12, 2017","Oct 02, 2022",2025-06-26,Creative Team and Performance Data,Gerald Schoenfeld Theatre
https://www.ibdb.com/broadway-production/the-humans-503915,The Humans,Joe Mantello,,Stephen Karam,"Scott Rudin,Barry Diller,Roundabout Theatre Company (Todd Haimes: Artistic Director","Jan 24, 2016","Feb 18, 2016","Jan 15, 2017",2025-06-26,Creative Team and Performance Data,Gerald Schoenfeld Theatre
https://www.ibdb.com/broadway-production/american-psycho-503809,American Psycho,Rupert Goold,Duncan Sheik,Roberto Aguirre-Sacasa,"David Johnson,Jesse Singer,Act 4 Entertainment,Jeffrey Richards,Will Trice,Greenleaf Productions,Rebecca Gold,John Frost,Trevor Fetter,Joanna Carson,Gordon Meli Partners,Clip Service / A.C. Orange International,Nora Ariffin,Jam Theatricals,The Almeida Theatre Company,Center Theatre Group (Michael Ritchie, Artistic Director","Mar 24, 2016","Apr 21, 2016","Jun 05, 2016",2025-06-26,Creative Team and Performance Data,Gerald Schoenfeld Theatre
https://www.ibdb.com/broadway-production/china-doll-500236,China Doll,Pam MacKinnon,,David Mamet,"Jeffrey Richards,Jerry Frankel,Jam Theatricals,Caiola Productions,Dominion Pictures,Gutterman & Winkler,Barbara Freitag & Company / Catherine Schreiber & Company,Patty Baker,Ronald Frankel,Rebecca Gold,Greenleaf Productions,Meg Herman,Kathleen K. Johnson,Larry Magid,Gabrielle Palitz,R&D Theatricals,Jamie deRoy,Stewart F. Lane & Bonnie Comley,Jessica GenickandWill Trice","Oct 21, 2015","Dec 04, 2015","Jan 31, 2016",2025-06-26,Creative Team and Performance Data,Gerald Schoenfeld Theatre
https://www.ibdb.com/broadway-production/the-audience-497830,The Audience,Stephen Daldry,,Peter Morgan,"Matthew Byam Shaw,Robert Fox,Andy Harries,Beverly Bartner,Scott M. Delman,Ed Mirvish Enterprises Limited,Stephanie P. McClelland,MSG WLE,Jon B. Platt,Scott Rudin,Carole Shorenstein Hays,The Shubert OrganizationandAlice Tulchin","Feb 14, 2015","Mar 08, 2015","Jun 28, 2015",2025-06-26,Creative Team and Performance Data,Gerald Schoenfeld Theatre
https://www.ibdb.com/broadway-production/its-only-a-play-497345,It's Only a Play,Jack O'Brien,,Terrence McNally,"Tom Kirdahy,Roy Furman,Ken Davenport,Hunter Arnold,Morris Berchard and Susan Dietz,Caiola Productions,Carl Daikeler,Jim Fantaci,Wendy Federman,Barbara Freitag and Loraine Alterman Boyle,Hugh Hayes,Jim Herbert,Ricardo F. Hornos,Stephanie Kramer,LAMS Productions,Scott Landis,Mark Lee & Ed Filipowski,Harold Newman,Roy Putrino,Sanford Robertson,Tom Smedes and Peter SternandBrian Cromwell Smith","Aug 28, 2014","Oct 09, 2014","Jun 07, 2015",2025-06-26,Creative Team and Performance Data,Gerald Schoenfeld Theatre
