web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/wicked-13485,Wicked,Joe Mantello,Stephen Schwartz,Winnie Holzman,"Marc Platt,Universal Pictures,The Araca Group,Jon B. PlattandDavid Stone","Oct 08, 2003","Oct 30, 2003",Present,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/oklahoma-12938,Oklahoma!,Trevor Nunn,Oscar Hammerstein II,Oscar Hammerstein II,Cameron Mackintosh,"Feb 23, 2002","Mar 21, 2002","Feb 23, 2003",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/linda-eder-at-the-gershwin-13303,Linda Eder at the Gershwin,,"Jeremy Roberts,Kim ScharnbergandChris Hajian",,"Nederlander Productions, IncandClear Channel Entertainment","Dec 26, 2001","Dec 26, 2001","Dec 30, 2001",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/riverdance--on-broadway-12489,Riverdance - On Broadway,John McColgan,Bill Whelan,,Abhann ProductionsandMoya Doherty,"Mar 03, 2000","Mar 16, 2000","Aug 26, 2001",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/tango-argentino-12499,Tango Argentino,Claudio SegoviaandHéctor Orezzoli,,,"DG Producciones,Daniel Grinbank,Fernando MoyaandIsabel Chapur","Nov 09, 1999","Nov 16, 1999","Jan 09, 2000",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/peter-pan-7750,Peter Pan,Glenn Casale,Carolyn Leigh,,"McCoy Rigby Entertainment,The Nederlander Organization (James M. Nederlander: Chairman Emeritus","Apr 07, 1999","Apr 07, 1999","Aug 29, 1999",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/on-the-town-5148,On the Town,George C. Wolfe,Betty ComdenandAdolph Green,Betty ComdenandAdolph Green,The Joseph Papp Public Theater / New York Shakespeare Festival (George C. Wolfe: Producer,"Oct 20, 1998","Nov 19, 1998","Jan 17, 1999",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/1776-4754,1776,Scott Ellis,Sherman Edwards,Peter Stone,The Roundabout Theatre Company (Todd Haimes: Artistic Director,"Jul 16, 1997","Aug 14, 1997","Jun 14, 1998",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/candide-4751,Candide,Harold Prince,Richard Wilbur,,"Livent, Inc.","Apr 19, 1997","Apr 29, 1997","Jul 27, 1997",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/men-are-from-mars-women-are-from-venus-5142,"Men are from Mars, Women are From Venus",,,John Gray,Skylar Communications,"Jan 27, 1997","Jan 27, 1997","Feb 01, 1997",2025-06-26,Creative Team and Performance Data
