web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/becky-shaw-543148,Becky Shaw,Trip Cullman,,Gina Gionfriddo,"Second Stage Theater (Evan Cabnet, Artistic Director","Mar 18, 2026","Apr 08, 2026",Present,2025-06-26,Creative Team and Performance Data,Hayes Theater
https://www.ibdb.com/broadway-production/marjorie-prime-543147,Marjorie Prime,Anne Kauffman,,Jordan Harrison,"Second Stage Theater (Evan Cabnet, Artistic Director","Nov 20, 2025","Dec 08, 2025",Present,2025-06-26,Creative Team and Performance Data,Hayes Theater
https://www.ibdb.com/broadway-production/purpose-540198,Purpose,Phylicia Rashad,,Branden Jacobs-Jenkins,"David Stone,Debra Martin Chase,Marc Platt,LaChanze,Rashad V. Chambers,Aaron Glick,Universal Theatrical Group,Eastern Standard Time,Trate Productions,Nancy Nagel Gibbs,James L. Nederlander,John Gore,ATG Entertainment,The Shubert OrganizationandSteppenwolf Theatre Company","Feb 25, 2025","Mar 17, 2025","Aug 31, 2025",2025-06-26,Creative Team and Performance Data,Hayes Theater
https://www.ibdb.com/broadway-production/cult-of-love-539903,Cult of Love,Trip Cullman,,Leslye Headland,"Second Stage Theater (Bennett Leak, Interim Artistic Director 24/25 Season","Nov 20, 2024","Dec 12, 2024","Feb 02, 2025",2025-06-26,Creative Team and Performance Data,Hayes Theater
https://www.ibdb.com/broadway-production/job-539824,JOB,Michael Herwitz,Devonté Hynes,Max Wolf Friedlich,"Hannah Getts,Alex Levy,Craig BalsamandP3 Productions","Jul 15, 2024","Jul 30, 2024","Oct 27, 2024",2025-06-26,Creative Team and Performance Data,Hayes Theater
https://www.ibdb.com/broadway-production/mother-play-537936,Mother Play,Tina Landau,,Paula Vogel,"Second Stage Theater (Carole Rothman, President and Artistic Director","Apr 03, 2024","Apr 25, 2024","Jun 16, 2024",2025-06-26,Creative Team and Performance Data,Hayes Theater
https://www.ibdb.com/broadway-production/appropriate-537559,Appropriate,Lila Neugebauer,,Branden Jacobs-Jenkins,"Second Stage Theater (Carole Rothman, President and Artistic Director","Nov 29, 2023","Dec 18, 2023","Jun 30, 2024",2025-06-26,Creative Team and Performance Data,Hayes Theater
https://www.ibdb.com/broadway-production/the-cottage-536394,The Cottage,Jason Alexander,,Sandy Rustin,"Broadway & Beyond Theatricals,Victoria Lang,Ryan Bogner,Tracey McFarland,Cornice Productions,Eric Cornell,Jack Sennott,Martian Entertainment,Carl D. WhiteandGregory Rae","Jul 07, 2023","Jul 24, 2023","Oct 29, 2023",2025-06-26,Creative Team and Performance Data,Hayes Theater
https://www.ibdb.com/broadway-production/the-thanksgiving-play-536114,The Thanksgiving Play,Rachel Chavkin,,Larissa FastHorse,"Second Stage Theater (Carole Rothman, President and Artistic Director","Mar 25, 2023","Apr 20, 2023","Jun 11, 2023",2025-06-26,Creative Team and Performance Data,Hayes Theater
https://www.ibdb.com/broadway-production/between-riverside-and-crazy-535124,Between Riverside and Crazy,Austin Pendleton,,Stephen Adly Guirgis,"Second Stage Theater (Carole Rothman, President & Artistic Director","Dec 01, 2022","Dec 19, 2022","Feb 19, 2023",2025-06-26,Creative Team and Performance Data,Hayes Theater
