web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/waiting-for-godot-542653,Waiting for Godot,Jamie Lloyd,,Samuel Beckett,"The Jamie Lloyd Company,ATG Productions,Bad Robot LiveandGavin Kalin Productions","Sep 13, 2025","Sep 28, 2025","Jan 04, 2026",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/the-last-five-years-540016,The Last Five Years,Whitney White,Jason Robert Brown,Jason Robert Brown,"Aleff Productions,Elizabeth Armstrong,Batchelder.Federman.Gold,Be Forward Productions,Bellwether Productions,Burkhardt Turchin,Cohen.Gillon.Hetterly,Pam Hurst-Della Pietra & Stephen Della Pietra,DJD Productions,Eastern Standard Time,FineWomen Productions,Haizlip Lynch,Hicks Glassman,Image 32 Productions,Imaginespace,Independent Presenters Network,Jenen Rubin,The John Gore Organization,Mikayla Kibel,KKNS Productions,Koenigsberg.Laurence.Padgett,Lefon Productions,Mano Horn Productions,Mott Price Productions,Napoleon Theatricals,Nederlander Presentations Inc.,No Guarantees Productions,Albert Nocciolino,P3 Productions,Gabrielle Palitz,Rewired Talent Management,Brian Rooney,Roth-Manella Productions,Erica Lynn Schwartz,Cynthia Stroum,Freddy Wexler,Wowow Inc.,Z.A.M.K. ProductionsandZK and Associates","Mar 18, 2025","Apr 06, 2025","Jun 22, 2025",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/all-in-comedy-about-love-540321,All In: Comedy About Love,Alex Timbers,Kris Kukul,Simon Rich,"Micah Frank,Caroline MaroneyandThe New Yorker","Dec 11, 2024","Dec 22, 2024","Feb 16, 2025",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/once-upon-a-mattress-539805,Once Upon a Mattress,Lear deBessonet,Marshall Barer,"Jay Thompson,Marshall BarerandDean Fuller","Cohen-Gutterman Productions,Bob Boyett,Stephen Byrd,Kate Cannova,Pam Hurst-Della Pietra & Stephen Della Pietra,Nicole Eisenberg,LD Entertainment,John Paterakis,Jay & Mary Sullivan,Richard Batchelder & Brady Brim-DeForest,We Eat Dreams,Judith Ann Abrams,Amy & PJ Lampi,Beginning of a Beautiful Friendship,Adam Cohen,Sally Jacobs & Warren Baker,Kors Le Pere Theatricals,Pamela Lloyd,Steve Peters,Suzanne Schoch Rehl & Scott Rehl,Trafalgar Entertainment,Dennis Trunfio,Viva Diva USA Inc,Mark Weinstein,Michael Wolk,Acton Carter Deignan Willman Productions,Crumhale Taylor Productions,Davis & Tatooles,Jamie deRoy,Howard Overby Fink & Rubin Productions,Mark Parkman Fairview Productions,TNT Schmookler,Under the Mattress,Chema Verduzco & Rebelle Media,Richard Winkler & Dawn SmalbergandNew York City Center","Jul 31, 2024","Aug 12, 2024","Nov 30, 2024",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/merrily-we-roll-along-536675,Merrily We Roll Along,Maria Friedman,Stephen Sondheim,George Furth,"Sonia Friedman Productions,David Babani,Patrick CatulloandJeff Romley","Sep 19, 2023","Oct 10, 2023","Jul 07, 2024",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/just-for-us-536905,Just For Us,Adam Brace,,Alex Edelman,"Jenny Gersten,Rachel Sussman,SeaviewandMike Birbiglia","Jun 22, 2023","Jun 26, 2023","Aug 19, 2023",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/a-dolls-house-535893,A Doll's House,Jamie Lloyd,Ryuichi SakamotoandAlva Noto,Henrik Ibsen,"Ambassador Theatre Group Productions,Gavin Kalin Productions,Wessex Grove,Julie Boardman,Kate Cannova,Bob Boyett,Hunter Arnold,Creative Partners Productions,Eilene Davidson Productions,GGRS,Kater Gordon,Louise L. Gund,Los Angeles Media Fund,Stephanie P. McClelland,Tilted,Jessica Chastain,Caitlin Clements/Francesca Moody Productions,Caiola Productions/Amanda Lee,Ted & Richard Liebowitz/Joeyen-Waldorf Squeri,Richard & Cecilia Attias/Thomas S. BarnesandOHenry Theatre Nerd Productions / Runyonland MMP","Feb 13, 2023","Mar 09, 2023","Jun 10, 2023",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/death-of-a-salesman-534795,Death of a Salesman,Miranda Cromwell,,Arthur Miller,"Cindy Tolan,Elliott & Harper Productions,Kwame Kwei-ArmahandSteven Chaikelson","Sep 17, 2022","Oct 09, 2022","Jan 15, 2023",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/plaza-suite-524089,Plaza Suite,John Benjamin Hickey,,Neil Simon,"Ambassador Theatre Group Productions,Gavin Kalin Productions,Hal Luftig,James L. Nederlander,Douglas L. Meyer,Elizabeth Armstrong,Hunter Arnold,Caitlin Clements,Eilene Davidson Productions,Jeffrey Finn,Terry Schnuck,Smith & Brant Theatricals,Sherry and Kirk WrightandMike Isaacson","Feb 25, 2022","Mar 28, 2022","Jul 10, 2022",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/american-utopia-522679,American Utopia,,,,"Kristin Caskey,Mike Isaacson,Patrick Catullo,Todomundo,Hal Luftig,Jonathan Reinis,Shira Friedman,Annapurna Theatre,Elizabeth Armstrong,Thomas Laub,Steven Rosenthal,Erica Lynn Schwartz & Matt Picheny,Steve Traxler,Len Blavatnik,Nonesuch Records,Warner / Chappell MusicandAmbassador Theatre Group Productions","Oct 04, 2019","Oct 20, 2019","Feb 16, 2020",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/sea-wall-a-life-522289,Sea Wall/A Life,,,,,,,,2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/burn-this-520708,Burn This,Michael Mayer,,Lanford Wilson,"David Binder,Ruth Hendel,Big Beach,Sharon Karmazin,OHenryGS Productions,Ken Schur,Jayne Baron Sherman,Cynthia Stroum,Barbara Whitman,Richard Willis,Adam Zotovich,The Shubert OrganizationandAmbassador Theatre Group","Mar 15, 2019","Apr 16, 2019","Jul 14, 2019",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/head-over-heels-517717,Head Over Heels,Michael Mayer,Tom Kitt,Jeff Whitty,"Christine Russell,Louise Gund,Donovan Leitch,Rick Ferrari,Gwyneth Paltrow,Scott Sigman,Hunter Arnold,Tom Kirdahy,Jordan Roth,Julie Boardman,Broadway Strategic Return Fund,Vikram Chatwal,The John Gore Organization,NETworks Presentations, LLC,Insurgent Media,Robert Kravis,Art Lab, LLC,Marc Bell,Mara Burros-Sandler,Carrie Clifford,Adam Gorgoni,Carole Shorenstein Hays,Marguerite Hoffman,Dr. Michael Mintz,Sandi Moran,Paramount Pictures,Van Horn Doran Group,Eric Cornell,Jonathan & Nancy Glaser / Lucy Fato & Matthew Detmer,Heather Reid & Allison Milgard / NS HOH, LLC / Leslie Bourne & Lisa Martin,Franklin & Tracy Codel / Mike Singer / Taffy Stern,Oliver Roth / Kate Cannova / Anne & Larry HamblyandBrad Blume / Eric Gelb / Gary Nelson","Jun 23, 2018","Jul 26, 2018","Jan 06, 2019",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/the-parisian-woman-515423,The Parisian Woman,Pam MacKinnon,,Beau Willimon,"Marc Routh,Richard Frankel,Tom Viertel,Steven Baruch,Steve Traxler,Grad / Ragy,Jam TheatricalsandGabrielle Palitz","Nov 09, 2017","Nov 30, 2017","Mar 11, 2018",2025-06-26,Creative Team and Performance Data,Hudson Theatre
https://www.ibdb.com/broadway-production/1984-513416,1984,Robert IckeandDuncan Macmillan,,,"Sonia Friedman Productions,Scott Rudin,Eleanor Lloyd Productions,The John Gore Organization,Tulchin Bartner Productions,Eli Bush,Patrick Catullo,Scott M. Delman,Stephanie P. McClelland,Richard Winkler,Barbara Whitman,Zeilinger Productions,Paul Bendat,Paula Marie Black,Colin Callender,Ruth Hendel,Wendy Federman,JFL Theatricals & Tanya Link Productions,Olympus Theatricals & Firemused Productions,Ramin Sabi,Jane Bergère,Anita Waxman,Philip Hagemann & Murray Rosenthal,JDCA Productions & Lauren Stein,Headlong Theatre,Nottingham PlayhouseandThe Almeida Theatre Company","May 18, 2017","Jun 22, 2017","Oct 08, 2017",2025-06-26,Creative Team and Performance Data,Hudson Theatre
