web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/dead-outlaw-541173,Dead Outlaw,David Cromer,David YazbekandErik Della Penna,Itamar Moses,"Roy Furman,Ken & Janet Schur,Cue to Cue Productions,James Bolosh / Hillary Wyatt,Carl Moellenberg / Ricardo Hornos,Carl & Jennifer Pasbjerg / H2H Concord Theatricals,Masquerade Partners,Douglas Denoff,John Gore Organization,GFour Productions,Brian Hedden,KFRJ Productions,Lang Entertainment Group,James L. Nederlander,Marvin Rosen,Stanley S. Shuman,James L. Walker, Jr.,Winkler & Smalberg,42nd.club / Aligned Theatricals,Craig Balsam / Richard Batchelder,Jane Bergère / Willette and Manny Klausner,The Broadway Investor's Club / Eastern Standard Time,Barbara Chiodo / Adam Cohen,Merrie L. Davis / Tony Spinosa,Noah Eisenberg / Sue Drew,Robin Gorman Newman / Laurence Padgett Productions,LLPR Productions / PatinoGal,Mary Maggio / Janet Rosen,Lawryn LaCroixandAudible","Apr 12, 2025","Apr 27, 2025","Jun 29, 2025",2025-06-26,Creative Team and Performance Data,Longacre Theatre
https://www.ibdb.com/broadway-production/swept-away-539888,Swept Away,Michael Mayer,The Avett Brothers,John Logan,"Louise Gund,Dolphus Ramseur,Frank Marshall & Jimmy Buffett,Bellanca Smigel Rutter,Invisible Wall Productions,James L. Nederlander,Marianne Mills,May It Last,Creative Partners Productions,Meg & John Hauge,John Gore Organization,Willette & Manny Klausner,David Mirvish,Jayne Baron Sherman,Tokyo Broadcasting System Television,Takonkiet Viravan,Fillion Troost Legacy Productions,Catherine Adler & Jonathan Demar,Kate Cannova & Score 3 Partners,Adam Cohen & Dann Fink,Jonathan Corr & Scott Abrams,Grove Entertainment & Jeremiah J. Harris,Una Jackman & Jaimie Mayer,Judith Manocherian & Elizabeth Armstrong,Jeffrey Porter & Bonnie Turen Feld,David Shapiro & Erik Schroeder,Swindal & Laczynski,The Avett Brothers,Berkeley Repertory Theatre (Johanna Pfaelzer, Artistic Director","Oct 29, 2024","Nov 19, 2024","Dec 29, 2024",2025-06-26,Creative Team and Performance Data,Longacre Theatre
https://www.ibdb.com/broadway-production/lempicka-538366,Lempicka,Rachel Chavkin,Carson Kreitzer,Carson KreitzerandMatt Gould,SeaviewandJenny Niederhoffer,"Mar 19, 2024","Apr 14, 2024","May 19, 2024",2025-06-26,Creative Team and Performance Data,Longacre Theatre
https://www.ibdb.com/broadway-production/leopoldstadt-534820,Leopoldstadt,Patrick Marber,,Tom Stoppard,"Sonia Friedman Productions,Roy Furman,Lorne Michaels,Stephanie P. McClelland,Gavin Kalin,Delman Sloan,Eilene Davidson,Brad Edgerton,Patrick Gracey,Hunter Arnold,Burnt Umber Productions,Cue to Cue Productions,The Factor Gavin Partnership,Harris Rubin Productions,Robert Nederlander, Jr.,No Guarantees,Sandy Robertson,Iris Smith,Jamie deRoy / Catherine Adler,Dodge Hall Productions/Waverly Productions,Ricardo Hornos/Robert Tichio,Heni Koenigsberg/Wendy Federman,Thomas S. Perakos/Stephanie Kramer,Brian Spector/Judith SeinfeldandRichard Winkler & Alan Shorr","Sep 14, 2022","Oct 02, 2022","Jul 02, 2023",2025-06-26,Creative Team and Performance Data,Longacre Theatre
https://www.ibdb.com/broadway-production/macbeth-532512,Macbeth,Sam Gold,Gaelynn Lea,William Shakespeare,"Barbara Broccoli,The Shubert Organization,Michael G. Wilson,Frederick Zollo,Christian Anderson,Keith Anderson,Brian Carmody,Patrick Milling-Smith,No Guarantees,Brian Anthony Moreland,Annapurna Theatre,Berdel Productions,Bob Boyett,Caledonia Productions,Empire Street Productions,Jeffrey Finn,John Gore Organization,Mini Cooper,James L. Nederlander,RDR Productions,Daryl RothandOrin Wolf","Mar 29, 2022","Apr 28, 2022","Jul 10, 2022",2025-06-26,Creative Team and Performance Data,Longacre Theatre
https://www.ibdb.com/broadway-production/diana-the-musical-523677,"Diana, The Musical",Christopher Ashley,David BryanandJoe DiPietro,Joe DiPietro,"Grove Entertainment,Frank Marshall,The Araca Group,Two Guys Productions,Barbara Whitman,Parrothead Productions,Richard Winkler & Alan Shorr,Wendy Gillespie & Karen Tanz,Jeremiah J. Harris & Darren P. DeVerna,James L. Nederlander,The Shubert Organization,Betsy Dollinger,Marlene & Gary Cohen,John H. Tyson,Linda G. Scott,Rodney Rigby,Yonge Street Theatricals,Leah Dagen & Cynthia Stroum,Arlene Scanlan & WitzEnd Productions,Molly Morris,Patty Baker,HoriPro Inc.,Brad & Louise Edgerton,Margot Astrachan & Specialechau,Hunter Arnold,PEAK6,Shapiro Jensen Schroeder & Grove TheatricalandLa Jolla Playhouse (Christopher Ashley: Artistic Director","Mar 02, 2020","Nov 17, 2021","Dec 19, 2021",2025-06-26,Creative Team and Performance Data,Longacre Theatre
https://www.ibdb.com/broadway-production/the-lightning-thief-523671,The Lightning Thief,Stephen Brackett,Rob Rokicki,Joe Tracz,"Martian Entertainment,Victoria Lang,Lisa Chanel,Jennifer Doyle & Roy Lennox,Meredith Lucio/Van Dean,O'Hara/Rae/Zurcher,Wei-Hwa Huang,Stewart F. Lane,Bonnie Comley,Leah Lane,Tosha Martin,Cara Talty,Fisher/Jacobs Baker/Masotti/Prince,Schroeder Shapiro Productions/Retsios Boghosian,SJGH ProductionsandTheaterWorksUSA","Sep 20, 2019","Oct 16, 2019","Jan 05, 2020",2025-06-26,Creative Team and Performance Data,Longacre Theatre
https://www.ibdb.com/broadway-production/the-prom-518117,The Prom,Casey Nicholaw,Chad Beguelin,Bob MartinandChad Beguelin,"Bill Damaschke,Dori Berinstein,Jack Lane,James & Catherine Berges,Nelda Sue Yaw,Natasha Davison,Joe Grandy,Kimberlee Garris,Lisa Morris,Terry Schnuck,Jane Dubin,Rosalind Productions, Inc.,Fahs Productions,Seth  A. Goldstein,Mike Kriak,Don & Nancy Ross,Pamela Hurst-Della Pietra & Stephen Della Pietra,Cliff Hopkins,Masie Productions,Vivek Shah,Three Belles & A Bob,Arment-Tackel,Armstrong-Manocherian,Fakler-Silver,Fox Theatricals-Mosbacher-Lonow,Palitz-Stern-Smedes,Nancy & Ken Kranzberg / David Lyons,Larry & Elizabeth Lenke / Elizabeth L. Green,Iris Smith / InStone Productions,Kuhlman-Ketner / Wallace-ATxRandomProductions,The John Gore OrganizationandThe Shubert Organization","Oct 23, 2018","Nov 15, 2018","Aug 11, 2019",2025-06-26,Creative Team and Performance Data,Longacre Theatre
https://www.ibdb.com/broadway-production/a-bronx-tale-the-musical-508538,A Bronx Tale The Musical,Robert De NiroandJerry Zaks,Glenn Slater,Chazz Palminteri,"Tommy Mottola,The Dodgers,Tribeca Productions,Evamere Entertainment,Neighborhood Films,Jeffrey Sine,Cohen Private VenturesandGrant Johnson","Nov 03, 2016","Dec 01, 2016","Aug 05, 2018",2025-06-26,Creative Team and Performance Data,Longacre Theatre
https://www.ibdb.com/broadway-production/allegiance-499860,Allegiance,Stafford Arima,Jay Kuo,"Marc Acito,Jay KuoandLorenzo Thione","Sing Out, Louise! Productions,ATA,Mark Mugiishi / Hawaii HUI,Hunter Arnold,Ken Davenport,Elliott Masie,Sandi Moran,Mabuhay Productions,Barbara Freitag / Eric & Marsi Gardiner,Valiant Ventures,Wendy Gillespie,David Hiatt Kraft,Norm & Diane Blumenthal,M. Bradley Calobrace,Karen TanzandGregory Rae / Mike Karns","Oct 06, 2015","Nov 08, 2015","Feb 14, 2016",2025-06-26,Creative Team and Performance Data,Longacre Theatre
