web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/death-becomes-her-539795,Death Becomes Her,Christopher Gattelli,Julia MattisonandNoel Carey,Marco Pennette,"James L. Nederlander,Steven Spielberg & Kate Capshaw,Jason Blum & James Wan,Debra Martin Chase,John Gore OrganizationandMarc Platt","Oct 23, 2024","Nov 21, 2024",Present,2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/sweeney-todd-535238,Sweeney Todd,Thomas Kail,Stephen Sondheim,Hugh Wheeler,"Jeffrey Seller,Bob Boyett,Diana DiMenna & Plate Spinner Productions / Aaron Glick,Eastern Standard Time,Roy Furman,Thomas Kail,Jim Kierstead / Benjamin Leon IV,TourDForce Theatrical,Maggie BrohnandAndy Jones","Feb 26, 2023","Mar 26, 2023","May 05, 2024",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/tina-522231,Tina,Phyllida Lloyd,Ethan Popp,Katori Hall,"Stage Entertainment,James L. Nederlander,Tali Pelman,Feste Investments B.V.,David Mirvish,Nattering Way,TEG Dainty,Katori Hall,Mark Rubinstein LTD,Warner Chappell,Peter May,Eva Price,No Guarantees,Caiola Productions,Jamie deRoy,Wendy Federman,Roy Furman,Independent Presenters Network,John Gore Organization,Marc Levine,Carl Moellenberg,Al Nocciolino,Catherine Adler,Tom Perakos,Iris Smith,Candy Spelling,Anita Waxman,Daryl Roth,Sony / ATV Music PublishingandUniversal Music Publishing Group","Oct 12, 2019","Nov 07, 2019","Aug 14, 2022",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/manilow-broadway-522792,Manilow Broadway,,,,"Live Nation,EBG,The Araca Group,Garry C. KiefandJames L. Nederlander","Jul 26, 2019","Jul 26, 2019","Aug 17, 2019",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/dave-chappelle-on-broadway-522939,Dave Chappelle on Broadway,,,,"Live Nation,Entertainment Benefits GroupandThe Araca Group","Jul 09, 2019","Jul 09, 2019","Jul 21, 2019",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/criss-angel-raw--the-mindfreak-unplugged-522219,Criss Angel Raw - The Mindfreak Unplugged,,,,"Live Nation,Entertainment Benefits GroupandThe Araca Group","Jul 02, 2019","Jul 02, 2019","Jul 07, 2019",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/regina-spektor-live-on-broadway-521994,Regina Spektor: Live On Broadway,,,,"Live Nation,Entertainment Benefits GroupandThe Araca Group","Jun 20, 2019","Jun 20, 2019","Jun 26, 2019",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/mel-brooks-on-broadway-522302,Mel Brooks on Broadway,,,,"Live Nation,Entertainment Benefits GroupandThe Araca Group","Jun 17, 2019","Jun 17, 2019","Jun 18, 2019",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/pure-yanni-521805,Pure Yanni,,,,"Live Nation,Entertainment Benefits GroupandThe Araca Group","May 28, 2019","May 28, 2019","Jun 02, 2019",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
https://www.ibdb.com/broadway-production/morrissey-521529,Morrissey,,,,"Live Nation,EBGandThe Araca Group","May 02, 2019","May 02, 2019","May 11, 2019",2025-06-26,Creative Team and Performance Data,Lunt-Fontanne Theatre
