web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/gypsy-539831,Gypsy,George C. Wolfe,Stephen Sondheim,Arthur Laurents,Kevin RyanandDiane Scott Carter,"Nov 21, 2024","Dec 19, 2024",Present,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-phantom-of-the-opera-4491,The Phantom of the Opera,Harold Prince,Charles Hart,Richard StilgoeandAndrew Lloyd Webber,Cameron MackintoshandThe Really Useful Theatre Company Ltd.,"Jan 09, 1988","Jan 26, 1988","Apr 16, 2023",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/42nd-street-3963,42nd Street,Gower Champion,Al Dubin,,David Merrick,"Aug 18, 1980","Aug 25, 1980","Jan 08, 1989",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/brigadoon-3971,Brigadoon,Vivian Matalon,Alan Jay Lerner,Alan Jay Lerner,Zev BufmanandThe Shubert Organization,"Oct 09, 1980","Oct 16, 1980","Feb 08, 1981",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/blackstone-3955,Blackstone!,Kevin Carlisle,Richard Bellis,,"Columbia Artist Theatricals, Inc.andBlackstone Magik Enterprises, Inc.","May 13, 1980","May 19, 1980","Aug 17, 1980",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/grease-3641,Grease,Tom Moore,Jim JacobsandWarren Casey,Jim JacobsandWarren Casey,Kenneth WaissmanandMaxine Fox,"Jan 29, 1972","Feb 14, 1972","Apr 13, 1980",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/bette-divine-madness-3824,Bette! Divine Madness,,,,Ron Delsener,"Dec 05, 1979","Dec 05, 1979","Jan 06, 1980",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-most-happy-fella-3814,The Most Happy Fella,Jack O'Brien,Frank Loesser,Frank Loesser,Sherwin M. Goldman,"Sep 20, 1979","Oct 11, 1979","Nov 25, 1979",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/i-remember-mama-3795,I Remember Mama,Cy Feuer,Martin Charnin,Thomas Meehan,"Alexander H. Cohen,Hildy ParksandRoy A. Somlyo","Apr 26, 1979","May 31, 1979","Sep 02, 1979",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/ballroom-3907,Ballroom,Michael Bennett,Alan BergmanandMarilyn Bergman,Jerome Kass,"Michael Bennett,Bob Avian,Bernard GerstenandSusan MacNair","Dec 01, 1978","Dec 14, 1978","Mar 24, 1979",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/first-monday-in-october-3791,First Monday in October,Edwin Sherin,,Jerome LawrenceandRobert E. Lee,"The John F. Kennedy Center for the Performing ArtsandPlumstead Theatre Society, Inc. (Martha Scott, Joel Spector, Bernard Wiesen)","Sep 19, 1978","Oct 03, 1978","Dec 09, 1978",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-act-4022,The Act,Martin Scorsese,Fred Ebb,George Furth,Feuer & Martin,"Oct 22, 1977","Oct 29, 1977","Jul 01, 1978",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/estrada-4011,Estrada,,,,United Euram,"Sep 20, 1977","Sep 20, 1977","Sep 26, 1977",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-wiz-3716,The Wiz,Geoffrey Holder,Charlie Smalls,William F. Brown,Ken Harper,"Dec 24, 1974","Jan 05, 1975","Jan 28, 1979",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/mack-mabel-3473,Mack & Mabel,Gower Champion,Jerry Herman,Michael Stewart,David Merrick,"Oct 06, 1974","Oct 06, 1974","Nov 30, 1974",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/a-little-night-music-3176,A Little Night Music,Harold Prince,Stephen Sondheim,Hugh Wheeler,Harold Prince,"Feb 15, 1973","Feb 25, 1973","Aug 03, 1974",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/sugar-3528,Sugar,Gower Champion,Bob Merrill,Peter Stone,David Merrick,"Mar 29, 1972","Apr 09, 1972","Jun 23, 1973",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/1776-2859,1776,Peter Hunt,Sherman Edwards,Peter Stone,Stuart Ostrow,"Mar 12, 1969","Mar 16, 1969","Feb 13, 1972",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/lovely-ladies-kind-gentlemen-3574,"Lovely Ladies, Kind Gentlemen",Lawrence Kasha,Stan FreemanandFranklin Underwood,John Patrick,Herman Levin,"Dec 26, 1970","Dec 28, 1970","Jan 09, 1971",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/fiddler-on-the-roof-3213,Fiddler on the Roof,Jerome Robbins,Sheldon Harnick,Joseph Stein,Harold Prince,"Sep 17, 1964","Sep 22, 1964","Jul 02, 1972",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-persecution-and-assassination-of-jean-paul-marat-as-performed-by-the-inmates-of-the-asylum-of-charenton-under-the-direction-of-the-marquis-de-sade-3365,The Persecution and Assassination of Jean-Paul Marat as Performed by the Inmates of the Asylum of Charenton Under the Direction of the Marquis de Sade,Donald Driver,,Peter Weiss,Zev Bufman,"Dec 27, 1966","Jan 03, 1967","Feb 25, 1967",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/breakfast-at-tiffanys-12867,Breakfast at Tiffany's,Joseph Anthony,Bob Merrill,,David Merrick,"Dec 12, 1966",Never Officially Opened,"Dec 14, 1966",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/funny-girl-3054,Funny Girl,Garson Kanin,Bob Merrill,Isobel Lennart,Ray Stark,"Mar 10, 1964","Mar 26, 1964","Jul 01, 1967",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/golden-boy-3220,Golden Boy,Arthur Penn,Lee Adams,Clifford OdetsandWilliam Gibson,Hillard Elkins,"Sep 23, 1964","Oct 20, 1964","Mar 05, 1966",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/a-funny-thing-happened-on-the-way-to-the-forum-2779,A Funny Thing Happened on the Way to the Forum,George Abbott,Stephen Sondheim,Burt SheveloveandLarry Gelbart,Harold Prince,"May 01, 1962","May 08, 1962","Aug 29, 1964",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/anyone-can-whistle-3058,Anyone Can Whistle,Arthur Laurents,Stephen Sondheim,Arthur Laurents,Kermit BloomgardenandDiana Krasny,"Mar 24, 1964","Apr 04, 1964","Apr 11, 1964",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/jennie-3033,Jennie,Vincent J. Donehue,Howard DietzandArthur Schwartz,Arnold Schulman,Cheryl CrawfordandRichard Halliday,"Oct 14, 1963","Oct 17, 1963","Dec 28, 1963",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/tovarich-2996,Tovarich,Peter Glenville,Anne Croswell,David Shaw,Abel FarbmanandSylvia Harris,"Mar 18, 1963","Mar 18, 1963","Nov 09, 1963",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/hot-spot-3006,Hot Spot,,Martin Charnin,Jack WeinstockandWillie Gilbert,"Robert Fryer,Lawrence CarrandJohn Herman","Apr 15, 1963","Apr 19, 1963","May 25, 1963",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-school-for-scandal-2979,The School for Scandal,John Gielgud,,Richard Brinsley Sheridan,Alexander H. Cohen,"Jan 23, 1963","Jan 24, 1963","Mar 16, 1963",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/camelot-2275,Camelot,,Alan Jay Lerner,Alan Jay Lerner,"Alan Jay Lerner,Frederick LoeweandMoss Hart","Dec 01, 1960","Dec 03, 1960","Jan 05, 1963",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-music-man-2664,The Music Man,,Meredith Willson,Meredith Willson,Kermit BloomgardenandHerbert Greene,"Dec 19, 1957","Dec 19, 1957","Apr 15, 1961",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/happy-hunting-2594,Happy Hunting,Abe Burrows,Matt Dubey,Howard LindsayandRussel Crouse,Jo Mielziner,"Dec 06, 1956","Dec 06, 1956","Nov 30, 1957",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/fanny-2475,Fanny,Joshua Logan,Harold Rome,S. N. BehrmanandJoshua Logan,David MerrickandJoshua Logan,"Nov 04, 1954","Nov 04, 1954","Dec 16, 1956",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/by-the-beautiful-sea-2448,By the Beautiful Sea,Marshall Jamison,Dorothy Fields,Herbert FieldsandDorothy Fields,Robert FryerandLawrence Carr,"Apr 08, 1954","Apr 08, 1954","Nov 27, 1954",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/me-and-juliet-2235,Me and Juliet,George Abbott,Oscar Hammerstein II,Oscar Hammerstein II,Richard RodgersandOscar Hammerstein II,"May 28, 1953","May 28, 1953","Apr 03, 1954",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/south-pacific-1831,South Pacific,Joshua Logan,Oscar Hammerstein II,Oscar Hammerstein IIandJoshua Logan,Richard RodgersandOscar Hammerstein II,"Apr 07, 1949","Apr 07, 1949","Jan 16, 1954",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/carousel-2105,Carousel,,Oscar Hammerstein II,Oscar Hammerstein II,The Theatre Guild,"Feb 22, 1949","Feb 22, 1949","Mar 05, 1949",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/inside-usa-1999,Inside U.S.A.,Robert H. Gordon,Howard Dietz,,Arthur Schwartz,"Apr 30, 1948","Apr 30, 1948","Feb 19, 1949",2025-06-26,Creative Team and Performance Data
