web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/stranger-things-the-first-shadow-540113,Stranger Things: The First Shadow,Stephen Daldry,D.J. Walde,Kate Trefry,NetflixandSonia Friedman Productions,"Mar 28, 2025","Apr 22, 2025",Present,2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/elf-540332,Elf,Philip William McKinley,Chad Beguelin,Thomas MeehanandBob Martin,"Temple Live Entertainment North America,Crossroads Live North AmericaandNederlander Presentations","Nov 09, 2024","Nov 17, 2024","Jan 04, 2025",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/the-wiz-538120,The Wiz,Schele Williams,Charlie Smalls,William F. Brown,"Kristin Caskey,Mike Isaacson,Brian Anthony Moreland,Kandi Burruss & Todd Tucker,Elizabeth Armstrong,James L. Nederlander,HudsonMann,Cody Lassen / Matthew D'Arrigo,Independent Presenters Network,Amanda Dubois / The Seed Group,Dori Berinstein,The JaQuel Knight Foundation,Spencer Ross / Stephanie Cowan,Terry Schnuck / Gabrielle Palitz,Pippa Lambert / Alissa Norby,Gina Vernaci,Common,Deco Entertainment,MC Lyte,Patty Baker,Marlene & Gary Cohen,Concord Theatricals,Creative Partners Productions,The Fabulous Invalid,Fakston Productions,Brian & Nick Ginsberg,Gabrielle Glore,Grove Entertainment,Haffner-Wright Theatricals,House Woods Productions,Interscope & Immersive Records,John Gore Organization,Yasuhiro Kawana,Willette and Manny Klausner,MMC Productions,Lamar Richardson,Runyonland Productions,Erica Lynn Schwartz,The Shubert Organization,Lu-Shawn Thompson,Lana Williams-Woods,The Araca Group,Blakeman-Robinson Entm't / Ricardo Marques,Robert Tichio / Score 3 Partners,Best Yet Entertainment / Branden Grimmett,Dkim Caldwell / Mickalene Thomas,DMQR Productions / Jason Turchin,Epic Theatricals / Jeffrey Grove,Joel Glassman / Westin Hicks,JamRock Productions / Sonya Houston Productions,Sally Johnston / Ann Scott,Judith Manocherian / Theatre Nerd Productions,Alan Seales / Gonzalez-Leiba Jr.andAmbassador Theatre Group","Mar 29, 2024","Apr 17, 2024","Aug 18, 2024",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/once-upon-a-one-more-time-535897,Once Upon a One More Time,Keone MadridandMari Madrid,James OlmsteadandMatt Stine,Jon Hartmere,"James L. Nederlander,Hunter Arnold,Archer Entertainment Group,Crossroads Live,Kayla Greenspan,Curt Cronin,John Gore Organization,John Joseph,The Shubert Organization,Barbey Girl Productions,LD Entertainment,Chunsoo Shin,Tenenbaum Mindlin Manhan,Boardman Cannova Productions,Rosen Family,Abrams Corr,Cliff Bleszinski,Adam Cohen,Grove Entertainment,Gilbert Family,Gleklen Family Productions,Goldman Family,Stella La Rue,Stewart F. Lane and Bonnie Comley,Levine Wright Haffner,Peter May,Beth Newburger,Al Nocciolino and IPN,Marla McNally Phillips,Henry R. Muñoz, III,John Paterakis,Randy Pitchford,Shapiro Schroeder Productions,Stage EntertainmentandWE R Bway Artists Alliance","May 13, 2023","Jun 22, 2023","Sep 03, 2023",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/jonas-brothers-on-broadway-536538,Jonas Brothers on Broadway,,,,,"Mar 14, 2023","Mar 14, 2023","Mar 18, 2023",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/beetlejuice-532410,Beetlejuice,Alex Timbers,Eddie Perfect,Scott BrownandAnthony King,"Warner Bros. Theatre Ventures,Langley Park Productions,Jeffrey Richards,Jam Theatricals,Endeavor,Rebecca Gold,Ben Lowy,James L. Nederlander,Warner / Chappell Music, Inc.andZenDog Productions","Apr 08, 2022","Apr 08, 2022","Jan 08, 2023",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/tootsie-519394,Tootsie,Scott Ellis,David Yazbek,Robert Horn,"Scott Sanders,Carol Fineman,Unibail-Rodamco-Westfield,Columbia Live Stage,Sally Horchow,James L. Nederlander,Benjamin Lowy,Cindy and Jay Gutterman / Marlene and Gary Cohen,Judith Ann Abrams Productions,Robert Greenblatt,Stephanie P. McClelland,Candy Spelling,Jam Theatricals,Roy Furman,Michael Harrison / David Ian,Jamie deRoy / Catherine Adler / Wendy Federman / Heni Koenigsberg,JAA Productions/Stella LaRue/Silva Theatrical Group,Toho Co. Ltd.,Jonathan Littman,Peter May,Janet and Marvin Rosen,Seriff Productions,Iris Smith,Bob Boyett Thomas L. Miller,Larry J. Kroll/Douglas L. Meyer,Victoria Lang/Scott Mauro,Brunish/Caiola/Fuld, Jr./Epic Theatricals,Ted Liebowitz / Lassen Blume Baldwin,The John Gore Organization,Ronald Frankel,Char-Park Productions,Chris and Ashlee Clarke,Fakston Productions,The Woodland Hills Broadway Group,2 Js and an A, Inc.,Tom McGrath / 42nd.club,Drew Hodges and Peter Kukielski,Jim Fantaci,Frederike and Bill Hecht,Brad LammandIndependent Presenters Network","Mar 29, 2019","Apr 23, 2019","Jan 05, 2020",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/celebrity-autobiography-520492,Celebrity Autobiography,,,,"MagicSpace Entertainment,Angelo Fraboni,Carl Pasbjerg,EP ProductionsandDayle Reyfel","Nov 26, 2018","Nov 26, 2018","Dec 17, 2018",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/the-illusionists--magic-of-the-holidays-519594,The Illusionists - Magic of the Holidays,,Evan Jolly,,"Simon Painter,Tim Lawson,MagicSpace EntertainmentandKilburn Live","Nov 23, 2018","Nov 23, 2018","Dec 30, 2018",2025-06-26,Creative Team and Performance Data,Marquis Theatre
https://www.ibdb.com/broadway-production/escape-to-margaritaville-515030,Escape to Margaritaville,Christopher Ashley,Jimmy Buffett,Greg GarciaandMike O'Malley,"Frank Marshall,Rich Entertainment Group,Anita Waxman,Grove Entertainment,James L. Nederlander,Jeremiah J. Harris & Darren P. DeVerna,Linda G. Scott,John H. Tyson,The Shubert Organization,Latitude Link,John Morgan,Roy Furman,Jeffrey A. Sine,AC Orange Entertainment LTD,Arlene Scanlan & WitzEnd Productions,Terry Allen Kramer,Universal Music Group & Scott Landis,Kevin J. Kinsella,Independent Presenters Network & Al Nocciolino,SeaHenry Productions & Skolnick • Dagen,Jam TheatricalsandLa Jolla Playhouse  (Christopher Ashley: Artistic Director","Feb 16, 2018","Mar 15, 2018","Jul 01, 2018",2025-06-26,Creative Team and Performance Data,Marquis Theatre
