web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/the-lion-king-4761,The Lion King,Julie Taymor,Tim Rice,Roger AllersandIrene Mecchi,Disney Theatrical Productions,"Oct 15, 1997","Nov 13, 1997",Present,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-lion-king-4761,The Lion King,Julie Taymor,Tim Rice,Roger AllersandIrene Mecchi,Disney Theatrical Productions,"Oct 15, 1997","Nov 13, 1997",Present,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/fiddler-on-the-roof-13483,Fiddler on the Roof,Jerome Robbins,Sheldon Harnick,Joseph Stein,"James L. Nederlander,Stewart F. Lane,Bonnie Comley,Harbor Entertainment,Terry Allen Kramer,Bob Boyett,Lawrence HorowitzandClear Channel Entertainment","Jan 23, 2004","Feb 26, 2004","Jan 08, 2006",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/dance-of-the-vampires-13164,Dance of the Vampires,John Rando,Jim Steinman,"David Ives,Jim SteinmanandMichael Kunze","Bob Boyett,USA OSTAR Theatricals,Andrew Braunsberg,Lawrence Horowitz,Michael Gardner,Roy Furman,Lexington Road ProductionsandDavid Sonenberg","Oct 16, 2002","Dec 09, 2002","Jan 25, 2003",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-adventures-of-tom-sawyer-12838,The Adventures of Tom Sawyer,Scott Ellis,Don Schlitz,Ken Ludwig,"James M. Nederlander,James L. NederlanderandWatt / Dobie Productions","Mar 27, 2001","Apr 26, 2001","May 13, 2001",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/saturday-night-fever-9684,Saturday Night Fever,Arlene Phillips,The Bee Gees,,Robert StigwoodandPatrick Bywalski,"Sep 28, 1999","Oct 21, 1999","Dec 30, 2000",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-scarlet-pimpernel-12566,The Scarlet Pimpernel,Peter Hunt,Nan Knighton,Nan Knighton,"Pierre Cossette,Bill Haber,Hallmark Entertainment,Ted ForstmannandKathleen Raitt","Oct 06, 1997","Nov 09, 1997","Jan 02, 2000",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-scarlet-pimpernel-12566,The Scarlet Pimpernel,,,,,,,,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/sunset-boulevard-4275,Sunset Boulevard,Trevor Nunn,Don BlackandChristopher Hampton,Don BlackandChristopher Hampton,The Really Useful Theatre Company Ltd.,"Nov 01, 1994","Nov 17, 1994","Mar 22, 1997",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/joseph-and-the-amazing-technicolor-dreamcoat-4581,Joseph and the Amazing Technicolor Dreamcoat,Steven Pimlott,Tim Rice,,"The Really Useful Theatre Company Ltd.,Andrew Lloyd Webber,Rodger HessandThe Shubert Organization","Oct 26, 1993","Nov 10, 1993","May 29, 1994",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/metro-4680,Metro,Janusz Józefowicz,Agata MiklaszewskaandMaryna Miklaszewska,Agata MiklaszewskaandMaryna Miklaszewska,Wiktor Kubiak,"Mar 26, 1992","Apr 16, 1992","Apr 26, 1992",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/peter-pan-12564,Peter Pan,Fran Soeder,Carolyn Leigh,,"McCoy Rigby Entertainment,Thomas P. McCoyandKeith Stava","Nov 26, 1991","Nov 26, 1991","Jan 05, 1992",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/black-and-blue-4528,Black and Blue,Claudio SegoviaandHéctor Orezzoli,Sy Johnson,,Mel HowardandDonald K. Donald,"Dec 27, 1988","Jan 26, 1989","Jan 20, 1991",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/canciones-de-mi-padre-4514,Canciones de mi Padre,Michael Smuin,,,Asher / Krost Management (Ira Koslow),"Jul 12, 1988","Jul 12, 1988","Jul 30, 1988",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/cabaret-4484,Cabaret,Harold Prince,Fred Ebb,Joe Masteroff,Barry & Fran Weissler,"Oct 07, 1987","Oct 22, 1987","Jun 04, 1988",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/teddy-alice-4487,Teddy & Alice,John Driver,Hal Hackady,Jerome Alden,Hinks Shimberg,"Nov 03, 1987","Nov 12, 1987","Jan 17, 1988",2025-06-26,Creative Team and Performance Data
