web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/art-543123,Art,Scott Ellis,,Yasmina Reza,"Sand & Snow Entertainment,ATG ProductionsandGavin Kalin Productions","Aug 28, 2025","Sep 16, 2025","Dec 21, 2025",2025-06-26,Creative Team and Performance Data,Music Box Theatre
https://www.ibdb.com/broadway-production/the-picture-of-dorian-gray-540658,The Picture of Dorian Gray,Kip Williams,,Kip Williams,"Len Blavatnik & Danny Cohen,Tom Werner,Ronald Frankel,Ken Schur,Bob Boyett,Caiola Productions,Grove Entertainment,No Guarantees ProductionsandLizzie Tisch","Mar 10, 2025","Mar 27, 2025","Jun 29, 2025",2025-06-26,Creative Team and Performance Data,Music Box Theatre
https://www.ibdb.com/broadway-production/suffs-538249,Suffs,Leigh Silverman,Shaina Taub,Shaina Taub,"Jill Furman,Rachel Sussman,Hillary Rodham ClintonandMalala Yousafzai","Mar 26, 2024","Apr 18, 2024","Jan 05, 2025",2025-06-26,Creative Team and Performance Data,Music Box Theatre
https://www.ibdb.com/broadway-production/purlie-victorious-a-non-confederate-romp-through-the-cotton-patch-537468,Purlie Victorious: A Non-Confederate Romp Through the Cotton Patch,Kenny Leon,,Ossie Davis,"Jeffrey Richards,Hunter Arnold,Leslie Odom, Jr.,Louise Gund,Bob Boyett,Curt Cronin,John Joseph,Willette and Manny Klausner,Brenda Boone,Salman Moudhy Al-Rashid,Creative Partners Productions,Irene Gandy,Kayla Greenspan,Mark and David Golub Productions,Kenny Leon,John Gore Organization,W3 Productions,Morwin Schmookler,Van Kaplan,Ken Greiner,Patrick W. Jones,Nicolette Robinson,National Black Theatre,Alan Alda,LaTanya Richardson Jackson,Samuel L. Jackson,Phylicia Rashad,Nnamdi Asomugha,Kerry WashingtonandThe Shubert Organization","Sep 07, 2023","Sep 27, 2023","Feb 04, 2024",2025-06-26,Creative Team and Performance Data,Music Box Theatre
https://www.ibdb.com/broadway-production/bob-fosses-dancin-535808,Bob Fosse's Dancin',Wayne Cilento,Jim Abbott,,"Joey Parnes,Hunter Arnold,Kayla Greenspan,Rodger Hess & Michael Seago,Bob Boyett,Jay Alix & Una Jackman,The Shubert Organization,James L. Nederlander,Park West Productions,Tim Forbes,Carson Gleberman,McCabe Ventures,Fran Kirmser & Jodi Kaplan,Gary & Marcia Nelson,Greg Young,The Fabulous Invalid,Julie Hess & Tommy Hess,Peter May,Tom TuftandThe Old Globe (Barry Edelstein, Artistic Director","Mar 02, 2023","Mar 19, 2023","May 14, 2023",2025-06-26,Creative Team and Performance Data,Music Box Theatre
https://www.ibdb.com/broadway-production/walking-with-ghosts-535220,Walking with Ghosts,Lonny Price,,Gabriel Byrne,"Anne Clarke,Mara IsaacsandNeal Street Productions","Oct 18, 2022","Oct 27, 2022","Nov 20, 2022",2025-06-26,Creative Team and Performance Data,Music Box Theatre
https://www.ibdb.com/broadway-production/dear-evan-hansen-508238,Dear Evan Hansen,Michael Greif,Benj PasekandJustin Paul,Steven Levenson,"Stacey Mindich,Mickey Liddell,Hunter Arnold,Caiola Productions,Double Gemini Productions,Fakston Productions,Roy Furman,Harris Karma Productions,On Your Marks Group,Darren Bagert,Roger & William Berlind,Bob Boyett,Colin Callender,Caitlin Clements,Freddy DeMann,Dante Di Loreto,Bonnie & Kenneth Feld,FickStern Productions,Eric and Marsi Gardiner,Robert Greenblatt,Jere Harris and Darren DeVerna,The John Gore Organization,Mike Kriak,Arielle Tepper Madover,David Mirvish,Eva Price,Zeilinger Productions,Adam Zotovich,Ambassador Theatre Group,Independent Presenters NetworkandThe Shubert Organization","Nov 14, 2016","Dec 04, 2016","Sep 18, 2022",2025-06-26,Creative Team and Performance Data,Music Box Theatre
https://www.ibdb.com/broadway-production/shuffle-along-or-the-making-of-the-musical-sensation-of-1921-and-all-that-followed-499865,"Shuffle Along, Or The Making of the Musical Sensation of 1921 and All That Followed",George C. Wolfe,Noble Sissle,George C. Wolfe,"Scott Rudin,Roy Furman,Columbia Live Stage,Center Theatre Group (Michael Ritchie, Artistic Director","Mar 15, 2016","Apr 28, 2016","Jul 24, 2016",2025-06-26,Creative Team and Performance Data,Music Box Theatre
https://www.ibdb.com/broadway-production/king-charles-iii-500333,King Charles III,Rupert Goold,Jocelyn Pook,,"Stuart Thompson,Sonia Friedman Productions,The Almeida Theatre Company,Robert G. Bartner,Norman Tulchin,Lee Dean & Charles Diamond,Scott M. Delman,Ruth Hendel,Stephanie P. McClelland,Jon B. Platt,Scott Rudin,Richard Winkler,Zeilinger ProductionsandThe Shubert Organization","Oct 10, 2015","Nov 01, 2015","Jan 31, 2016",2025-06-26,Creative Team and Performance Data,Music Box Theatre
https://www.ibdb.com/broadway-production/the-heidi-chronicles-498692,The Heidi Chronicles,Pam MacKinnon,,Wendy Wasserstein,"Jeffrey Richards,Jerry Frankel,Susan Gallin,Mary Lu Roffe,Eagle Productions LLC,Stacy Jacobs,LTPS Productions,Gabrielle Palitz,Sally Horchow,Rebecca Gold,Ken Greiner,Grimaldi & WSProductions,Jamie deRoy & friends,Amy Kaissar,Suzanne Friedman,Ed Goldstone,Jessica GenickandWill Trice","Feb 23, 2015","Mar 19, 2015","May 03, 2015",2025-06-26,Creative Team and Performance Data,Music Box Theatre
