web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/jeff-ross-take-a-banana-for-the-ride-543193,Jeff Ross: Take A Banana For The Ride,Stephen Kessler,,Jeff Ross,"Eric Nederlander,Robert Nederlander, Jr.,Marc CornsteinandTony Eisenberg","Aug 05, 2025","Aug 18, 2025","Sep 28, 2025",2025-06-26,Creative Team and Performance Data,Nederlander Theatre
https://www.ibdb.com/broadway-production/redwood-539969,Redwood,Tina Landau,Kate DiazandTina Landau,Tina Landau,"Eva Price,Caroline Kaplan,Loudmouth MediaandMEP","Jan 24, 2025","Feb 13, 2025","May 18, 2025",2025-06-26,Creative Team and Performance Data,Nederlander Theatre
https://www.ibdb.com/broadway-production/the-whos-tommy-538325,The Who's Tommy,Des McAnuff,Pete Townshend,Pete TownshendandDes McAnuff,Stephen GabrielandIra Pittelman,"Mar 08, 2024","Mar 28, 2024","Jul 21, 2024",2025-06-26,Creative Team and Performance Data,Nederlander Theatre
https://www.ibdb.com/broadway-production/shucked-535831,Shucked,Jack O'Brien,Brandy ClarkandShane McAnally,Robert Horn,"Mike Bosner,Jason Owen,AEG Presents / Jay Marciano / Gary Gersh,Jeffrey A. Sine,Richard Smith,Silvia Schmid,Bob Boyett,Jeremiah J. Harris,James L. Nederlander,EST / Emily Tisch,Sony Music Entertainment,DudaAllen,David W. Busch,Karen Fairchild,HoriPro Inc.,Gordon-Helfner,John Gore Organization,Madison Wells Live,S&Co.,Terry Schnuck,Jimi WestbrookandZKM Media","Mar 08, 2023","Apr 04, 2023","Jan 14, 2024",2025-06-26,Creative Team and Performance Data,Nederlander Theatre
https://www.ibdb.com/broadway-production/a-christmas-carol-535278,A Christmas Carol,Michael Arden,,Charles Dickens,"Hunter Arnold,Kayla Greenspan,Randy Pitchford,Archer Entertainment,MTTM TheatricsandVibecke Dahle Dellapolla/John Paterakis","Nov 08, 2022","Nov 21, 2022","Jan 01, 2023",2025-06-26,Creative Team and Performance Data,Nederlander Theatre
https://www.ibdb.com/broadway-production/mr-saturday-night-532890,Mr. Saturday Night,John Rando,Amanda Green,"Billy Crystal,Lowell GanzandBabaloo Mandel","James L. Nederlander,Face Productions, Inc.,Hunter Arnold,Michael Cohl,TEG Dainty,Candy Spelling,Steve Traxler,Marc David Levine,Caiola Productions,Crossroads Live,Jamie deRoy,Roy Furman,Arny Granat,Grove Entertainment,John Gore Organization,Wolf Gutterman,Van Kaplan,Larry Magid,Peter May,Carl Moellenberg,Beth W. Newburger,Albert Nocciolino,Eva Price,Iris Smith,The Shubert Organization,Howard TenenbaumandBarry & Fran Weissler","Mar 29, 2022","Apr 27, 2022","Sep 04, 2022",2025-06-26,Creative Team and Performance Data,Nederlander Theatre
https://www.ibdb.com/broadway-production/the-lehman-trilogy-524011,The Lehman Trilogy,Sam Mendes,,Stefano Massini,"The National Theatre,Neal Street Productions,Barry Diller,David Geffen,Kash Bennett,Lisa Burger,Caro Newling,Ambassador Theatre Group,Stephanie P. McClelland,Annapurna Theatre,Delman-Whitney,Craig Balsam/Heni Koenigsberg/John Yonover,Fiery Angel/Seth A. Goldstein,Starry Night Entertainment,Gavin Kalin Productions,Paul & Selina Burdell/Bill Damaschke,42nd.club / Phil & Claire Kenny,CatWenJam Productions,Amanda Dubois,Glass Half Full Productions,Dede Harris/Linda B. Rubin,Kallish Weinstein Creative,Kors Le Pere Theatricals LLC,James L. Nederlander,No Guarantees,Mark Pigott KBE, KStJ,Playing Field,Catherine Schreiber/Adam Zell,Tulchin Bartner Productions,Richard Winkler/Alan Shorr/Dawn Smalberg,The Shubert Organization,Independent Presenters NetworkandJohn Gore Organization","Mar 07, 2020","Oct 14, 2021","Jan 02, 2022",2025-06-26,Creative Team and Performance Data,Nederlander Theatre
https://www.ibdb.com/broadway-production/harry-connick-jr--a-celebration-of-cole-porter-524511,"Harry Connick, Jr. - A Celebration of Cole Porter","Harry Connick, Jr.",Cole Porter,"Harry Connick, Jr.","Connick Performances, Inc.,James L. NederlanderandGrove Entertainment","Dec 07, 2019","Dec 12, 2019","Dec 29, 2019",2025-06-26,Creative Team and Performance Data,Nederlander Theatre
https://www.ibdb.com/broadway-production/kristin-chenoweth-for-the-girls-524226,Kristin Chenoweth: For the Girls,Richard Jay-Alexander,,,James L. Nederlander,"Nov 08, 2019","Nov 08, 2019","Nov 17, 2019",2025-06-26,Creative Team and Performance Data,Nederlander Theatre
https://www.ibdb.com/broadway-production/pretty-woman-the-musical-517017,Pretty Woman: The Musical,Jerry Mitchell,Bryan AdamsandJim Vallance,Garry MarshallandJ.F. Lawton,"Paula Wagner,Nice Productions,LPO,New Regency Productions,Caiola Productions & Co.,James L. Nederlander,Roy Furman,Hunter Arnold,Graham Burke,Edward Walson,deRoy Kierstead,Michael Cassel Group,Stage Entertainment,Ambassador Theatre GroupandThe John Gore Organization","Jul 20, 2018","Aug 16, 2018","Aug 18, 2019",2025-06-26,Creative Team and Performance Data,Nederlander Theatre
