web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/mj-524797,MJ,Christopher Wheeldon,David HolcenbergandJason Michael Webb,Lynn Nottage,"Lia Vollack,John Branca,John McClain,Sony Pictures Entertainment,Sony Music Entertainment,Roy Furman,Cue to Cue Productions,James L. Nederlander,Kumiko Yoshii,Naoya Kinoshita,Latitude Link,Candy Spelling,Stephen C. Byrd,John Gore Organization,Sandy Robertson,Ed Walson,Peter W. May,CJ ENM,Martin Bandier,Michael Cassel Group,Albert Nocciolino,Playful Productions,Ken Schur,Willette & Manny KlausnerandDoug Morris","Dec 06, 2021","Feb 01, 2022",Present,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-illusionists--magic-of-the-holidays-523538,The Illusionists - Magic of the Holidays,,,,"Simon Painter,Tim Lawson,MagicSpace EntertainmentandThe Works Entertainment","Nov 29, 2019","Nov 29, 2019","Jan 05, 2020",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-cher-show-518460,The Cher Show,Jason Moore,Daryl Waters,Rick Elice,"Flody Suarez,Jeffrey SellerandCher","Nov 01, 2018","Dec 03, 2018","Aug 18, 2019",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/angels-in-america-millennium-approaches-515873,Angels in America: Millennium Approaches,Marianne Elliott,Adrian Sutton,Tony Kushner,"Tim Levy,NT America,Jordan Roth,Rufus Norris & Lisa Burger,The Royal National Theatre,Elliott & Harper Productions,Kash Bennett,NT Productions,Aged In Wood,The Baruch-Viertel-Routh-Frankel Group,Jane Bergère,Adam Blanshay Productions,CatWenJam Productions,Jean Doumanian,Gilad-Rogowsky,Gold-Ross Productions,The John Gore Organization,Grove Entertainment,Harris Rubin Productions,Hornos-Moellenberg,Brian & Dayna Lee,Benjamin Lowy,Stephanie P. McClelland,David Mirvish,Mark Pigott,Jon B. Platt,E. Price-LD ENT.,Daryl Roth,Catherine Schreiber,Barbara Whitman,Jujamcyn Theaters,The Nederlander OrganizationandThe Shubert Organization","Feb 23, 2018","Mar 25, 2018","Jul 15, 2018",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/angels-in-america-perestroika-515874,Angels in America: Perestroika,Marianne Elliott,Adrian Sutton,Tony Kushner,"Tim Levy,NT America,Jordan Roth,Rufus Norris & Lisa Burger,The Royal National Theatre,Elliott & Harper Productions,Kash Bennett,NT Productions,Aged In Wood,The Baruch-Viertel-Routh-Frankel Group,Jane Bergère,Adam Blanshay Productions,CatWenJam Productions,Jean Doumanian,Gilad-Rogowsky,Gold-Ross Productions,The John Gore Organization,Grove Entertainment,Harris Rubin Productions,Hornos-Moellenberg,Brian & Dayna Lee,Benjamin Lowy,Stephanie P. McClelland,David Mirvish,Mark Pigott,Jon B. Platt,E. Price-LD ENT.,Daryl Roth,Catherine Schreiber,Barbara Whitman,Jujamcyn Theaters,The Nederlander OrganizationandThe Shubert Organization","Feb 23, 2018","Mar 25, 2018","Jul 15, 2018",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/cats-504579,Cats,Trevor Nunn,T.S. Eliot,,"The Shubert Organization,James L. Nederlander,Really Useful Group,Cameron Mackintosh,Roy Furman,John Gore,Stella La Rue,Grove Entertainment,Burnt Umber Productions,Independent Presenters Network / Al NocciolinoandPeter May","Jul 14, 2016","Jul 31, 2016","Dec 30, 2017",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-illusionists--live-on-broadway-501229,The Illusionists - Live on Broadway,Neil Dorward,Evan Jolly,,"Simon Painter,Tim Lawson,MagicSpace EntertainmentandRoad Show Theatrical","Nov 19, 2015","Nov 19, 2015","Jan 03, 2016",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/gigi-499196,Gigi,Eric Schaeffer,Alan Jay Lerner,Alan Jay Lerner,"Jenna Segal,Segal NYC Productions,Ilya Mikhailovic Productions,Eion and Mia Hu,Darren P. DeVerna / Jeremiah J. Harris,Merrie L. Davis,Martin Markinson,Lawrence S. Toppall / Riki Kane Larimer / Pat Flicker AddissandMarsi and Eric Gardiner / Maggie Gold Seelig and Jonathan Seelig","Mar 19, 2015","Apr 08, 2015","Jun 21, 2015",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-last-ship-496367,The Last Ship,Joe Mantello,Sting,John LoganandBrian Yorkey,"Jeffrey Seller,Kathryn Schenker,Kevin McCollum,Sander Jacobs,James L. Nederlander,Roy Furman,Herb AlpertandJerry Moss","Sep 29, 2014","Oct 26, 2014","Jan 24, 2015",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/all-the-way-495850,All The Way,Bill Rauch,,Robert Schenkkan,"Jeffrey Richards,Louise Gund,Jerry Frankel,Stephanie P. McClelland,Double Gemini Productions,Rebecca Gold,Scott M. Delman,Barbara Freitag,Harvey Weinstein,Gene Korf,William Berlind,Caiola Productions,Gutterman Chernoff,Jam Theatricals,Gabrielle Palitz,Cheryl WiesenfeldandWill Trice","Feb 10, 2014","Mar 06, 2014","Jun 29, 2014",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/big-fish-493988,Big Fish,Susan Stroman,Andrew Lippa,John August,"Dan Jinks,Bruce Cohen,Stage Entertainment USA, Inc.,Roy Furman,Edward Walson,James L. Nederlander,Broadway Across America / Rich Entertainment GroupandJohn Domo","Sep 05, 2013","Oct 06, 2013","Dec 29, 2013",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/scandalous-493183,Scandalous,David Armstrong,Kathie Lee Gifford,Kathie Lee Gifford,"Betsy & Dick DeVos,Foursquare Foundation,Cantinas Ranch FoundationandThe Stand Up Group","Oct 13, 2012","Nov 15, 2012","Dec 09, 2012",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/jesus-christ-superstar-490940,Jesus Christ Superstar,Des McAnuff,Tim Rice,,"Dodger Properties,Really Useful Group,Latitude Link,Tamara and Kevin Kinsella,Pelican Group,Waxman-Dokton,Joe Corcoran,Detsky / Sokolowski / Kassie,Florin-Blanshay-Fan / Broadway Across America,Rich / Caudwell,Shin / ColemanandTheatreDreams North America, LLC","Mar 01, 2012","Mar 22, 2012","Jul 01, 2012",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/catch-me-if-you-can-488876,Catch Me If You Can,Jack O'Brien,Scott WittmanandMarc Shaiman,Terrence McNally,"Margo Lion,Hal Luftig,Stacey Mindich,Yasuhiro Kawana,Scott and Brian Zeilinger,The Rialto Group,The Araca Group,Michael Watt,Barbara and Buddy Freitag,Jay & Cindy Gutterman / Pittsburgh CLO,Elizabeth Williams,Johnny Roscoe Productions / Van Dean,Fakston Productions / Solshay Productions,Patty Baker / Richard Winkler,Nederlander Presentations, Inc.andWarren Trepp","Mar 11, 2011","Apr 10, 2011","Sep 04, 2011",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/rain-488176,Rain,,,,"Annerin Productions,Magic Arts & Entertainment / Tix Productions,Nederlander Presentations, Inc.andRAIN","Oct 19, 2010","Oct 26, 2010","Jul 31, 2011",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/harry-connick-jr-in-concert-on-broadway-488126,"Harry Connick, Jr. in Concert on Broadway",,"Harry Connick, Jr.",,James L. NederlanderandBroadway Across America,"Jul 15, 2010","Jul 15, 2010","Jul 31, 2010",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/ragtime-484345,Ragtime,Marcia Milgrom Dodge,Lynn Ahrens,Terrence McNally,"Kevin McCollum,Roy Furman,Scott Delman,Roger Berlind,Max Cooper,Tom Kirdahy / Devlin Elliott,Jeffrey Sine,Stephanie McClelland,Roy Miller,LAMS Productions,Jana Robbins,Sharon Karmazin,Morris Berchard / Eric Falkenstein,RialtoGals Productions,Independent Presenters Network,Held-Haffner Productions,HRH FoundationandEmanuel Azenberg","Oct 23, 2009","Nov 15, 2009","Jan 10, 2010",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/hairspray-13371,Hairspray,Jack O'Brien,Scott WittmanandMarc Shaiman,Mark O'DonnellandThomas Meehan,"Margo Lion,Adam Epstein,The Baruch-Viertel-Routh-Frankel Group,James D. Stern,Douglas L. Meyer,Rick Steiner,Frederic H. Mayerson,SEL,GFOandNew Line Cinema","Jul 18, 2002","Aug 15, 2002","Jan 04, 2009",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/elaine-stritch-at-liberty-13309,Elaine Stritch At Liberty,George C. Wolfe,Jonathan Tunick,,"John Schreiber,Creative BatteryandMargo Lion","Feb 06, 2002","Feb 21, 2002","May 26, 2002",2025-06-26,Creative Team and Performance Data
