web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/aladdin-495244,Aladdin,Casey Nicholaw,Howard AshmanandTim Rice,Chad Beguelin,Disney Theatrical Productions (under the direction of Thomas Schumacher),"Feb 26, 2014","Mar 20, 2014",Present,2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/mary-poppins-408494,Mary Poppins,Richard Eyre,Richard M. ShermanandRobert B. Sherman,Julian Fellowes,Disney Theatrical ProductionsandCameron Mackintosh,"Oct 14, 2006","Nov 16, 2006","Mar 03, 2013",2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/the-lion-king-4761,The Lion King,Julie Taymor,Tim Rice,Roger AllersandIrene Mecchi,Disney Theatrical Productions,"Oct 15, 1997","Nov 13, 1997",Present,2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/king-david-4728,King David,Mike Ockrent,Tim Rice,Tim Rice,"Disney Theatrical Productions,André DjaouiandRitza B. Barath","May 15, 1997","May 18, 1997","May 23, 1997",2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/othello-12180,Othello,,,William Shakespeare,Max Gordon,"Jan 06, 1937","Jan 06, 1937",Jan 1937,2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/forbidden-melody-12158,Forbidden Melody,,Otto Harbach,Otto Harbach,Jack KirklandandSam H. Grisman,"Nov 02, 1936","Nov 02, 1936","Nov 28, 1936",2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/cyrano-de-bergerac-12121,Cyrano de Bergerac,,,Edmond Rostand,,"Apr 27, 1936","Apr 27, 1936",Jun 1936,2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/george-whites-scandals-1936-12048,George White's Scandals [1936],George White,Jack Yellen,,George White,"Dec 25, 1935","Dec 25, 1935","Mar 28, 1936",2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/revenge-with-music-9389,Revenge with Music,,Howard Dietz,Howard Dietz,Arch SelwynandHarold B. Franklin,"Nov 28, 1934","Nov 28, 1934","Apr 27, 1935",2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/roberta-11791,Roberta,,Otto Harbach,Otto Harbach,Max Gordon,"Nov 18, 1933","Nov 18, 1933","Jul 21, 1934",2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/murder-at-the-vanities-11753,Murder at the Vanities,,Edward Heyman,Earl CarrollandRufus King,Earl Carroll,"Sep 12, 1933","Sep 12, 1933","Mar 10, 1934",2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/the-cherry-orchard-11735,The Cherry Orchard,,,Anton Chekhov,Eva Le Gallienne,"Mar 06, 1933","Mar 06, 1933",Apr 1933,2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/cyrano-de-bergerac-11548,Cyrano de Bergerac,,,Edmond Rostand,Walter Hampden,"Dec 26, 1932","Dec 26, 1932",Jan 1933,2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/the-dark-hours-11670,The Dark Hours,,,Don Marquis,Lodewick Vroom,"Nov 14, 1932","Nov 14, 1932",Nov 1932,2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/face-the-music-11494,Face the Music,George S. Kaufman,Irving Berlin,Moss Hart,Sam H. Harris,"Feb 17, 1932","Feb 17, 1932","Jul 09, 1932",2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/the-band-wagon-11380,The Band Wagon,,Howard Dietz,George S. KaufmanandHoward Dietz,Max Gordon,"Jun 03, 1931","Jun 03, 1931","Jan 16, 1932",2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
https://www.ibdb.com/broadway-production/the-admirable-crichton-11335,The Admirable Crichton,,,James M. Barrie,George C. Tyler,"Mar 09, 1931","Mar 09, 1931",Apr 1931,2025-06-26,Creative Team and Performance Data,New Amsterdam Theatre
