web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/punch-543199,Punch,Adam Penford,,James Graham,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Sep 09, 2025","Sep 29, 2025",Present,2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/stephen-sondheims-old-friends-539390,Stephen Sondheim's Old Friends,Matthew Bourne,Stephen Sondheim,,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Mar 25, 2025","Apr 08, 2025","Jun 29, 2025",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/eureka-day-539386,Eureka Day,Anna D. Shapiro,Rob MilburnandMichael Bodeen,Jonathan Spector,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Nov 25, 2024","Dec 16, 2024","Feb 16, 2025",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/mary-jane-537964,Mary Jane,Anne Kauffman,,Amy Herzog,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Apr 02, 2024","Apr 23, 2024","Jun 30, 2024",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/prayer-for-the-french-republic-537409,Prayer for the French Republic,David Cromer,Daniel Kluger,Joshua Harmon,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Dec 19, 2023","Jan 09, 2024","Mar 03, 2024",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/jajas-african-hair-braiding-537669,Jaja's African Hair Braiding,Whitney White,Justin Ellington,Jocelyn Bioh,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Sep 12, 2023","Oct 03, 2023","Nov 19, 2023",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/summer-1976-535224,"Summer, 1976",Daniel Sullivan,,David Auburn,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Apr 04, 2023","Apr 25, 2023","Jun 18, 2023",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/the-collaboration-534990,The Collaboration,Kwame Kwei-Armah,,Anthony McCarten,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Nov 30, 2022","Dec 18, 2022","Feb 11, 2023",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/cost-of-living-535065,Cost of Living,Jo Bonney,,Martyna Majok,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Sep 13, 2022","Oct 03, 2022","Nov 06, 2022",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
https://www.ibdb.com/broadway-production/how-i-learned-to-drive-523721,How I Learned to Drive,Mark Brokaw,David Van Tieghem,Paula Vogel,"Manhattan Theatre Club (Lynne Meadow, Artistic Director","Mar 29, 2022","Apr 19, 2022","Jun 12, 2022",2025-06-26,Creative Team and Performance Data,Samuel J. Friedman Theatre
