web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category,theatre
https://www.ibdb.com/broadway-production/ragtime-543058,Ragtime,Lear deBessonet,Lynn Ahrens,Terrence McNally,Lincoln Center Theater (Lear deBessonet: Artistic Director,"Sep 26, 2025","Oct 16, 2025","Jan 04, 2026",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/floyd-collins-539860,Floyd Collins,Tina Landau,Adam Guettel,Tina Landau,Lincoln Center Theater (André Bishop: Producing Artistic Director,"Mar 28, 2025","Apr 21, 2025","Jun 22, 2025",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/mcneal-539756,McNeal,Bartlett Sher,,Ayad Akhtar,Lincoln Center Theater (André Bishop: Producing Artistic Director,"Sep 05, 2024","Sep 30, 2024","Nov 24, 2024",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/uncle-vanya-538020,Uncle Vanya,Lila Neugebauer,,Anton Chekhov,Lincoln Center Theater (André Bishop: Producing Artistic Director,"Apr 03, 2024","Apr 24, 2024","Jun 16, 2024",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/camelot-534339,Camelot,Bartlett Sher,Alan Jay Lerner,Aaron Sorkin,Lincoln Center Theater (André Bishop: Producing Artistic Director,"Mar 09, 2023","Apr 13, 2023","Jul 23, 2023",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/mike-birbiglia-the-old-man-the-pool-535341,Mike Birbiglia: The Old Man & The Pool,Seth Barrish,,Mike Birbiglia,"Sue Wagner,John Johnson,Patrick CatulloandSeaview","Oct 28, 2022","Nov 13, 2022","Jan 15, 2023",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/the-skin-of-our-teeth-532477,The Skin of Our Teeth,Lileana Blain-Cruz,,Thornton Wilder,Lincoln Center Theater (André Bishop: Producing Artistic Director,"Apr 01, 2022","Apr 25, 2022","May 29, 2022",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/flying-over-sunset-523888,Flying Over Sunset,James Lapine,Michael Korie,James Lapine,Lincoln Center Theater (André Bishop: Producing Artistic Director,"Nov 11, 2021","Dec 13, 2021","Jan 16, 2022",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/the-great-society-523220,The Great Society,Bill Rauch,Paul James Prendergast,Robert Schenkkan,"Jeffrey Richards,Louise L. Gund,Rebecca Gold,Jayne Baron Sherman,Stephanie P. McClelland,Cynthia Stroum,Jennifer Manocherian/Judith Manocherian,Gabrielle Palitz/Cheryl Wiesenfeld,Mark Pigott KBE,Ted Snowdon,Marianne Mills,Franklin Theatrical Group,DeRoy-Schmookler Productions,ShadowCatcher Entertainment,Jacob Soroken PorterandLincoln Center Theater (André Bishop: Producing Artistic Director","Sep 06, 2019","Oct 01, 2019","Nov 30, 2019",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
https://www.ibdb.com/broadway-production/my-fair-lady-513966,My Fair Lady,Bartlett Sher,Alan Jay Lerner,Alan Jay Lerner,Lincoln Center Theater (André Bishop: Producing Artistic Director,"Mar 15, 2018","Apr 19, 2018","Jul 07, 2019",2025-06-26,Creative Team and Performance Data,Vivian Beaumont Theater
