web_Link,Production Name,Director,Composer/Lyricist,Playwright,Rights Holder,Preview Date,Opening Date,Closing Date,Scraped Date,Category
https://www.ibdb.com/broadway-production/hadestown-520711,Hadestown,Rachel Chavkin,Anaïs Mitchell,Anaïs Mitchell,"Mara Isaacs,Dale Franzen,Hunter Arnold,Tom Kirdahy,Carl Daikeler,Five Fates,Willette & Manny Klausner,No Guarantees,Sing Out, Louise! Productions,Stone Arch Theatricals,Benjamin Lowy / Adrian Salpeter,Meredith Lynsey Schade,42nd.club,Craig Balsam,Broadway Strategic Return Fund,Concord Theatricals,Laurie David,Demar Moritz Gang,Getter Entertainment,Deborah Green,Harris Rubin Productions,Sally Cade Holmes,Marguerite Hoffman,Hornos-Moellenberg,Independent Presenters Network,Jam Theatricals,Kalin Levine Dohr Productions,Phil & Claire Kenny,Mike Karns,Kilimanjaro Theatricals,Lady Capital,LD Entertainment,Sandi Moran,Tom Neff,MWM Live,Patti Sanford Roberts & Michael Roberts,Schroeder Shapiro Productions,Seriff Productions,Stage Entertainment,Kenneth & Rosemary Willman,KayLavLex Theatricals,Tyler Mount,Jujamcyn Theaters,The National TheatreandNew York Theatre Workshop","Mar 22, 2019","Apr 17, 2019",Present,2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/springsteen-on-broadway-515480,Springsteen on Broadway,Bruce Springsteen,,Bruce Springsteen,Jon LandauandGeorge Travis,"Oct 03, 2017","Oct 12, 2017","Dec 15, 2018",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/amlie-a-new-musical-511516,"Amélie, A New Musical",Pam MacKinnon,Nathan TysenandDaniel Messé,Craig Lucas,"Aaron Harnick,David Broser,Triptyk Studios,Spencer B. Ross,Harbor Entertainment,Berkeley Repertory Theatre (Tony Taccone, Artistic Director","Mar 09, 2017","Apr 03, 2017","May 21, 2017",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/falsettos-505384,Falsettos,James Lapine,William Finn,William FinnandJames Lapine,Lincoln Center Theater (André Bishop: Producing Artistic Director,"Sep 29, 2016","Oct 27, 2016","Jan 08, 2017",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-crucible-502500,The Crucible,Ivo van Hove,,Arthur Miller,"Scott Rudin,Eli Bush,Roger Berlind,William Berlind,Len Blavatnik,Roy Furman,Peter May,Jay Alix & Una Jackman,Scott M. Delman,JFL Theatricals,Heni Koenigsberg,Daryl Roth,Jane Bergère,Sonia Friedman,Ruth Hendel,Stacey Mindich,Jon B. Platt,Megan Savage,Spring SirkinandTulchin Bartner Productions","Mar 01, 2016","Mar 31, 2016","Jul 17, 2016",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/a-gentlemans-guide-to-love-murder-494805,A Gentleman's Guide to Love & Murder,Darko Tresnjak,Robert L. FreedmanandSteven Lutvak,Robert L. Freedman,"Joey Parnes,S.D. Wagner,John Johnson,50 Church Street Productions,Joan Raffe & Jhett Tolentino,Jay Alix & Una Jackman,Catherine & Fred Adler,Rhoda Herrick,Kathleen K. Johnson,Megan Savage,ShadowCatcher Entertainment,Ron Simons,True Love Productions,Jamie deRoy,Four Ladies & One Gent,John Arthur Pinckard,Greg Nobile,Stewart F. Lane & Bonnie Comley,Exeter Capital / Ted Snowdon,Ryan Hugh Mackey,Cricket-CTM Media / Mano-Horn Productions,Dennis Grimaldi / Margot Astrachan,Hello Entertainment / Jamie Bendell,Michael T. Cohen / Joe Sirola,Joseph & Carson Gleberman / William MegevickandGreen State Productions","Oct 22, 2013","Nov 17, 2013","Jan 17, 2016",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/forever-tango-494813,Forever Tango,Luis Bravo,Lisandro Adrover,,Luis Bravo ProductionsandJujamcyn Theaters,"Jul 09, 2013","Jul 14, 2013","Sep 15, 2013",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-testament-of-mary-493968,The Testament of Mary,Deborah Warner,,Colm Tóibín,"Scott Rudin,Stuart Thompson,Jon B. Platt,Roger Berlind,Broadway Across America,Scott M. Delman,Jean Doumanian,Roy Furman,Stephanie P. McClelland,Sonia Friedman Productions / Tulchin Bartner Productions,The Araca Group,Heni Koenigsberg,Daryl RothandEli Bush","Mar 26, 2013","Apr 22, 2013","May 05, 2013",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/the-heiress-493115,The Heiress,Moisés Kaufman,,Ruth GoetzandAugustus Goetz,"Paula Wagner,Roy Furman,Stephanie P. McClelland,Luigi Caiola / Rose Caiola,Jim Herbert,Ted Liebowitz,Stacey Mindich,Jill Furman,Ricardo Hornos,Jon B. Platt,Eric Schmidt,Margo Lion / Rachel WeinsteinandJujamcyn Theaters","Oct 06, 2012","Nov 01, 2012","Feb 09, 2013",2025-06-26,Creative Team and Performance Data
https://www.ibdb.com/broadway-production/clybourne-park-491759,Clybourne Park,Pam MacKinnon,,Bruce Norris,"Jujamcyn Theaters,Jane Bergère,Roger Berlind / Quintet Productions,Eric Falkenstein / Dan Frishwasser,Ruth Hendel / Harris Karma Productions,JTG Theatricals,Daryl Roth,Jon B. PlattandCenter Theatre Group (Michael Ritchie, Artistic Director","Mar 26, 2012","Apr 19, 2012","Sep 02, 2012",2025-06-26,Creative Team and Performance Data
