Title,Link,Venue,Performance Date,Cast & Creatives,calender_link
101 Dalmatians,https://www.lovetheatre.com/shows/101-dalmatians-tickets/,Eventim Apollo,18th July to Saturday 30th August 2025,"Sydnie Christmas (Cruella De Vil), Jeff Brazier (Casper), JLS’ Aston Merrygold (Jasper), Laura Baldwin (Danielle), Dylan Collymore (Ensemble), Victoria Compson-Bradford (Swing), Benedict Hastings (Ensemble), Linford Johnson (Pongo), Lottie Johnson (Ensemble), Rachel Lea-Gray (Ensemble), Kenan Lewis Smith (Ensemble), Callum Martin (Ensemble), Ronan O’Hara (Swing), Joe Sleight (Ensemble), Samuel Thomas (Tom), Emma Thornett (Perdi), Chioma Uma (Ensemble), and Jhanaica Van Mook (Ensemble).",https://secure.lovetheatre.com/book/1GWTR-101-dalmatians-the-musical/
50 First Dates,https://www.lovetheatre.com/shows/50-first-dates-tickets/,The Other Palace,14 September – 16 November 2025.,"David Rossmer(Writer),Steve Rosen(Writer),Casey Nicholaw(Choreography),Georgina Castle(Actor),Josh St. Clair(Actor)",https://secure.lovetheatre.com/book/1H6NC-50-first-dates/
A Man for All Seasons,https://www.lovetheatre.com/shows/a-man-for-all-seasons-tickets/,Harold Pinter Theatre,6 Aug – 6 Sep 2025,"Robert Bolt (Writer), Jonathan Church (Director)",https://secure.lovetheatre.com/book/1H4XG-a-man-for-all-seasons/
A Midsummer Night's Dream,https://www.lovetheatre.com/shows/a-midsummer-nights-dream-tickets/,Bridge Theatre,31 May – 23 Aug 2025,"Nicholas Hytner (Director), Bunny Christie (Designer), Christina Cunningham (Costume Designer), Bruno Poet (Lighting Designer), Paul Arditti (Sound Designer), Grant Olding (Composer), Arlene Phillips (Movement Director), James Cousins (Associate Director/Associate Movement Director)",https://secure.lovetheatre.com/book/1GZ1J-a-midsummer-night-s-dream-seated/
A Role to Die For,https://www.lovetheatre.com/shows/a-role-to-die-for-tickets/,Marylebone Theatre,26 Jul – 30 Aug 2025.,"Jordan Waller (Writer), Derek Bond (Director)",https://secure.lovetheatre.com/book/1H6BL-a-role-to-die-for/
ABBA Voyage,https://www.lovetheatre.com/shows/abba-voyage-tickets/,ABBA Arena,11 May 2025.,"Agnetha Fältskog, Björn Ulvaeus, Benny Andersson and Anni-Frid Lyngstad (members of ABBA)",https://secure.lovetheatre.com/book/1F4G8-abba-voyage/
Akram Khan's Giselle,https://www.lovetheatre.com/shows/akram-khans-giselle-tickets/,London Coliseum,15 Jan – Sun 18 Jan 2026.,"Akram Khan (Choreography), Mark Henderson (Lighting), Tim Yip (Set Design), Vincenzo Lamagna and English National Ballet Philharmonic (Score).",N/A
Albert Herring,https://www.lovetheatre.com/shows/albert-herring-tickets/,London Coliseum,13 October and Thursday 16 October 2025.,"Caspar Singh (Albert Herring), Leah-Marian Jones (Mrs Herring), Emma Bell (Lady Billows), Mark Le Brocq (Mr Upfold), Sir Willard White (Superintendent Budd), Carolyn Dobbin (Florence Pike), Aoife Miskelly (Miss Wordsworth), Eddie Wade (Mr Gedge), Dan D’Souza (Sid), Anna Elizabeth Cooper (Nancy).",N/A
Alice in Wonderland,https://www.lovetheatre.com/shows/alice-in-wonderland-tickets/,Marylebone Theatre,12 July to 31 August 2025.,"Penny Farrow (Adapter), Nate Bertone (Director and Designer).",https://secure.lovetheatre.com/book/1H0J4-alice-in-wonderland/
All My Sons,https://www.lovetheatre.com/shows/all-my-sons-tickets/,Wyndhams Theatre,14 Nov 2025 – 7 Mar 2026,"Ivo Van Hove (Director), Arthur Miller (Writer)",https://secure.lovetheatre.com/book/1H570-all-my-sons/
