Title,Production URL,Venue,Opening Date,Closing Date,Cast,Creatives
Wicked,https://www.londontheatredirect.com/musical/wicked-tickets,Apollo Victoria Theatre,16 September 2021,31 May 2026,N/A,N/A
Matilda The Musical,https://www.londontheatredirect.com/musical/matilda-the-musical-tickets,Cambridge Theatre,16 September 2021,24 May 2026,"Mr Wormwood - Neil McDermott
Miss Honey - Eve Norris
Miss Trunchbull - Kieran Hill
Mrs Phelps - Deborah Tracey
Rudolpho - Sam Lips
Mrs Wormwood - Tiffany Graves
Michael Wormwood - Pearce Barron
Children's Entertainer, Sergei - Jak Skelly
Escapologist - Ralph Watts
Cook, Henchwoman - Gabrielle Davina Smith","Author - Roald Dahl
Book - Dennis Kelly
Music & Lyrics - Tim Minchin
Developed And Directed By - Matthew Warchus
Choreography - Peter Darling
Set & Costume Design - Rob Howell
Orchestrations & Additional Music - Christopher Nightingale
Lighting Design - Hugh Vanstone
Associate Lighting Designer And Programmer - Chris Hirst
Sound Design - Simon Baker
Associate Sound Designer - Leigh Davies
Illusion - Paul Kieve"
Witness for the Prosecution,https://www.londontheatredirect.com/play/witness-for-the-prosecution-tickets,London County Hall,Booking through 26 April 2026,N/A,"Stenographer -  - Gillian McCafferty
Mr Mayhew -  - Nigel Hastings
Romaine Vole -  - Charlotte Beaumont
Greta / Miss Clegg -  - Anna Rawlings
Inspector Hearne -  - Christopher Wright
Solicitor -  - Matthew Hebden
Clerk of the Court -  - Charles Angiama
Sir Wilfrid Robarts Q.C - . - Jonathan Firth
Clerk Of The Court -  - Paulo Vieira
Carter / Dr Wyatt -  - Dale Superville
Mr Myers Q.C -  - David Birrell
Warder -  - Jack Spencer
Judge -  - Jeffery Kissoon
Court Officer 1 -  - Phoenix Henries
Janet Mackenzie -  - Caroline Gruber
The Other Woman -  - Sky Bailey McGill
Leonard Vole -  - Harry Chandler
Court Officer 2 -  - Harrison Hirst","Author -  - Agatha Christie 
Director -  - Lucy Bailey
Associate Director - Matt Hassall
Assistant Director - Amber Ruby
Designer -  - William Dudley 
Lighting Designer -  - Chris Davey
Sound Designer - Mic Pool
Casting Director -  - Ellie Collyer-Bristow CDG
Associate Costume Designer -  - Joan Hughes
Fight Direction -  - Originated by Rachel Bown-Williams and Ruth Cooper-Brown of Rc-Annie Ltd
Fight and Intimacy Director -  - Claire Llewellyn of Rc-Annie Ltd
Producer -  - Eleanor Lloyd Productions
Producer - Rebecca Stafford Productions"
Six,https://www.londontheatredirect.com/musical/six-london-vaudeville-theatre-tickets,Vaudeville Theatre,29 September 2021,28 June 2026.,"Catherine of Aragon - Jaz Robinson
Anne Boleyn - Thao Therese Nguyen
Jayne Seymour - Hana Stewart
Anna of Cleves - Dionne Ward-Anderson
Katherine Howard - Caitlyn De Kuyper
Catherine Parr - Amelia Kinu Muus","Writer - Toby Marlow
Writer & Co Director - Lucy Moss
Co Director - Jamie Armitage
Choreographer - Carrie-Anne Ingrouille
Set Designer - Emma Bailey
Costume Designer - Gabriella Slade
Lighting Designer - Tim Deiling
Sound Designer - Paul Gatehouse
Orchestrator - Tom Curran"
The Play That Goes Wrong,https://www.londontheatredirect.com/play/the-play-that-goes-wrong-tickets,Duchess Theatre,18 June 2021,30 August 2026,"Robert - Robert Jackson
Chris - Jack Hardwick
Jonathan - Jonty Peach
Sandra - Charlotte Scott
Trevor - Ronnie Yorke
Annie - Izzy Edmunds-Clarke
Dennis - Mitesh Soni
Max - Tom Wainwright","Author - Henry Lewis 
Author - Jonathan Sayer
Author - Henry Shields
Director - Mark Bell
Designer - Nigel Hook 
Lighting - Ric Mountjoy
Costume Designer - Roberto Surace
Original Music - Rob Falconer
Sound Designer - Andy Johnson
Associate Director - Sean Turner 
Resident Director - Hannah Sharkey
Resident Director - Amy Marchant"
"I'm Sorry, Prime Minister",https://www.londontheatredirect.com/play/im-sorry-prime-minister-tickets,N/A,30 January,25 April 2026,"Jim Hacker - Griff Rhys Jones
Sir Humphrey Appleby -  - Clive Francis",Book - Jonathan Lynn
Into The Woods,https://www.londontheatredirect.com/musical/into-the-woods-tickets,N/A,2 Dec 2025 – 18 Apr 2026,N/A,N/A,"Music and Lyrics - Stephen Sondheim
Book - - James Lapine
Director - Jordan Fein
Designer - Tom Scutt"
Dirty Dancing,https://www.londontheatredirect.com/musical/dirty-dancing-capital-tickets,Capital Theatre,10 November 2025 – 29 March 2026,N/A,N/A,N/A
The Shoop Shoop Show – The Cher Collection,https://www.londontheatredirect.com/concert/the-shoop-shoop-show-the-cher-collection-tickets,N/A,12 April 2026,N/A,Cher - - Rachael Hawnt,N/A
Please Please Me,https://www.londontheatredirect.com/play/please-please-me,N/A,16 April,23 May 2026,N/A,"Playwright - Tom Wright
Director - Amit Sharma"
